date_sgt,rows,stations,max_wbgt,ge31,ge33
2026-05-07,2321,27,34.0,268,10
2026-05-08,243,27,27.2,0,0
2026-05-09,783,27,31.9,6,0
2026-05-10,2484,27,34.1,198,19
2026-05-11,2538,27,34.4,211,23
2026-05-12,2535,27,34.2,187,25
2026-05-13,2266,27,32.4,11,0
2026-05-14,2538,27,33.8,244,22
2026-05-15,2537,27,29.0,0,0
2026-05-16,2510,27,26.4,0,0
2026-05-17,2511,27,32.5,57,0
2026-05-18,2511,27,33.9,35,5
2026-05-19,2496,27,34.1,399,40
2026-05-20,2481,27,34.3,439,32
2026-05-21,2511,27,33.3,223,9
2026-05-22,2483,27,33.5,229,9
2026-05-23,2511,27,34.3,135,7
2026-05-24,2130,27,33.7,202,11
