station_id,rows,timestamps,max_wbgt,ge31,ge33
S124,1497,1497,32.0,18,0
S125,1497,1497,33.9,144,3
S126,1497,1497,33.0,103,1
S127,1497,1497,33.1,125,3
S128,1497,1497,34.2,121,13
S129,1482,1482,32.7,115,0
S130,1497,1497,32.1,66,0
S132,1491,1491,33.0,117,2
S135,1496,1496,34.3,187,21
S137,1495,1495,34.2,209,46
S139,1494,1494,31.7,10,0
S140,1497,1497,32.6,54,0
S141,1497,1497,33.7,126,11
S142,1496,1496,34.4,257,76
S143,1497,1497,33.3,127,7
S144,1497,1497,33.7,95,7
S145,1496,1496,33.3,111,4
S146,1497,1497,32.7,60,0
S147,1497,1497,33.7,151,10
S148,1497,1497,31.9,32,0
S149,1497,1497,32.3,54,0
S150,1497,1497,33.0,65,1
S151,1497,1497,33.2,142,3
S153,1497,1497,32.6,80,0
S180,1497,1497,33.6,86,1
S184,1496,1496,33.4,72,2
S187,1497,1497,33.0,117,1
