osm_id,osm_way_id,name,type,aeroway,amenity,admin_leve,barrier,boundary,building,craft,geological,historic,land_area,landuse,leisure,man_made,military,natural,office,place,shop,sport,tourism,other_tags
,"219978851",99 Thomson Temple,,,place_of_worship,,,,,,,,,,,,,,,,,,,"""name:zh""=>""99汤申庙"""
,"219978853",,,,,,,,industrial,,,,,,,,,,,,,,,"""addr:city""=>""Singapore"",""addr:housenumber""=>""9"",""addr:street""=>""Sector B Sin Ming Ind Estate"""
,"219978855",,,,,,,,commercial,,,,,,,,,,,,,,,"""addr:city""=>""Singapore"",""addr:country""=>""SG"",""addr:housename""=>""Midview City"",""addr:housenumber""=>""18"",""addr:street""=>""Sin Ming Lane"",""building:colour""=>""#E2E0E3"",""building:levels""=>""8"",""building:material""=>""metal"""
,"220026211",Toa Payoh Food Centre 2,,,food_court,,,,yes,,,,,,,,,,,,,,,"""addr:housenumber""=>""1008A"",""name:ms""=>""Pusat Makanan Berseh"",""name:zh""=>""大巴窑熟食中心2"""
,"220821669",,,,,,,,yes,,,,,,,,,,,,,,,"""addr:city""=>""Singapore"",""addr:housenumber""=>""49"",""addr:street""=>""Jalan Pemimpin"""
,"220821670",,,,,,,,yes,,,,,,,,,,,,,,,"""addr:city""=>""Singapore"",""addr:housenumber""=>""51"",""addr:street""=>""Jalan Pemimpin"""
,"220821671",,,,,,,,yes,,,,,,,,,,,,,,,"""addr:city""=>""Singapore"",""addr:housenumber""=>""3"",""addr:street""=>""Pemimpin Drive"""
,"220821672",Tresalveo,,,,,,,yes,,,,,,,,,,,,,,,"""addr:city""=>""Singapore"",""addr:housenumber""=>""9"",""addr:postcode""=>""573964"",""addr:street""=>""Marymount Terrace"",""building:levels""=>""18"",""description""=>""Condominium"""
,"220821673",Boonview,,,,,,,yes,,,,,,,,,,,,,,,
,"220821675",Marymount View,,,,,,,yes,,,,,,,,,,,,,,,
,"220821676",,,,,,,,yes,,,,,,,,,,,,,,,"""addr:city""=>""Singapore"",""addr:housenumber""=>""1"",""addr:street""=>""Pemimpin Drive"""
,"220821677",,,,,,,,yes,,,,,,,,,,,,,,,"""addr:city""=>""Singapore"",""addr:housenumber""=>""57"",""addr:street""=>""Jalan Pemimpin"""
,"220821678","59",,,,,,,yes,,,,,,,,,,,,,,,
,"220821679",,,,,,,,yes,,,,,,,,,,,,,,,"""addr:city""=>""Singapore"",""addr:housenumber""=>""63"",""addr:street""=>""Jalan Pemimpin"""
,"220821680",,,,,,,,yes,,,,,,,,,,,,,,,"""addr:city""=>""Singapore"",""addr:housenumber""=>""45"",""addr:street""=>""Jalan Pemimpin"",""building:levels""=>""6"""
,"220821681",,,,,,,,yes,,,,,,,,,,,,,,,"""addr:city""=>""Singapore"",""addr:housenumber""=>""43"",""addr:street""=>""Jalan Pemimpin"",""building:levels""=>""5"""
,"220821682",Kong Beng Industrial Building,,,,,,,yes,,,,,,,,,,,,,,,"""addr:city""=>""Singapore"",""addr:housenumber""=>""41"",""addr:street""=>""Jalan Pemimpin"",""building:levels""=>""4"""
,"220821683",,,,,,,,yes,,,,,,,,,,,,,,,"""addr:city""=>""Singapore"",""addr:housenumber""=>""47"",""addr:street""=>""Jalan Pemimpin"""
,"220821685",,,,,,,,yes,,,,,,,,,,,,,,,"""addr:city""=>""Singapore"",""addr:housenumber""=>""39B"",""addr:street""=>""Jalan Pemimpin"",""building:levels""=>""7"""
,"220821686",,,,,,,,yes,,,,,,,,,,,,,,,"""addr:city""=>""Singapore"",""addr:housenumber""=>""39"",""addr:street""=>""Jalan Pemimpin"",""building:levels""=>""6"""
,"220821687",,,,,,,,yes,,,,,,,,,,,,,,,"""addr:city""=>""Singapore"",""addr:housenumber""=>""35"",""addr:street""=>""Jalan Pemimpin"""
,"220821688",,,,,,,,yes,,,,,,,,,,,,,,,"""addr:city""=>""Singapore"",""addr:housenumber""=>""37"",""addr:street""=>""Jalan Pemimpin"",""building:levels""=>""8"""
,"220821689",M38,,,,,,,yes,,,,,,,,,,,,,,,"""addr:city""=>""Singapore"",""addr:housenumber""=>""38"",""addr:postcode""=>""577178"",""addr:street""=>""Jalan Pemimpin"",""building:levels""=>""10"""
,"220821690",UnserHaus Customer Care Centre (Bosch and Gaggenau),,,,,,,commercial,,,,,,,,,,,,,,,"""addr:city""=>""Singapore"",""addr:housenumber""=>""38C"",""addr:postcode""=>""577180"",""addr:street""=>""Jalan Pemimpin"",""building:levels""=>""5"""
,"220821691",38E,,,,,,,commercial,,,,,,,,,,,,,,,"""building:levels""=>""2"""
,"221195489",Clover Way Playground,,,,,,,,,,,,,park,,,,,,,,,"""name:ms""=>""Taman Permainan Clover Way"""
,"221196090",514B,,,,,,,yes,,,,,,,,,,,,,,,
,"221196091",514C,,,,,,,yes,,,,,,,,,,,,,,,
,"230303036",Anglo-Chinese School (Barker),,,school,,,,,,,,,,,,,,,,,,,"""addr:city""=>""Singapore"",""addr:country""=>""SG"",""addr:housenumber""=>""60"",""addr:postcode""=>""309919"",""addr:street""=>""Barker Road"",""alt_name""=>""ACS"",""name:en""=>""Anglo-Chinese School (Barker)"",""name:ms""=>""Sekolah Anglo-Chinese (Barker)"",""name:zh""=>""英华学校(巴"
,"231917874",,,,,,,,hospital,,,,,,,,,,,,,,,"""building:levels""=>""4"""
,"231917876",Goodwood Florist,,,,,,,retail,,,,,,,,,,,,florist,,,"""addr:city""=>""Singapore"",""addr:country""=>""SG"",""addr:housenumber""=>""565"",""addr:postcode""=>""298184"",""addr:street""=>""Thomson Road"",""building:levels""=>""1"",""building:levels:roof""=>""1"",""contact:email""=>""admin@goodwood.com.sg"",""email""=>""hello@goodwood.com.sg"","""
,"231917882",,,,,,,,train_station,,,,,,,,,,,,,,,"""wheelchair""=>""yes"""
,"231917885",,,,,,,,yes,,,,,,,,,,,,,,,
,"231917888",,,,,,,,yes,,,,,,,,,,,,,,,
,"231917891",,,,,,,,yes,,,,,,,,,,,,,,,"""addr:housenumber""=>""1"",""addr:postcode""=>""574029"",""addr:street""=>""Marymount Lane"""
,"231917894",Assisi Hospice,,,,,,,yes,,,,,,,,,,,,,,,"""addr:city""=>""Singapore"",""addr:housenumber""=>""832"",""addr:postcode""=>""574627"",""addr:street""=>""Thomson Road"",""building:levels""=>""6"",""email""=>""assisi@assisihospice.org.sg"",""fax""=>""+65 62535312"",""healthcare""=>""hospice"",""opening_hours""=>""24/7"",""phone""=>""+65 6"
,"231917902",Shell,,,fuel,,,,roof,,,,,,,,,,,,,,,"""brand""=>""Shell"",""brand:wikidata""=>""Q110716465"",""brand:wikipedia""=>""en:Royal Dutch Shell"",""capacity""=>""8"",""compressed_air""=>""yes"",""name:zh""=>""壳牌"""
,"231917904",,,,,,,,yes,,,,,,,,,,,,,,,
,"231917905",,,,,,,,yes,,,,,,,,,,,,,,,
,"231917906",,,,,,,,yes,,,,,,,,,,,,,,,
,"231917907",,,,,,,,roof,,,,,,,,,,,,,,,"""layer""=>""1"""
,"231917914",,,,,,,,yes,,,,,,,,,,,,,,,
,"231917916",,,,,,,,yes,,,,,,,,,,,,,,,
,"231917917",,,,,,,,yes,,,,,,,,,,,,,,,
,"231917925",Clubhouse,,,,,,,yes,,,,,,,,,,,,,,,
,"231917926",,,,,,,,yes,,,,,,,,,,,,,,,
,"231917929",,,,,,,,yes,,,,,,,,,,,,,,,
,"231917932",,,,,,,,yes,,,,,,,,,,,,,,,"""addr:city""=>""Singapore"",""addr:housenumber""=>""10G"",""addr:street""=>""Braddell View"""
,"231917933",,,,,,,,yes,,,,,,,,,,,,,,,
,"231917940",,,,,,,,parking,,,,,,,,,,,,,,,"""building:levels""=>""4"",""roof:shape""=>""flat"""
,"231917946",,,,,,,,yes,,,,,,,,,,,,,,,
,"231917947",,,,,,,,yes,,,,,,,,,,,,,,,"""building:colour""=>""#CED4E2"",""building:levels""=>""2"",""building:material""=>""metal"",""roof:colour""=>""#CED4E2"",""roof:material""=>""metal"""
,"231917950",,,,,,,,train_station,,,,,,,,,,,,,,,
,"231917951",,,,,,,,yes,,,,,,,,,,,,,,,
,"231917956",,,,,,,,yes,,,,,,,,,,,,,,,"""building:levels""=>""1"""
,"231917961",,,,,,,,yes,,,,,,,,,,,,,,,
,"231917962",,,,,,,,yes,,,,,,,,,,,,,,,
,"231917971",,,,,,,,transportation,,,,,,,,,,,,,,,
,"231917973",Choices,,,,,,,yes,,,,,,,,,,,,convenience,,,
,"231917975",,,,,,,,train_station,,,,,,,,,,,,,,,
,"231917977",,,,,,,,roof,,,,,,,,,,,,,,,"""building:levels""=>""1"",""layer""=>""1"""
,"231917998",,,,,,,,yes,,,,,,,,,,,,,,,"""addr:city""=>""Singapore"",""addr:housenumber""=>""39A"",""addr:street""=>""Jalan Pemimpin"""
,"241247069",,,,,,,,yes,,,,,,,,,,,,,,,
,"241247070",Paya Lebar Methodist Church,,,place_of_worship,,,,church,,,,,,,,,,,,,,,"""addr:housenumber""=>""5"",""denomination""=>""methodist"",""religion""=>""christian"""
,"241247078",,,,,,,,yes,,,,,,,,,,,,,,,
,"241247080",,,,,,,,yes,,,,,,,,,,,,,,,"""addr:housenumber""=>""2"",""addr:street""=>""Recreation Road"""
,"241247089",,,,,,,,yes,,,,,,,,,,,,,,,"""addr:housenumber""=>""27"",""addr:street""=>""Recreation Road"""
,"241247091",Econ Medicare,,,,,,,yes,,,,,,,,,,,,,,,
,"241247106",,,,,,,,yes,,,,,,,,,,,,,,,"""addr:city""=>""Singapore"",""addr:housenumber""=>""3"",""addr:postcode""=>""546549"",""addr:street""=>""Recreation Lane"""
,"241247108",,,,,,,,house,,,,,,,,,,,,,,,"""addr:city""=>""Singapore"",""addr:housenumber""=>""9"",""addr:street""=>""Recreation Lane"",""house""=>""terraced"""
,"241247136",,,,,,,,,,,,,grass,,,,,,,,,,
,"241247138",,,,,,,,,,,,,,,,,grassland,,,,,,
,"241247216",,,,,,,,,,,,,,park,,,,,,,,,
,"241254728",,,,,,,,yes,,,,,,,,,,,,,,,
,"241254729",,,,,,,,yes,,,,,,,,,,,,,,,
,"241254732",,,,,,,,yes,,,,,,,,,,,,,,,
,"241254736",Casa Riveria,,,,,,,yes,,,,,,,,,,,,,,,
,"241254744",Stadia,,,,,,,apartments,,,,,,,,,,,,,,,"""addr:housenumber""=>""27"",""addr:street""=>""Yio Chu Kang Road"""
,"241254762",,,,,,,,yes,,,,,,,,,,,,,,,"""addr:housenumber""=>""11"",""addr:street""=>""Lim Tua Tow Road"""
,"241254766",,,,,,,,house,,,,,,,,,,,,,,,"""addr:housenumber""=>""44"",""addr:street""=>""Boundary Road"""
,"241254771",,,,,,,,yes,,,,,,,,,,,,,,,"""addr:housenumber""=>""40"",""addr:street""=>""Boundary Road"""
,"241254772",,,,,,,,house,,,,,,,,,,,,,,,"""addr:housenumber""=>""36"",""addr:street""=>""Boundary Road"""
,"241254871",SPC,,,fuel,,,,roof,,,,,,,,,,,,,,,"""addr:street""=>""Yio Chu Kang Road"",""name:zh""=>""新加坡石油公司"""
,"241254873",,,,,,,,commercial,,,,,,,,,,,,,,,"""addr:street""=>""Yio Chu Kang Road"""
,"241254886",,,,,,,,yes,,,,,,,,,,,,,,,
,"241259068",,,,,,,,yes,,,,,,,,,,,,,,,"""addr:housenumber""=>""45"",""addr:street""=>""Hillside Drive"""
,"241259069",,,,,,,,yes,,,,,,,,,,,,,,,"""addr:housenumber""=>""47"""
,"243654764",,,,,,,,,,,,,village_green,,,,,,,,,,
,"245127285",Hong Leong Swimming Complex,,,,,,,,,,,,,swimming_pool,,,,,,,swimming,,"""access""=>""private"",""covered""=>""no"",""lit""=>""yes"""
,"245127286",,,,library,,,,yes,,,,,,,,,,,,,,,"""air_conditioning""=>""yes"",""internet_access""=>""wlan"""
,"245127287",,,,,,,,,,,,,,pitch,,,,,,,tennis,,
,"245127290",,,,,,,,,,,,,,swimming_pool,,,,,,,swimming,,"""covered""=>""no"""
,"245127293",,,,,,,,,,,,,,pitch,,,,,,,basketball,,
,"245127294",,,,,,,,,,,,,,swimming_pool,,,,,,,swimming,,"""covered""=>""no"""
,"248820781",,,,,,,,,,,,,,pitch,,,,,,,tennis,,"""access""=>""private"",""covered""=>""no"",""lit""=>""yes"""
,"248820783",,,,parking,,,,,,,,,,,,,,,,,,,"""access""=>""customers"",""covered""=>""no"",""fee""=>""no"",""parking""=>""surface"",""surface""=>""asphalt"""
,"251735559",ArtSpace & Gymnasium,,,,,,,school,,,,,,,,,,,,,,,"""building:levels""=>""4"""
,"251735560",,,,,,,,,,,,,,pitch,,,,,,,tennis,,
,"251735561",,,,,,,,,,,,,,pitch,,,,,,,basketball,,
,"251735562",Rugby Field,,,,,,,,,,,,,pitch,,,,,,,soccer,,
,"251735564",,,,,,,,,,,,,,pitch,,,,,,,tennis,,
,"252391083",Central Staff Apartments,,,,,,,,,,,,residential,,,,,,,,,,"""addr:city""=>""Singapore"",""addr:country""=>""SG"",""addr:housenumber""=>""60"",""addr:postcode""=>""567730"",""addr:street""=>""Boundary Close"",""residential""=>""dormitory"""
,"252391760",,,,,,,,yes,,,,,,,,,,,,,,,
,"252391797",,,,,,,,yes,,,,,,,,,,,,,,,
,"252391805",,,,,,,,yes,,,,,,,,,,,,,,,
,"252391831",,,,,,,,yes,,,,,,,,,,,,,,,
,"252391880",,,,,,,,yes,,,,,,,,,,,,,,,
,"252391920",,,,,,,,yes,,,,,,,,,,,,,,,
,"252391928",,,,,,,,yes,,,,,,,,,,,,,,,
,"252410121",Value Thomson,,,,,,,hotel,,,,,,,,,,,,,,,"""addr:housenumber""=>""592"",""addr:street""=>""Balestier Road"",""building:levels""=>""6"",""wikidata""=>""Q111406905"""
,"252835078",Thomson Medical Centre,,,,,,,hospital,,,,,,,,,,,,,,,"""addr:city""=>""Singapore"",""addr:country""=>""SG"",""addr:housenumber""=>""339"",""addr:postcode""=>""300001"",""addr:street""=>""Thomson Road"",""building:levels""=>""7"",""check_date""=>""2023-05-14"",""healthcare:speciality""=>""gynaecology"",""name:zh""=>""汤申医疗中心"",""opening_ho"
,"252835139",,,,,,,,detached,,,,,,,,,,,,,,,"""addr:city""=>""Singapore"",""addr:country""=>""SG"",""addr:housenumber""=>""23"",""addr:street""=>""Tan Sim Boh Road"",""building:levels""=>""3"",""roof:shape""=>""gabled"""
,"252835140",,,,,,,,detached,,,,,,,,,,,,,,,"""addr:city""=>""Singapore"",""addr:country""=>""SG"",""addr:housenumber""=>""23A"",""addr:street""=>""Tan Sim Boh Road"",""building:levels""=>""3"",""roof:shape""=>""gabled"""
,"253720981",,,,parking,,,,,,,,,,,,,,,,,,,"""access""=>""yes"",""capacity""=>""4"",""fee""=>""yes"",""parking""=>""surface"""
,"254607328",Catholic Junior College,,,college,,,,,,,,,,,,,,,,,,,"""addr:city""=>""Singapore"",""addr:country""=>""SG"",""addr:housenumber""=>""129"",""addr:postcode""=>""297822"",""addr:street""=>""Whitley Road"",""email""=>""catholic_jc@moe.edu.sg"",""fax""=>""+65 6253 7267"",""name:ms""=>""Maktab Rendah Catholic"",""name:zh""=>""公教初级学院"",""phone"""
,"255005492",Novena Park,,,,,,,,,,,,,park,,,,,,,,,"""access""=>""yes"",""name:zh""=>""诺维娜公园"",""opening_hours""=>""24/7"",""operator""=>""National Parks Board"",""operator:short""=>""NParks"",""operator:type""=>""government"",""operator:wikidata""=>""Q6974762"",""start_date""=>""2005-10-07"""
,"255623668",,,,,,,,,,,,,,pitch,,,,,,,tennis,,
,"255623669",,,,,,,,,,,,,,pitch,,,,,,,field_hockey,,
,"258652291",,,,parking,,,,,,,,,,,,,,,,,,,"""access""=>""yes"",""fee""=>""yes"",""parking""=>""surface"""
,"258755607",,,,,,,,house,,,,,,,,,,,,,,,"""addr:housenumber""=>""1"",""addr:street""=>""Jalan Novena Selatan"",""building:levels""=>""2"",""roof:levels""=>""1"",""roof:shape""=>""half-hipped"""
,"258755608",,,,,,,,house,,,,,,,,,,,,,,,"""addr:housenumber""=>""11"",""addr:street""=>""Jalan Novena Selatan"",""building:levels""=>""2"",""roof:levels""=>""1"",""roof:shape""=>""gabled"""
,"258755609",,,,,,,,house,,,,,,,,,,,,,,,"""addr:housenumber""=>""3"",""addr:street""=>""Jalan Novena Selatan"",""building:levels""=>""2"",""roof:shape""=>""gabled"""
,"258755610",,,,,,,,house,,,,,,,,,,,,,,,"""addr:housenumber""=>""5"",""addr:street""=>""Jalan Novena Selatan"",""building:levels""=>""1"",""roof:shape""=>""gabled"""
,"258755611",,,,,,,,house,,,,,,,,,,,,,,,"""addr:housenumber""=>""7"",""addr:street""=>""Jalan Novena Selatan"",""building:levels""=>""2"",""roof:shape""=>""gabled"""
,"258755612",,,,,,,,house,,,,,,,,,,,,,,,"""addr:housenumber""=>""9"",""addr:street""=>""Jalan Novena Selatan"",""building:levels""=>""2"""
,"258849316",,,,,,,,apartments,,,,,,,,,,,,,,,"""addr:city""=>""Singapore"",""addr:housenumber""=>""368"",""addr:street""=>""Thomson Road"",""building:levels""=>""34"""
,"258867443",,,,,,,,apartments,,,,,,,,,,,,,,,"""addr:housenumber""=>""23"",""addr:street""=>""Akyab Road"",""building:levels""=>""34"""
,"258867445",,,,,,,,apartments,,,,,,,,,,,,,,,"""addr:housenumber""=>""25"",""addr:street""=>""Akyab Road"""
,"259860418",,,,,,,,yes,,,,,,,,,,,,,,,
,"259860419",,,,,,,,yes,,,,,,,,,,,,,,,
,"259873956",,,,,,,,house,,,,,,,,,,,,,,,"""addr:housenumber""=>""15"",""addr:street""=>""Jalan Novena Selatan"",""building:levels""=>""3"""
,"259873957",,,,,,,,house,,,,,,,,,,,,,,,"""addr:housenumber""=>""17"",""addr:street""=>""Jalan Novena Selatan"",""building:levels""=>""3"""
,"259873958",,,,,,,,house,,,,,,,,,,,,,,,"""addr:housenumber""=>""19"",""addr:street""=>""Jalan Novena Selatan"",""building:levels""=>""2"",""roof:shape""=>""gabled"""
,"259873959",,,,,,,,house,,,,,,,,,,,,,,,"""addr:housenumber""=>""21"",""addr:street""=>""Jalan Novena Selatan"",""building:levels""=>""3"",""roof:levels""=>""1"""
,"259873960",,,,,,,,house,,,,,,,,,,,,,,,"""addr:housenumber""=>""23"",""addr:street""=>""Jalan Novena Selatan"",""building:levels""=>""4"",""roof:levels""=>""1"""
,"259873961",,,,,,,,house,,,,,,,,,,,,,,,"""addr:housenumber""=>""25"",""addr:street""=>""Jalan Novena Selatan"",""building:levels""=>""2"""
,"259873962",,,,,,,,house,,,,,,,,,,,,,,,"""addr:housenumber""=>""27"",""addr:street""=>""Jalan Novena Selatan"",""building:levels""=>""3"",""roof:levels""=>""1"""
,"259873963",,,,,,,,house,,,,,,,,,,,,,,,"""addr:housenumber""=>""4"",""addr:street""=>""Jalan Novena Selatan"",""building:levels""=>""3"""
,"260058833",,,,parking,,,,,,,,,,,,,,,,,,,"""access""=>""yes"",""fee""=>""yes"",""parking""=>""surface"",""ref""=>""TP17"",""surface""=>""asphalt"""
,"260069557",Shell Select,,,,,,,retail,,,,,,,,,,,,convenience,,,"""addr:street""=>""Thomson Road"",""brand""=>""Shell Select"",""brand:wikidata""=>""Q110716465"",""building:levels""=>""1"""
,"260092808",,,,,,,,house,,,,,,,,,,,,,,,"""addr:housenumber""=>""1"",""addr:street""=>""Jalan Novena Timor"",""building:levels""=>""3"",""roof:levels""=>""1"""
,"260092809",,,,,,,,house,,,,,,,,,,,,,,,"""addr:housenumber""=>""1"",""addr:street""=>""Jalan Novena Utara"",""building:levels""=>""2"""
,"260092810",,,,,,,,house,,,,,,,,,,,,,,,"""addr:housenumber""=>""10"",""addr:street""=>""Jalan Novena"",""building:levels""=>""3"""
,"260092811",,,,,,,,house,,,,,,,,,,,,,,,"""addr:housenumber""=>""10"",""addr:street""=>""Jalan Novena Selatan"""
,"260092812",,,,,,,,house,,,,,,,,,,,,,,,"""addr:housenumber""=>""10"",""addr:street""=>""Jalan Novena Utara"",""building:levels""=>""2"""
,"260092813",,,,,,,,house,,,,,,,,,,,,,,,"""addr:housenumber""=>""11"",""addr:street""=>""Jalan Novena Timor"",""building:levels""=>""4"""
,"260092814",,,,,,,,house,,,,,,,,,,,,,,,"""addr:housenumber""=>""11"",""addr:street""=>""Jalan Novena Utara"",""building:levels""=>""3"""
,"260092815",,,,,,,,house,,,,,,,,,,,,,,,"""addr:housenumber""=>""12"",""addr:street""=>""Jalan Novena"",""building:levels""=>""3"",""roof:levels""=>""1"""
,"260092816",,,,,,,,house,,,,,,,,,,,,,,,"""addr:housenumber""=>""12"",""addr:street""=>""Jalan Novena Selatan"""
,"260092817",,,,,,,,house,,,,,,,,,,,,,,,"""addr:housenumber""=>""12"",""addr:street""=>""Jalan Novena Utara"",""building:levels""=>""2"""
,"260092818",,,,,,,,house,,,,,,,,,,,,,,,"""addr:housenumber""=>""13"",""addr:street""=>""Jalan Novena"",""building:levels""=>""4"""
,"260092819",,,,,,,,house,,,,,,,,,,,,,,,"""addr:housenumber""=>""13"",""addr:street""=>""Jalan Novena Timor"",""building:levels""=>""2"""
,"260092820",,,,,,,,house,,,,,,,,,,,,,,,"""addr:housenumber""=>""13"",""addr:street""=>""Jalan Novena Utara"",""building:levels""=>""2"""
