station_id,station_name,n_rows,n_ge31,low_support_warning_flag,mean_context_adjusted_score_residual_c,mean_context_adjusted_high_tail_residual_c,current_companion_best_f1_probability_error,current_companion_best_f1_miss_rate,current_companion_best_f1_false_alarm_ratio,current_companion_best_f1_brier,current_companion_best_f1_precision,current_companion_best_f1_recall,current_companion_recall90_probability_error,current_companion_recall90_miss_rate,current_companion_recall90_false_alarm_ratio,current_companion_recall90_brier,current_companion_recall90_precision,current_companion_recall90_recall,recall_first_challenger_selected_policy_probability_error,recall_first_challenger_selected_policy_miss_rate,recall_first_challenger_selected_policy_false_alarm_ratio,recall_first_challenger_selected_policy_brier,recall_first_challenger_selected_policy_precision,recall_first_challenger_selected_policy_recall,score_stability_label,high_tail_stability_label,best_high_tail_predicted_residual_c,best_high_tail_error_pred_minus_obs_c,best_high_tail_abs_error_c,best_high_tail_model,best_score_predicted_residual_c,best_score_error_pred_minus_obs_c,best_score_abs_error_c,best_score_model,key_station_caveat
S124,Upper Changi Road North,62,0,True,-0.322672704382661,,-0.1227384295797415,,1.0,0.0783973881032694,0.0,,-0.1227384295797415,,1.0,0.0783973881032694,0.0,,-0.1114518057886787,,1.0,0.1074625375077195,0.0,,stable_negative_bias,unstable_low_support,,,,,-0.05766544535776923,0.26500725902489175,0.26500725902489175,one_feature_ridge:one_feature:landuse_entropy_250m,
S125,Woodlands Street 13,62,8,True,-0.0860036031894219,0.4667780094333425,-0.0110976306108845,0.25,0.3333333333333333,0.0604100436114971,0.6666666666666666,0.75,-0.0110976306108845,0.125,0.4615384615384615,0.0604100436114971,0.5384615384615384,0.875,-0.0099599344156059,0.125,0.3636363636363636,0.0649966486488797,0.6363636363636364,0.875,no_station_signal,unstable_low_support,0.7857451537665919,0.3189671443332494,0.3189671443332494,elasticnet:compact_water_road,0.04295499318905546,0.12895859637847737,0.12895859637847737,one_feature_ridge:one_feature:landuse_entropy_250m,
S126,Old Chua Chu Kang Road,62,8,True,-0.013653790619453,0.8099623131709625,0.0052290087408764,0.25,0.25,0.050207944388757,0.75,0.75,0.0052290087408764,0.125,0.4615384615384615,0.050207944388757,0.5384615384615384,0.875,0.0177489426396399,0.25,0.4,0.0701007071672875,0.6,0.75,no_station_signal,unstable_low_support,0.6938920804048223,-0.11607023276614015,0.11607023276614015,elasticnet:compact_water_road,0.06146361117512236,0.07511740179457536,0.07511740179457536,one_feature_ridge:one_feature:landuse_entropy_250m,
S127,Stadium Road,62,10,False,0.3604238732629313,0.5478105418721132,0.0383071633816544,0.1,0.0,0.0310296308627217,1.0,0.9,0.0383071633816544,0.0,0.2857142857142857,0.0310296308627217,0.7142857142857143,1.0,0.0098693177295312,0.1,0.1,0.0344637137447369,0.9,0.9,stable_positive_bias,stable_positive_bias,-0.11602683548073556,-0.6638373773528488,0.6638373773528488,elasticnet:compact_water_road,-0.0060189257944208395,-0.3664427990573521,0.3664427990573521,one_feature_ridge:one_feature:landuse_entropy_250m,
S128,Bishan Street,62,11,False,0.121815672986062,1.15827974882328,0.0545568969472827,0.2727272727272727,0.1111111111111111,0.0481805332657311,0.8888888888888888,0.7272727272727273,0.0545568969472827,0.0,0.1538461538461538,0.0481805332657311,0.8461538461538461,1.0,0.0605763725572434,0.0909090909090909,0.0909090909090909,0.0309507054419151,0.9090909090909092,0.9090909090909092,no_station_signal,stable_positive_bias,0.9647508651484222,-0.19352888367485788,0.19352888367485788,elasticnet:compact_water_road,0.10561199060825315,-0.01620368237780885,0.01620368237780885,one_feature_ridge:one_feature:landuse_entropy_250m,
S129,Bedok North Street 2,62,10,False,0.4024329855830783,0.8411932543678887,0.0529231021801875,0.3,0.125,0.049552908176357,0.875,0.7,0.0529231021801875,0.2,0.2727272727272727,0.049552908176357,0.7272727272727273,0.8,0.0555589417906216,0.3,0.2222222222222222,0.0393151716893026,0.7777777777777778,0.7,stable_positive_bias,stable_positive_bias,0.8683605302540593,0.027167275886170628,0.027167275886170628,elasticnet:compact_water_road,0.04074204870975455,-0.3616909368733237,0.3616909368733237,one_feature_ridge:one_feature:landuse_entropy_250m,
S130,West Coast Road,62,6,True,0.3003313237526002,0.1531099727147508,-0.0218843158394537,0.1666666666666666,0.375,0.0469219911156831,0.625,0.8333333333333334,-0.0218843158394537,0.0,0.5714285714285714,0.0469219911156831,0.4285714285714285,1.0,-0.0161287178426754,0.0,0.4545454545454545,0.0586064468639508,0.5454545454545454,1.0,stable_positive_bias,unstable_low_support,0.4873259530409383,0.3342159803261875,0.3342159803261875,elasticnet:compact_water_road,0.04000980813374801,-0.2603215156188522,0.2603215156188522,one_feature_ridge:one_feature:landuse_entropy_250m,
S132,Jurong West Street 93,62,9,True,0.1734152602968251,0.1387119023890058,0.0196849300379242,0.2222222222222222,0.125,0.0396802808809836,0.875,0.7777777777777778,0.0196849300379242,0.0,0.3076923076923077,0.0396802808809836,0.6923076923076923,1.0,0.0039883794559293,0.1111111111111111,0.2,0.0417075447515326,0.8,0.8888888888888888,no_station_signal,unstable_low_support,0.2399956822727694,0.10128377988376361,0.10128377988376361,elasticnet:compact_water_road,0.02177756369843776,-0.15163769659838736,0.15163769659838736,one_feature_ridge:one_feature:landuse_entropy_250m,
S135,Mandai Wildlife Reserve,62,11,False,-0.1735075169874145,0.933017498539439,0.0673641039491007,0.3636363636363636,0.125,0.0627822037130411,0.875,0.6363636363636364,0.0673641039491007,0.0909090909090909,0.1666666666666666,0.0627822037130411,0.8333333333333334,0.9090909090909092,0.0632194392252066,0.0909090909090909,0.0909090909090909,0.0455607714472385,0.9090909090909092,0.9090909090909092,no_station_signal,stable_positive_bias,0.4867999077942551,-0.44621759074518397,0.44621759074518397,elasticnet:compact_water_road,-0.0607086439808039,0.11279887300661061,0.11279887300661061,one_feature_ridge:one_feature:landuse_entropy_250m,
S137,Sakra Road,62,13,False,0.774636728182615,1.3474475166040991,0.0959239445994062,0.5384615384615384,0.25,0.1051350343501997,0.75,0.4615384615384615,0.0959239445994062,0.2307692307692307,0.2857142857142857,0.1051350343501997,0.7142857142857143,0.7692307692307693,0.1023009573731548,0.3076923076923077,0.1818181818181818,0.0826512075429053,0.8181818181818182,0.6923076923076923,stable_positive_bias,stable_positive_bias,0.5675732649137559,-0.7798742516903432,0.7798742516903432,elasticnet:compact_water_road,-0.15995058956184205,-0.934587317744457,0.934587317744457,one_feature_ridge:one_feature:landuse_entropy_250m,
