time,temperature_2m,relative_humidity_2m,wind_speed_10m_ms,shortwave_radiation,direct_radiation,diffuse_radiation,cloud_cover,cell_id,lat,lon,building_density,road_fraction,gvi_percent,svf,shade_fraction,park_distance_m,elderly_proxy,outdoor_exposure_proxy,land_use_hint,tair_local_c,wind_local_ms,tmrt_proxy_c,utci_c,wbgt_proxy_c,wbgt_category_sg,utci_category,wbgt_moderate_or_high,wbgt_high,utci_strong_or_higher
2026-05-14 00:00:00+0800,27.93,87.1,1.68,8.0,5.2,2.8,70.5,TP_001,1.328,103.8511,0.516,0.289,19.08,0.726,0.44,738.0,0.259,0.442,HDB/residential,28.384175,1.2313615439999999,27.9206838,29.288465297444304,27.024778042562097,low,moderate heat stress,False,False,False
2026-05-14 00:00:00+0800,27.93,87.1,1.68,8.0,5.2,2.8,70.5,TP_002,1.328,103.8537,0.471,0.313,13.97,0.503,0.423,629.0,0.094,0.563,mixed,28.40095,1.020369567,28.075193213333336,29.48282936219794,27.061036977573696,low,moderate heat stress,False,False,False
2026-05-14 00:00:00+0800,27.93,87.1,1.68,8.0,5.2,2.8,70.5,TP_003,1.328,103.8563,0.445,0.265,12.01,0.399,0.479,867.0,0.183,0.279,mixed,28.441812499999997,0.920857245,28.157849419999998,29.601002179807722,27.109502920806108,low,moderate heat stress,False,False,False
2026-05-14 00:00:00+0800,27.93,87.1,1.68,8.0,5.2,2.8,70.5,TP_004,1.328,103.8589,0.467,0.279,10.57,0.586,0.345,885.0,0.15,0.672,mixed,28.5060125,1.109566458,28.302847566666667,29.594601805997666,27.16758018773305,low,moderate heat stress,False,False,False
2026-05-14 00:00:00+0800,27.93,87.1,1.68,8.0,5.2,2.8,70.5,TP_005,1.328,103.8615,0.49,0.215,20.21,0.434,0.473,511.0,0.114,0.374,mixed,28.170875,0.9402149399999999,27.644496306666664,29.2070222262013,26.826107299128868,low,moderate heat stress,False,False,False
2026-05-14 00:00:00+0800,27.93,87.1,1.68,8.0,5.2,2.8,70.5,TP_006,1.3302,103.8485,0.528,0.344,10.14,0.495,0.295,771.0,0.157,0.657,HDB/residential,28.626787500000002,0.9877778399999999,28.435810500000002,29.78936812579017,27.29382219451077,low,moderate heat stress,False,False,False
2026-05-14 00:00:00+0800,27.93,87.1,1.68,8.0,5.2,2.8,70.5,TP_007,1.3302,103.8511,0.515,0.159,12.47,0.496,0.361,889.0,0.232,0.462,HDB/residential,28.4235875,0.9943239599999998,28.152204620000003,29.54540048059273,27.08823415700668,low,moderate heat stress,False,False,False
2026-05-14 00:00:00+0800,27.93,87.1,1.68,8.0,5.2,2.8,70.5,TP_008,1.3302,103.8537,0.46,0.245,13.05,0.661,0.372,783.0,0.125,0.306,mixed,28.415124999999996,1.19210154,28.139771506666662,29.42637259841023,27.069246343877595,low,moderate heat stress,False,False,False
2026-05-14 00:00:00+0800,27.93,87.1,1.68,8.0,5.2,2.8,70.5,TP_009,1.3302,103.8563,0.545,0.348,10.19,0.635,0.408,779.0,0.198,0.815,HDB/residential,28.6523,1.1233199249999999,28.453830933333332,29.735576233273076,27.31120753660785,low,moderate heat stress,False,False,False
2026-05-14 00:00:00+0800,27.93,87.1,1.68,8.0,5.2,2.8,70.5,TP_010,1.3302,103.8589,0.5,0.395,2.0,0.601,0.321,968.0,0.185,0.391,HDB/residential,28.80325,1.1098394999999999,28.862853586666667,30.01256398988598,27.477057312861678,low,moderate heat stress,False,False,False
