readiness_item,status,evidence,blocker_type,next_action,claim_boundary
candidate_count,PASS,v4_rows=150 expected=150,documentation_caveat,none,"B8.6g3 true-vector source review and B8.7a closeout only; not B9, not AOI-wide prediction, not local WBGT, not hazard_score or risk_score, not exposure/vulnerability scoring, not observed truth, not causal feature importance, no raster, no QGIS/SOLWEIG, no N300 execution manifest, no Tmrt-to-WBGT conversion, and no System A/B coupling."
N150_overlap,PASS,overlap_count=0,documentation_caveat,none,"B8.6g3 true-vector source review and B8.7a closeout only; not B9, not AOI-wide prediction, not local WBGT, not hazard_score or risk_score, not exposure/vulnerability scoring, not observed truth, not causal feature importance, no raster, no QGIS/SOLWEIG, no N300 execution manifest, no Tmrt-to-WBGT conversion, and no System A/B coupling."
duplicate_cell_id,PASS,duplicate_count=0,documentation_caveat,none,"B8.6g3 true-vector source review and B8.7a closeout only; not B9, not AOI-wide prediction, not local WBGT, not hazard_score or risk_score, not exposure/vulnerability scoring, not observed truth, not causal feature importance, no raster, no QGIS/SOLWEIG, no N300 execution manifest, no Tmrt-to-WBGT conversion, and no System A/B coupling."
manual_water_exclusions,PASS,replaced_water_cells=TP_0830|TP_0858|TP_0943,documentation_caveat,no action; B8.7a replacements remain outside v4 candidate rows,"B8.6g3 true-vector source review and B8.7a closeout only; not B9, not AOI-wide prediction, not local WBGT, not hazard_score or risk_score, not exposure/vulnerability scoring, not observed truth, not causal feature importance, no raster, no QGIS/SOLWEIG, no N300 execution manifest, no Tmrt-to-WBGT conversion, and no System A/B coupling."
source_review_cells,PASS,closed=3/3,documentation_caveat,carry caveats into B8.7b,"B8.6g3 true-vector source review and B8.7a closeout only; not B9, not AOI-wide prediction, not local WBGT, not hazard_score or risk_score, not exposure/vulnerability scoring, not observed truth, not causal feature importance, no raster, no QGIS/SOLWEIG, no N300 execution manifest, no Tmrt-to-WBGT conversion, and no System A/B coupling."
TP_0103,PASS,Keep as river-edge mixed-bank candidate; compact water proxy may overstate water surface and should not be treated as pure-water truth.,documentation_caveat,Carry caveat into B8.7b precheck; no replacement required.,"B8.6g3 true-vector source review and B8.7a closeout only; not B9, not AOI-wide prediction, not local WBGT, not hazard_score or risk_score, not exposure/vulnerability scoring, not observed truth, not causal feature importance, no raster, no QGIS/SOLWEIG, no N300 execution manifest, no Tmrt-to-WBGT conversion, and no System A/B coupling."
TP_0104,PASS,Keep as river-edge mixed-bank candidate; compact water proxy may overstate water surface and should not be treated as pure-water truth.,documentation_caveat,Carry caveat into B8.7b precheck; no replacement required.,"B8.6g3 true-vector source review and B8.7a closeout only; not B9, not AOI-wide prediction, not local WBGT, not hazard_score or risk_score, not exposure/vulnerability scoring, not observed truth, not causal feature importance, no raster, no QGIS/SOLWEIG, no N300 execution manifest, no Tmrt-to-WBGT conversion, and no System A/B coupling."
TP_0464,PASS,"Keep with utility-site and pedestrian-relevance caveat; useful as woodland/utility edge context, not as a pure pedestrian exposure cell.",documentation_caveat,Carry utility/woodland caveat into B8.7b precheck; no replacement required.,"B8.6g3 true-vector source review and B8.7a closeout only; not B9, not AOI-wide prediction, not local WBGT, not hazard_score or risk_score, not exposure/vulnerability scoring, not observed truth, not causal feature importance, no raster, no QGIS/SOLWEIG, no N300 execution manifest, no Tmrt-to-WBGT conversion, and no System A/B coupling."
connected_shade_corridor,NOT_AVAILABLE,MISSING_EXPLICIT_SHADE_CONNECTIVITY_SOURCE,surrogate_aoi_b9_blocker,Not an N300 execution-precheck blocker; required before AOI/B9 surrogate promotion.,"B8.6g3 true-vector source review and B8.7a closeout only; not B9, not AOI-wide prediction, not local WBGT, not hazard_score or risk_score, not exposure/vulnerability scoring, not observed truth, not causal feature importance, no raster, no QGIS/SOLWEIG, no N300 execution manifest, no Tmrt-to-WBGT conversion, and no System A/B coupling."
pedestrian_network,PARTIAL_COVERED_WALKWAY_ONLY,NO_FULL_FOOTPATH_NETWORK_SOURCE,future_feature_gap,"Can proceed to B8.7b precheck, but B8.6g4 should acquire/QA true pedestrian paths.","B8.6g3 true-vector source review and B8.7a closeout only; not B9, not AOI-wide prediction, not local WBGT, not hazard_score or risk_score, not exposure/vulnerability scoring, not observed truth, not causal feature importance, no raster, no QGIS/SOLWEIG, no N300 execution manifest, no Tmrt-to-WBGT conversion, and no System A/B coupling."
