lane_id,artifact_path,exists,status,key_result,claim_boundary,next_action
A-L1H.4,docs/v11/OpenHeat_SystemA_L1H4_prob_exceedance_suite_CN.md,yes,A_L1H4_COMPANION_PROMISING,P_ge31 companion promising; P_ge33 low support; no station correction.,Companion diagnostics only; not official warning probability.,Use only as supporting evidence for frozen contract and future prospective evaluation.
A-L1H.4,outputs/v11_systema_l1_high_tail/prob_exceedance_suite/A_L1H4_STATUS.md,yes,A_L1H4_COMPANION_PROMISING,"A_L1H4_COMPANION_PROMISING; n=1674, ge31=204, ge33=15; best_F1 P_ge31 recall 0.765.","P_ge31 optional diagnostic companion, not official warning probability.",Keep as retrospective LOSO evidence pending formal prospective snapshot.
A-L1H.4,outputs/v11_systema_l1_high_tail/prob_exceedance_suite/l1h4_report.md,yes,A_L1H4_COMPANION_PROMISING,"Probability, expected exceedance, and interval diagnostics are available as companions.","No station-adjusted WBGT, local 100 m WBGT, System A/B coupling, risk_score, or hazard_score.",Preserve evidence and evaluate only on future frozen snapshot.
A-L1H.5,docs/v11/OpenHeat_SystemA_L1H5_model_card_output_contract_CN.md,yes,A_L1H5_CONTRACT_PASS,System A Level 1 output contract frozen.,wbgt_a_c remains primary; optional companions remain diagnostics.,Do not modify contract decisions in A-L1H.8.
A-L1H.5,outputs/v11_systema_l1_high_tail/model_card_output_contract/A_L1H5_STATUS.md,yes,A_L1H5_CONTRACT_PASS,A_L1H5_CONTRACT_PASS; primary output wbgt_a_c; Level 2 explanatory only.,"No station-adjusted WBGT, local 100 m WBGT, official warning probability, or risk/hazard score.",Treat as frozen source of truth for this dossier.
A-L1H.5,outputs/v11_systema_l1_high_tail/model_card_output_contract/a_l1h5_systema_model_card.md,yes,A_L1H5_CONTRACT_PASS,"Model card defines intended use, not-intended use, validation evidence, and failure modes.",Calibrated hourly WBGT_A temporal baseline only.,Update only after future formal snapshot review.
A-L1H.5,outputs/v11_systema_l1_high_tail/model_card_output_contract/a_l1h5_hourly_output_contract_v1.md,yes,A_L1H5_CONTRACT_PASS,"Required, optional, and forbidden hourly columns frozen.",Optional companions do not replace wbgt_a_c.,Enforce contract during future snapshot and prospective evaluation.
A-L1H.6,docs/v11/OpenHeat_SystemA_L1H6_prospective_eval_harness_CN.md,yes,A_L1H6_WAITING_FOR_FORMAL_SNAPSHOT,Prospective evaluation harness documented.,Harness waits for real formal snapshot and writes no fake metrics.,Rerun only after reviewed formal snapshot exists.
A-L1H.6,outputs/v11_systema_l1_high_tail/prospective_eval_harness/A_L1H6_STATUS.md,yes,A_L1H6_WAITING_FOR_FORMAL_SNAPSHOT,A_L1H6_WAITING_FOR_FORMAL_SNAPSHOT; snapshot found false.,No promotion of P_ge31 and no prospective pass before snapshot.,Rerun after A-L1H.7 writes a reviewed formal snapshot.
A-L1H.6,outputs/v11_systema_l1_high_tail/prospective_eval_harness/a_l1h6_report.md,yes,A_L1H6_WAITING_FOR_FORMAL_SNAPSHOT,Required future schema and promotion gates are prepared.,No official warning probability; metrics are internal diagnostics.,Use command in waiting register after snapshot freeze.
A-L1H.7,docs/v11/OpenHeat_SystemA_L1H7_formal_snapshot_freezer_CN.md,yes,A_L1H7_WAITING_FOR_FORMAL_INPUT,Formal snapshot freezer documented.,Schema bridge only; no fake rows or metrics.,Switch to write_snapshot only when real candidate passes checks.
A-L1H.7,outputs/v11_systema_l1_high_tail/formal_snapshot_freezer/A_L1H7_STATUS.md,yes,A_L1H7_WAITING_FOR_FORMAL_INPUT,A_L1H7_WAITING_FOR_FORMAL_INPUT; no plausible formal candidate found.,Dry-run freezer only; no archive collector changes.,"Provide real compact formal input, run write_snapshot, then rerun A-L1H.6."
A-L1H.7,outputs/v11_systema_l1_high_tail/formal_snapshot_freezer/a_l1h7_report.md,yes,A_L1H7_WAITING_FOR_FORMAL_INPUT,Candidate tables scanned; all current candidates are not formal snapshot schema.,Do not use live-growing archive as formal pass.,Wait for real formal snapshot candidate with required schema and support.
A-L2.1c,docs/v11/OpenHeat_SystemA_L2_scoped_residual_preflight_CN.md,yes,A_L2_SCOPED_SIGNAL_PROMISING,Scoped residual preflight documented.,Level 2 is explanatory only.,Future station metadata/SVF/LCZ/siting work only in separately opened lane.
