lane_item,current_decision,evidence,blocker,allowed_next_action,forbidden_action
Level 1 deterministic baseline,PRIMARY_FROZEN,A-L1H.5 output contract: wbgt_a_c is primary; A-L1H.4 deterministic evidence retained.,None for current frozen contract; prospective validation still pending for stronger claims.,Evaluate wbgt_a_c on a future formal snapshot.,Replace primary output without a new explicit lane.
P_ge31 companion,OPTIONAL_DIAGNOSTIC_COMPANION,"A-L1H.4 P_ge31 Brier=0.052, ECE=0.018, PR-AUC=0.610; best_F1 recall=0.765.",No formal prospective snapshot yet.,Evaluate promotion gates in A-L1H.6 after snapshot.,Call it official warning probability.
expected exceedance,OPTIONAL_DIAGNOSTIC,A-L1H.4 expected exceedance MAE=0.100 C; positive-event MAE=0.779 C.,Prospective evaluation absent.,Report as internal diagnostic if populated by contract.,Treat as corrected WBGT forecast.
conformal interval,OPTIONAL_DIAGNOSTIC,"A-L1H.4 conformal 90% coverage=0.898, mean width=2.869 C.",Near-ge33 support weak; prospective validation absent.,Retain interval diagnostics in formal evaluation.,Claim guaranteed operational interval.
P_ge33,EXPLORATORY_LOW_SUPPORT,A-L1H.4 ge33 events=15.,Insufficient ge33 event support.,Report support count; revisit only with at least 30 real events and calibration evidence.,Promote severe warning probability.
Level 2 residual explanation,EXPLANATORY_ONLY,A-L2.1c weak high-tail signal; score residual not identifiable.,"n=27 station constraints, S142/S139 caveats, limited station metadata.",Future explanatory protocol with longer archive and better station metadata/SVF/LCZ/siting.,Create station correction or System B modifier.
station-adjusted WBGT,FORBIDDEN,A-L1H.5 and A-L2.1c explicitly forbid station_adjusted_wbgt_c.,No identifiable score residual correction and no validated station correction model.,None in current lane.,Output station_adjusted_wbgt_c.
local 100m WBGT,FORBIDDEN,A-L1H.5 contract and project claim boundaries.,System A does not convert SOLWEIG/Tmrt or station context into local WBGT.,None in current lane.,Output local_wbgt_c or delta_wbgt_cell.
formal snapshot,WAITING_FOR_REAL_INPUT,A-L1H.7 waits for formal input; A-L1H.6 waits for formal snapshot.,No real compact candidate with required schema and support.,Run A-L1H.7 write_snapshot after reviewed input exists.,Use live-growing archive as formal pass or create fake rows.
prospective evaluation,HARNESS_READY_WAITING,A-L1H.6 harness and gates exist.,Formal snapshot missing.,Run A-L1H.6 after formal snapshot freeze.,Claim final prospective pass before snapshot.
System B coupling,OUT_OF_SCOPE_FORBIDDEN,A-L1H.5 contract excludes System B/SOLWEIG/Tmrt/cell_id features.,No scoped coupling lane and no validated coupling contract.,Open a separate future lane only if explicitly requested.,Create System A/B coupling output in this lane.
risk/hazard,FORBIDDEN,Project claim boundaries and A-L1H.5 contract forbid risk_score and hazard_score.,Exposure and vulnerability are not explicit and no risk model is complete.,Discuss future risk overlay only after separate explicit scope.,Output risk_score or hazard_score.
