candidate_path,forbidden_column,present,check_status,reason
outputs/v11_level1/prospective_eval/current_capability_classification.csv,cell_id,no,PASS,absent
outputs/v11_level1/prospective_eval/current_capability_classification.csv,local_wbgt_c,no,PASS,absent
outputs/v11_level1/prospective_eval/current_capability_classification.csv,delta_wbgt_cell,no,PASS,absent
outputs/v11_level1/prospective_eval/current_capability_classification.csv,station_adjusted_wbgt_c,no,PASS,absent
outputs/v11_level1/prospective_eval/current_capability_classification.csv,risk_score,no,PASS,absent
outputs/v11_level1/prospective_eval/current_capability_classification.csv,hazard_score,no,PASS,absent
outputs/v11_level1/prospective_eval/live_smoke/live_smoke_validation.csv,cell_id,no,PASS,absent
outputs/v11_level1/prospective_eval/live_smoke/live_smoke_validation.csv,local_wbgt_c,no,PASS,absent
outputs/v11_level1/prospective_eval/live_smoke/live_smoke_validation.csv,delta_wbgt_cell,no,PASS,absent
outputs/v11_level1/prospective_eval/live_smoke/live_smoke_validation.csv,station_adjusted_wbgt_c,no,PASS,absent
outputs/v11_level1/prospective_eval/live_smoke/live_smoke_validation.csv,risk_score,no,PASS,absent
outputs/v11_level1/prospective_eval/live_smoke/live_smoke_validation.csv,hazard_score,no,PASS,absent
outputs/v11_level1/prospective_eval/local_dry_smoke/local_dry_smoke_validation.csv,cell_id,no,PASS,absent
outputs/v11_level1/prospective_eval/local_dry_smoke/local_dry_smoke_validation.csv,local_wbgt_c,no,PASS,absent
outputs/v11_level1/prospective_eval/local_dry_smoke/local_dry_smoke_validation.csv,delta_wbgt_cell,no,PASS,absent
outputs/v11_level1/prospective_eval/local_dry_smoke/local_dry_smoke_validation.csv,station_adjusted_wbgt_c,no,PASS,absent
outputs/v11_level1/prospective_eval/local_dry_smoke/local_dry_smoke_validation.csv,risk_score,no,PASS,absent
outputs/v11_level1/prospective_eval/local_dry_smoke/local_dry_smoke_validation.csv,hazard_score,no,PASS,absent
outputs/v11_level1/prospective_eval/metadata_patch/prospective_metadata_schema_smoke.csv,cell_id,no,PASS,absent
outputs/v11_level1/prospective_eval/metadata_patch/prospective_metadata_schema_smoke.csv,local_wbgt_c,no,PASS,absent
outputs/v11_level1/prospective_eval/metadata_patch/prospective_metadata_schema_smoke.csv,delta_wbgt_cell,no,PASS,absent
outputs/v11_level1/prospective_eval/metadata_patch/prospective_metadata_schema_smoke.csv,station_adjusted_wbgt_c,no,PASS,absent
outputs/v11_level1/prospective_eval/metadata_patch/prospective_metadata_schema_smoke.csv,risk_score,no,PASS,absent
outputs/v11_level1/prospective_eval/metadata_patch/prospective_metadata_schema_smoke.csv,hazard_score,no,PASS,absent
outputs/v11_level1/prospective_eval/prospective_eval_artifact_inventory.csv,cell_id,no,PASS,absent
outputs/v11_level1/prospective_eval/prospective_eval_artifact_inventory.csv,local_wbgt_c,no,PASS,absent
outputs/v11_level1/prospective_eval/prospective_eval_artifact_inventory.csv,delta_wbgt_cell,no,PASS,absent
outputs/v11_level1/prospective_eval/prospective_eval_artifact_inventory.csv,station_adjusted_wbgt_c,no,PASS,absent
outputs/v11_level1/prospective_eval/prospective_eval_artifact_inventory.csv,risk_score,no,PASS,absent
outputs/v11_level1/prospective_eval/prospective_eval_artifact_inventory.csv,hazard_score,no,PASS,absent
outputs/v11_level1/prospective_eval/prospective_metadata_gap_audit.csv,cell_id,no,PASS,absent
outputs/v11_level1/prospective_eval/prospective_metadata_gap_audit.csv,local_wbgt_c,no,PASS,absent
outputs/v11_level1/prospective_eval/prospective_metadata_gap_audit.csv,delta_wbgt_cell,no,PASS,absent
outputs/v11_level1/prospective_eval/prospective_metadata_gap_audit.csv,station_adjusted_wbgt_c,no,PASS,absent
outputs/v11_level1/prospective_eval/prospective_metadata_gap_audit.csv,risk_score,no,PASS,absent
outputs/v11_level1/prospective_eval/prospective_metadata_gap_audit.csv,hazard_score,no,PASS,absent
