candidate_path,target_column,required_or_optional,source_column,mapping_status,reason
outputs/v11_level1/prospective_eval/current_capability_classification.csv,timestamp_sgt,required,,MISSING,No exact column or safe alias.
outputs/v11_level1/prospective_eval/current_capability_classification.csv,timestamp_utc,required,,MISSING,No exact column or safe alias.
outputs/v11_level1/prospective_eval/current_capability_classification.csv,station_id,required,,MISSING,No exact column or safe alias.
outputs/v11_level1/prospective_eval/current_capability_classification.csv,official_wbgt_c,required,,MISSING,No exact column or safe alias.
outputs/v11_level1/prospective_eval/current_capability_classification.csv,wbgt_a_c,required,,MISSING,No exact column or safe alias.
outputs/v11_level1/prospective_eval/current_capability_classification.csv,wbgt_a_model_id,required,,MISSING,No exact column or safe alias.
outputs/v11_level1/prospective_eval/current_capability_classification.csv,wbgt_a_version,required,,MISSING,No exact column or safe alias.
outputs/v11_level1/prospective_eval/current_capability_classification.csv,is_retrospective_or_prospective,required,,MISSING,No exact column or safe alias.
outputs/v11_level1/prospective_eval/current_capability_classification.csv,quality_flag,required,,MISSING,No exact column or safe alias.
outputs/v11_level1/prospective_eval/current_capability_classification.csv,p_ge31_optional,optional,,MISSING,No exact column or safe alias.
outputs/v11_level1/prospective_eval/current_capability_classification.csv,p_ge31_model_id_optional,optional,,MISSING,No exact column or safe alias.
outputs/v11_level1/prospective_eval/current_capability_classification.csv,p_ge31_threshold_policy_optional,optional,,MISSING,No exact column or safe alias.
outputs/v11_level1/prospective_eval/current_capability_classification.csv,p_ge33_optional,optional,,MISSING,No exact column or safe alias.
outputs/v11_level1/prospective_eval/current_capability_classification.csv,expected_exceedance_ge31_optional,optional,,MISSING,No exact column or safe alias.
outputs/v11_level1/prospective_eval/current_capability_classification.csv,prediction_interval_low_optional,optional,,MISSING,No exact column or safe alias.
outputs/v11_level1/prospective_eval/current_capability_classification.csv,prediction_interval_high_optional,optional,,MISSING,No exact column or safe alias.
outputs/v11_level1/prospective_eval/current_capability_classification.csv,lead_time_hours_optional,optional,,MISSING,No exact column or safe alias.
outputs/v11_level1/prospective_eval/live_smoke/live_smoke_validation.csv,timestamp_sgt,required,,MISSING,No exact column or safe alias.
outputs/v11_level1/prospective_eval/live_smoke/live_smoke_validation.csv,timestamp_utc,required,,MISSING,No exact column or safe alias.
outputs/v11_level1/prospective_eval/live_smoke/live_smoke_validation.csv,station_id,required,,MISSING,No exact column or safe alias.
outputs/v11_level1/prospective_eval/live_smoke/live_smoke_validation.csv,official_wbgt_c,required,,MISSING,No exact column or safe alias.
outputs/v11_level1/prospective_eval/live_smoke/live_smoke_validation.csv,wbgt_a_c,required,,MISSING,No exact column or safe alias.
outputs/v11_level1/prospective_eval/live_smoke/live_smoke_validation.csv,wbgt_a_model_id,required,,MISSING,No exact column or safe alias.
outputs/v11_level1/prospective_eval/live_smoke/live_smoke_validation.csv,wbgt_a_version,required,,MISSING,No exact column or safe alias.
outputs/v11_level1/prospective_eval/live_smoke/live_smoke_validation.csv,is_retrospective_or_prospective,required,,MISSING,No exact column or safe alias.
outputs/v11_level1/prospective_eval/live_smoke/live_smoke_validation.csv,quality_flag,required,,MISSING,No exact column or safe alias.
outputs/v11_level1/prospective_eval/live_smoke/live_smoke_validation.csv,p_ge31_optional,optional,,MISSING,No exact column or safe alias.
outputs/v11_level1/prospective_eval/live_smoke/live_smoke_validation.csv,p_ge31_model_id_optional,optional,,MISSING,No exact column or safe alias.
outputs/v11_level1/prospective_eval/live_smoke/live_smoke_validation.csv,p_ge31_threshold_policy_optional,optional,,MISSING,No exact column or safe alias.
outputs/v11_level1/prospective_eval/live_smoke/live_smoke_validation.csv,p_ge33_optional,optional,,MISSING,No exact column or safe alias.
