category,selected_count,coverage_type,core8_retained_count,new_cell_count,legacy_diagnostic_count,selection_freeze_version
added16,16,selection_tier,8,14,2,b2_2_human_qa_freeze
core8,8,selection_tier,8,14,2,b2_2_human_qa_freeze
civic_institutional,2,typology_label,8,14,2,b2_2_human_qa_freeze
dense_shaded_low_svf,1,typology_label,8,14,2,b2_2_human_qa_freeze
grass_park_green_mixed,1,typology_label,8,14,2,b2_2_human_qa_freeze
hdb_canyon,1,typology_label,8,14,2,b2_2_human_qa_freeze
low_rise_residential_null_control,1,typology_label,8,14,2,b2_2_human_qa_freeze
open_paved_hardscape_parking_lot,1,typology_label,8,14,2,b2_2_human_qa_freeze
other,1,typology_label,8,14,2,b2_2_human_qa_freeze
overhead_confounded_transport_deck,1,typology_label,8,14,2,b2_2_human_qa_freeze
park_open_space,3,typology_label,8,14,2,b2_2_human_qa_freeze
residential,4,typology_label,8,14,2,b2_2_human_qa_freeze
river_edge_shaded_walkway,1,typology_label,8,14,2,b2_2_human_qa_freeze
school_gate_bus_stop_waiting_node,1,typology_label,8,14,2,b2_2_human_qa_freeze
school_gate_road_edge_hot_anchor,1,typology_label,8,14,2,b2_2_human_qa_freeze
stable_high_rise_residential_estate,1,typology_label,8,14,2,b2_2_human_qa_freeze
street_canyon_wall_adjacent_low_svf,1,typology_label,8,14,2,b2_2_human_qa_freeze
transport,1,typology_label,8,14,2,b2_2_human_qa_freeze
tree_shaded_reference,1,typology_label,8,14,2,b2_2_human_qa_freeze
water,1,typology_label,8,14,2,b2_2_human_qa_freeze
