cell_id,lat,lon,building_density,road_fraction,gvi_percent,svf,shade_fraction,park_distance_m,elderly_proxy,outdoor_exposure_proxy,land_use_hint,nearest_station_id,nearest_device_id,nearest_station_name,nearest_station_lat,nearest_station_lon,nearest_air_temperature_c,nearest_reading_type,nearest_reading_unit,nearest_relative_humidity_percent,nearest_reading_type_rhs,nearest_reading_unit_rhs,nearest_wind_speed_raw,nearest_wind_speed_ms,nearest_official_wbgt_c,nearest_station_distance_m
TP_001,1.328,103.8511,0.516,0.289,19.08,0.726,0.44,738.0,0.259,0.442,HDB/residential,S111,S111,Scotts Road,1.31055,103.8365,32.2,Air Temperature,deg C,66.5,Wet Bulb Globe Temperature,deg C,6.6,3.3953303999999997,31.4,2529.6528222671227
TP_002,1.328,103.8537,0.471,0.313,13.97,0.503,0.423,629.0,0.094,0.563,mixed,S111,S111,Scotts Road,1.31055,103.8365,32.2,Air Temperature,deg C,66.5,Wet Bulb Globe Temperature,deg C,6.6,3.3953303999999997,31.4,2724.1297299698663
TP_003,1.328,103.8563,0.445,0.265,12.01,0.399,0.479,867.0,0.183,0.279,mixed,S111,S111,Scotts Road,1.31055,103.8365,32.2,Air Temperature,deg C,66.5,Wet Bulb Globe Temperature,deg C,6.6,3.3953303999999997,31.4,2934.22886815073
TP_004,1.328,103.8589,0.467,0.279,10.57,0.586,0.345,885.0,0.15,0.672,mixed,S111,S111,Scotts Road,1.31055,103.8365,32.2,Air Temperature,deg C,66.5,Wet Bulb Globe Temperature,deg C,6.6,3.3953303999999997,31.4,3156.8326208643
TP_005,1.328,103.8615,0.49,0.215,20.21,0.434,0.473,511.0,0.114,0.374,mixed,S43,S43,Kim Chuan Road,1.3399,103.8878,31.9,Air Temperature,deg C,70.2,Wet Bulb Globe Temperature,deg C,3.1,1.5947764,31.1,3209.134783130327
TP_006,1.3302,103.8485,0.528,0.344,10.14,0.495,0.295,771.0,0.157,0.657,HDB/residential,S111,S111,Scotts Road,1.31055,103.8365,32.2,Air Temperature,deg C,66.5,Wet Bulb Globe Temperature,deg C,6.6,3.3953303999999997,31.4,2560.01063301271
TP_007,1.3302,103.8511,0.515,0.159,12.47,0.496,0.361,889.0,0.232,0.462,HDB/residential,S111,S111,Scotts Road,1.31055,103.8365,32.2,Air Temperature,deg C,66.5,Wet Bulb Globe Temperature,deg C,6.6,3.3953303999999997,31.4,2721.8222181670935
TP_008,1.3302,103.8537,0.46,0.245,13.05,0.661,0.372,783.0,0.125,0.306,mixed,S111,S111,Scotts Road,1.31055,103.8365,32.2,Air Temperature,deg C,66.5,Wet Bulb Globe Temperature,deg C,6.6,3.3953303999999997,31.4,2903.4556421288526
TP_009,1.3302,103.8563,0.545,0.348,10.19,0.635,0.408,779.0,0.198,0.815,HDB/residential,S111,S111,Scotts Road,1.31055,103.8365,32.2,Air Temperature,deg C,66.5,Wet Bulb Globe Temperature,deg C,6.6,3.3953303999999997,31.4,3101.430295306105
TP_010,1.3302,103.8589,0.5,0.395,2.0,0.601,0.321,968.0,0.185,0.391,HDB/residential,S111,S111,Scotts Road,1.31055,103.8365,32.2,Air Temperature,deg C,66.5,Wet Bulb Globe Temperature,deg C,6.6,3.3953303999999997,31.4,3312.8178066118685
TP_011,1.3302,103.8615,0.486,0.329,18.53,0.507,0.398,646.0,0.226,0.569,mixed,S43,S43,Kim Chuan Road,1.3399,103.8878,31.9,Air Temperature,deg C,70.2,Wet Bulb Globe Temperature,deg C,3.1,1.5947764,31.1,3116.245550071402
TP_012,1.3302,103.8641,0.465,0.371,11.84,0.656,0.349,788.0,0.16,0.354,mixed,S43,S43,Kim Chuan Road,1.3399,103.8878,31.9,Air Temperature,deg C,70.2,Wet Bulb Globe Temperature,deg C,3.1,1.5947764,31.1,2846.8400636525926
TP_013,1.3324,103.8485,0.51,0.351,10.93,0.51,0.303,723.0,0.163,0.434,HDB/residential,S111,S111,Scotts Road,1.31055,103.8365,32.2,Air Temperature,deg C,66.5,Wet Bulb Globe Temperature,deg C,6.6,3.3953303999999997,31.4,2771.734929734297
TP_014,1.3324,103.8511,0.494,0.332,20.49,0.587,0.479,592.0,0.084,0.527,mixed,S111,S111,Scotts Road,1.31055,103.8365,32.2,Air Temperature,deg C,66.5,Wet Bulb Globe Temperature,deg C,6.6,3.3953303999999997,31.4,2921.844538675888
TP_015,1.3324,103.8537,0.512,0.467,9.92,0.565,0.378,651.0,0.237,0.72,HDB/residential,S111,S111,Scotts Road,1.31055,103.8365,32.2,Air Temperature,deg C,66.5,Wet Bulb Globe Temperature,deg C,6.6,3.3953303999999997,31.4,3091.74919417598
TP_016,1.3324,103.8563,0.552,0.167,17.5,0.39,0.48,918.0,0.21,0.382,HDB/residential,S111,S111,Scotts Road,1.31055,103.8365,32.2,Air Temperature,deg C,66.5,Wet Bulb Globe Temperature,deg C,6.6,3.3953303999999997,31.4,3278.3726504473534
TP_017,1.3324,103.8589,0.514,0.23,3.11,0.518,0.263,971.0,0.134,0.636,HDB/residential,S43,S43,Kim Chuan Road,1.3399,103.8878,31.9,Air Temperature,deg C,70.2,Wet Bulb Globe Temperature,deg C,3.1,1.5947764,31.1,3319.137579793161
TP_018,1.3324,103.8615,0.463,0.274,15.44,0.425,0.433,849.0,0.1,0.372,mixed,S43,S43,Kim Chuan Road,1.3399,103.8878,31.9,Air Temperature,deg C,70.2,Wet Bulb Globe Temperature,deg C,3.1,1.5947764,31.1,3040.248859772582
TP_019,1.3324,103.8641,0.508,0.393,4.74,0.372,0.37,920.0,0.193,0.572,HDB/residential,S43,S43,Kim Chuan Road,1.3399,103.8878,31.9,Air Temperature,deg C,70.2,Wet Bulb Globe Temperature,deg C,3.1,1.5947764,31.1,2763.4446956016914
TP_020,1.3346,103.8485,0.462,0.349,12.85,0.474,0.511,726.0,0.12,0.609,mixed,S111,S111,Scotts Road,1.31055,103.8365,32.2,Air Temperature,deg C,66.5,Wet Bulb Globe Temperature,deg C,6.6,3.3953303999999997,31.4,2988.4881020171983
TP_021,1.3346,103.8511,0.455,0.363,17.24,0.478,0.491,639.0,0.221,0.758,mixed,S111,S111,Scotts Road,1.31055,103.8365,32.2,Air Temperature,deg C,66.5,Wet Bulb Globe Temperature,deg C,6.6,3.3953303999999997,31.4,3128.2137656896543
TP_022,1.3346,103.8537,0.5,0.21,6.56,0.435,0.348,823.0,0.194,0.549,mixed,S111,S111,Scotts Road,1.31055,103.8365,32.2,Air Temperature,deg C,66.5,Wet Bulb Globe Temperature,deg C,6.6,3.3953303999999997,31.4,3287.469851928617
TP_023,1.3346,103.8563,0.521,0.356,9.47,0.827,0.415,627.0,0.126,0.688,HDB/residential,S111,S111,Scotts Road,1.31055,103.8365,32.2,Air Temperature,deg C,66.5,Wet Bulb Globe Temperature,deg C,6.6,3.3953303999999997,31.4,3463.5633567707673
