asset_kind,pattern_id,candidate_pattern,pattern_scope,metadata_only,not_run_ready,notes,claim_boundary
cell_tile_folder,asset_root_cell,<asset_root>/<cell_id>/,folder_exists_metadata,true,true,Declare/check path metadata only; do not create files or open raster contents.,"B8.7b.1 local asset readiness only; not B9, not AOI-wide prediction, not local WBGT, not hazard_score or risk_score, not exposure/vulnerability score, not observed truth, not causal feature importance, no raster read/write/copy/open, no QGIS/SOLWEIG execution, no run-ready N300 manifest, no QGIS runner, no local runner, no Tmrt-to-WBGT conversion, and no System A/B coupling."
cell_tile_folder,asset_root_tiles_cell,<asset_root>/tiles/<cell_id>/,folder_exists_metadata,true,true,Declare/check path metadata only; do not create files or open raster contents.,"B8.7b.1 local asset readiness only; not B9, not AOI-wide prediction, not local WBGT, not hazard_score or risk_score, not exposure/vulnerability score, not observed truth, not causal feature importance, no raster read/write/copy/open, no QGIS/SOLWEIG execution, no run-ready N300 manifest, no QGIS runner, no local runner, no Tmrt-to-WBGT conversion, and no System A/B coupling."
cell_tile_folder,b85_f1_tiles_cell,<b85_f1_tiles_root>/<cell_id>/,folder_exists_metadata,true,true,Declare/check path metadata only; do not create files or open raster contents.,"B8.7b.1 local asset readiness only; not B9, not AOI-wide prediction, not local WBGT, not hazard_score or risk_score, not exposure/vulnerability score, not observed truth, not causal feature importance, no raster read/write/copy/open, no QGIS/SOLWEIG execution, no run-ready N300 manifest, no QGIS runner, no local runner, no Tmrt-to-WBGT conversion, and no System A/B coupling."
svf,svf_lower,<cell_tile_folder>/*svf*.tif,metadata_only_glob_filename,true,true,Declare/check path metadata only; do not create files or open raster contents.,"B8.7b.1 local asset readiness only; not B9, not AOI-wide prediction, not local WBGT, not hazard_score or risk_score, not exposure/vulnerability score, not observed truth, not causal feature importance, no raster read/write/copy/open, no QGIS/SOLWEIG execution, no run-ready N300 manifest, no QGIS runner, no local runner, no Tmrt-to-WBGT conversion, and no System A/B coupling."
svf,svf_upper,<cell_tile_folder>/*SVF*.tif,metadata_only_glob_filename,true,true,Declare/check path metadata only; do not create files or open raster contents.,"B8.7b.1 local asset readiness only; not B9, not AOI-wide prediction, not local WBGT, not hazard_score or risk_score, not exposure/vulnerability score, not observed truth, not causal feature importance, no raster read/write/copy/open, no QGIS/SOLWEIG execution, no run-ready N300 manifest, no QGIS runner, no local runner, no Tmrt-to-WBGT conversion, and no System A/B coupling."
dsm,dsm_lower,<cell_tile_folder>/*dsm*.tif,metadata_only_glob_filename,true,true,Declare/check path metadata only; do not create files or open raster contents.,"B8.7b.1 local asset readiness only; not B9, not AOI-wide prediction, not local WBGT, not hazard_score or risk_score, not exposure/vulnerability score, not observed truth, not causal feature importance, no raster read/write/copy/open, no QGIS/SOLWEIG execution, no run-ready N300 manifest, no QGIS runner, no local runner, no Tmrt-to-WBGT conversion, and no System A/B coupling."
dsm,dsm_upper,<cell_tile_folder>/*DSM*.tif,metadata_only_glob_filename,true,true,Declare/check path metadata only; do not create files or open raster contents.,"B8.7b.1 local asset readiness only; not B9, not AOI-wide prediction, not local WBGT, not hazard_score or risk_score, not exposure/vulnerability score, not observed truth, not causal feature importance, no raster read/write/copy/open, no QGIS/SOLWEIG execution, no run-ready N300 manifest, no QGIS runner, no local runner, no Tmrt-to-WBGT conversion, and no System A/B coupling."
cdsm,cdsm_lower,<cell_tile_folder>/*cdsm*.tif,metadata_only_glob_filename,true,true,Declare/check path metadata only; do not create files or open raster contents.,"B8.7b.1 local asset readiness only; not B9, not AOI-wide prediction, not local WBGT, not hazard_score or risk_score, not exposure/vulnerability score, not observed truth, not causal feature importance, no raster read/write/copy/open, no QGIS/SOLWEIG execution, no run-ready N300 manifest, no QGIS runner, no local runner, no Tmrt-to-WBGT conversion, and no System A/B coupling."
cdsm,cdsm_upper,<cell_tile_folder>/*CDSM*.tif,metadata_only_glob_filename,true,true,Declare/check path metadata only; do not create files or open raster contents.,"B8.7b.1 local asset readiness only; not B9, not AOI-wide prediction, not local WBGT, not hazard_score or risk_score, not exposure/vulnerability score, not observed truth, not causal feature importance, no raster read/write/copy/open, no QGIS/SOLWEIG execution, no run-ready N300 manifest, no QGIS runner, no local runner, no Tmrt-to-WBGT conversion, and no System A/B coupling."
dem,dem_lower,<cell_tile_folder>/*dem*.tif,metadata_only_glob_filename,true,true,Declare/check path metadata only; do not create files or open raster contents.,"B8.7b.1 local asset readiness only; not B9, not AOI-wide prediction, not local WBGT, not hazard_score or risk_score, not exposure/vulnerability score, not observed truth, not causal feature importance, no raster read/write/copy/open, no QGIS/SOLWEIG execution, no run-ready N300 manifest, no QGIS runner, no local runner, no Tmrt-to-WBGT conversion, and no System A/B coupling."
