manual_row_id,source_kind,scenario,absolute_path,user_decision,version_status,exists_by_metadata,is_file,size_bytes,source_role,notes,metadata_only,claim_boundary
1,svf_base_full,base,C:\Users\CloudStar\Documents\GitHub\Urban-Analytics-Portfolio\06-openheat_grid\data\rasters\v10\umep_svf_with_veg\SkyViewFactor.tif,use,likely_final_building_plus_existing_vegetation,yes,yes,12591754,candidate_canonical_source,Use as base full-AOI SVF source. Not directly a SOLWEIG per-tile svfs.zip; B8.7b.4 must generate/repackage per-cell/tile SVF assets.,true,B8.7b.3 metadata/header-only source lock and preplan; no raster pixel read; no raster write/copy/move/symlink; no svfs.zip open; no QGIS/SOLWEIG; no run-ready manifest/runner; no AOI/B9/WBGT/risk/hazard/exposure/vulnerability/System A-B coupling.
2,svf_building_only,not_final,,reject,deprecated_or_diagnostic_only,not_applicable,not_applicable,,reject,Do not use for N300 final labels because base scenario includes existing vegetation DSM.,true,B8.7b.3 metadata/header-only source lock and preplan; no raster pixel read; no raster write/copy/move/symlink; no svfs.zip open; no QGIS/SOLWEIG; no run-ready manifest/runner; no AOI/B9/WBGT/risk/hazard/exposure/vulnerability/System A-B coupling.
3,svf_vegetation_only,not_final,,reject,invalid_for_final_geometry,not_applicable,not_applicable,,reject,Do not use alone because it omits building obstruction.,true,B8.7b.3 metadata/header-only source lock and preplan; no raster pixel read; no raster write/copy/move/symlink; no svfs.zip open; no QGIS/SOLWEIG; no run-ready manifest/runner; no AOI/B9/WBGT/risk/hazard/exposure/vulnerability/System A-B coupling.
4,svf_overhead_full_or_tile,overhead_as_canopy,,missing,needs_materialization,not_applicable,not_applicable,,missing,"No canonical full-AOI building+vegetation+overhead SVF locked yet. For overhead_as_canopy, generate scenario-specific per-cell/tile svfs.zip from building DSM + max(existing vegetation DSM, overhead canopy).",true,B8.7b.3 metadata/header-only source lock and preplan; no raster pixel read; no raster write/copy/move/symlink; no svfs.zip open; no QGIS/SOLWEIG; no run-ready manifest/runner; no AOI/B9/WBGT/risk/hazard/exposure/vulnerability/System A-B coupling.
5,dsm,all,C:\Users\CloudStar\Documents\GitHub\Urban-Analytics-Portfolio\06-openheat_grid\data\rasters\v10\dsm_buildings_2m_augmented_reviewed_heightqa.tif,use,qa_corrected_final,yes,yes,168413,candidate_canonical_source,Final building DSM after manual QA and height/geometry QA. Supersedes v08 and intermediate v10 DSMs.,true,B8.7b.3 metadata/header-only source lock and preplan; no raster pixel read; no raster write/copy/move/symlink; no svfs.zip open; no QGIS/SOLWEIG; no run-ready manifest/runner; no AOI/B9/WBGT/risk/hazard/exposure/vulnerability/System A-B coupling.
6,cdsm_base_vegetation,base,C:\Users\CloudStar\Documents\GitHub\Urban-Analytics-Portfolio\06-openheat_grid\data\rasters\v08\dsm_vegetation_2m_toapayoh.tif,use,likely_final_base_vegetation_dsm,yes,yes,1842950,candidate_canonical_source,Base 2m vegetation DSM reused by v10/v12 flows. Overhead scenario variants are generated per tile.,true,B8.7b.3 metadata/header-only source lock and preplan; no raster pixel read; no raster write/copy/move/symlink; no svfs.zip open; no QGIS/SOLWEIG; no run-ready manifest/runner; no AOI/B9/WBGT/risk/hazard/exposure/vulnerability/System A-B coupling.
7,dem,all,,not_applicable_generate_flat_tile,flat_dem_convention,not_applicable,not_applicable,,not_applicable,No canonical full DEM/DTM. v10/v12 used generated all-zero flat DEM tiles.,true,B8.7b.3 metadata/header-only source lock and preplan; no raster pixel read; no raster write/copy/move/symlink; no svfs.zip open; no QGIS/SOLWEIG; no run-ready manifest/runner; no AOI/B9/WBGT/risk/hazard/exposure/vulnerability/System A-B coupling.
8,landcover,all,,not_applicable,not_used_by_solweig,not_applicable,not_applicable,,not_applicable,No canonical SOLWEIG landcover raster. INPUT_LC=None / USE_LC_BUILD=false.,true,B8.7b.3 metadata/header-only source lock and preplan; no raster pixel read; no raster write/copy/move/symlink; no svfs.zip open; no QGIS/SOLWEIG; no run-ready manifest/runner; no AOI/B9/WBGT/risk/hazard/exposure/vulnerability/System A-B coupling.
9,grid_geometry,all,C:\Users\CloudStar\Documents\GitHub\Urban-Analytics-Portfolio\06-openheat_grid\data\grid\toa_payoh_grid_v07_features.geojson,use,likely_final_geometry_source,yes,yes,1709553,candidate_canonical_source,"Base Toa Payoh 100m grid geometry with cell_id, used by v10/v12 configs.",true,B8.7b.3 metadata/header-only source lock and preplan; no raster pixel read; no raster write/copy/move/symlink; no svfs.zip open; no QGIS/SOLWEIG; no run-ready manifest/runner; no AOI/B9/WBGT/risk/hazard/exposure/vulnerability/System A-B coupling.
10,asset_inventory,all,C:\Users\CloudStar\Documents\GitHub\Urban-Analytics-Portfolio\06-openheat_grid\configs\v12\v12_solweig_typology_config.example.json,use,likely_final,yes,yes,4666,source_reference_to_parse,Records v12 SOLWEIG source paths and overhead_structures_geojson; parse to recover overhead layer.,true,B8.7b.3 metadata/header-only source lock and preplan; no raster pixel read; no raster write/copy/move/symlink; no svfs.zip open; no QGIS/SOLWEIG; no run-ready manifest/runner; no AOI/B9/WBGT/risk/hazard/exposure/vulnerability/System A-B coupling.
