input_key,path,exists_by_metadata,row_count,column_count,status,notes,claim_boundary
manual_source_csv_path,outputs/v12_surrogate/b8_7b3_full_raster_source_preplan/manual_inputs/b87b3_manual_full_raster_sources.csv,yes,12,6,PASS,required columns present,B8.7b.3 metadata/header-only source lock and preplan; no raster pixel read; no raster write/copy/move/symlink; no svfs.zip open; no QGIS/SOLWEIG; no run-ready manifest/runner; no AOI/B9/WBGT/risk/hazard/exposure/vulnerability/System A-B coupling.
b87b_new_candidate_sample_index_path,outputs/v12_surrogate/b8_7b_n300_execution_precheck/b87b_new_candidate_sample_index.csv,yes,150,10,PASS,required columns present,B8.7b.3 metadata/header-only source lock and preplan; no raster pixel read; no raster write/copy/move/symlink; no svfs.zip open; no QGIS/SOLWEIG; no run-ready manifest/runner; no AOI/B9/WBGT/risk/hazard/exposure/vulnerability/System A-B coupling.
b86g3_n300_v4_design_path,outputs/v12_surrogate/b8_6g3_true_vector_source_review/b86g3_n300_design_v4_source_reviewed.csv,yes,150,32,PASS,required columns present,B8.7b.3 metadata/header-only source lock and preplan; no raster pixel read; no raster write/copy/move/symlink; no svfs.zip open; no QGIS/SOLWEIG; no run-ready manifest/runner; no AOI/B9/WBGT/risk/hazard/exposure/vulnerability/System A-B coupling.
b87b1_expected_paths_path,outputs/v12_surrogate/b8_7b1_local_asset_remap/b87b1_cell_asset_expected_paths.csv,yes,150,18,PASS,required columns present,B8.7b.3 metadata/header-only source lock and preplan; no raster pixel read; no raster write/copy/move/symlink; no svfs.zip open; no QGIS/SOLWEIG; no run-ready manifest/runner; no AOI/B9/WBGT/risk/hazard/exposure/vulnerability/System A-B coupling.
b87b1_readiness_path,outputs/v12_surrogate/b8_7b1_local_asset_remap/b87b1_cell_asset_readiness_resolved.csv,yes,150,17,PASS,required columns present,B8.7b.3 metadata/header-only source lock and preplan; no raster pixel read; no raster write/copy/move/symlink; no svfs.zip open; no QGIS/SOLWEIG; no run-ready manifest/runner; no AOI/B9/WBGT/risk/hazard/exposure/vulnerability/System A-B coupling.
b87b1_status,outputs/v12_surrogate/b8_7b1_local_asset_remap/B8_7B1_STATUS.md,yes,,,PASS,prior lane context,B8.7b.3 metadata/header-only source lock and preplan; no raster pixel read; no raster write/copy/move/symlink; no svfs.zip open; no QGIS/SOLWEIG; no run-ready manifest/runner; no AOI/B9/WBGT/risk/hazard/exposure/vulnerability/System A-B coupling.
b87b1_report,outputs/v12_surrogate/b8_7b1_local_asset_remap/b87b1_report.md,yes,,,PASS,prior lane context,B8.7b.3 metadata/header-only source lock and preplan; no raster pixel read; no raster write/copy/move/symlink; no svfs.zip open; no QGIS/SOLWEIG; no run-ready manifest/runner; no AOI/B9/WBGT/risk/hazard/exposure/vulnerability/System A-B coupling.
b87b2_discovery_status,outputs/v12_surrogate/b8_7b2_cross_worktree_asset_discovery/B8_7B2_STATUS.md,yes,,,PASS,prior lane context,B8.7b.3 metadata/header-only source lock and preplan; no raster pixel read; no raster write/copy/move/symlink; no svfs.zip open; no QGIS/SOLWEIG; no run-ready manifest/runner; no AOI/B9/WBGT/risk/hazard/exposure/vulnerability/System A-B coupling.
b87b2_discovery_report,outputs/v12_surrogate/b8_7b2_cross_worktree_asset_discovery/b87b2_report.md,yes,,,PASS,prior lane context,B8.7b.3 metadata/header-only source lock and preplan; no raster pixel read; no raster write/copy/move/symlink; no svfs.zip open; no QGIS/SOLWEIG; no run-ready manifest/runner; no AOI/B9/WBGT/risk/hazard/exposure/vulnerability/System A-B coupling.
guardrail_metadata_only,,not_applicable,,,PASS,metadata_only=True,B8.7b.3 metadata/header-only source lock and preplan; no raster pixel read; no raster write/copy/move/symlink; no svfs.zip open; no QGIS/SOLWEIG; no run-ready manifest/runner; no AOI/B9/WBGT/risk/hazard/exposure/vulnerability/System A-B coupling.
guardrail_header_only_allowed,,not_applicable,,,PASS,header_only_allowed=True,B8.7b.3 metadata/header-only source lock and preplan; no raster pixel read; no raster write/copy/move/symlink; no svfs.zip open; no QGIS/SOLWEIG; no run-ready manifest/runner; no AOI/B9/WBGT/risk/hazard/exposure/vulnerability/System A-B coupling.
