target_field,allowed_downstream_use,forbidden_downstream_use,required_caveat
tmrt_p90_c,N150 label; surrogate label candidate; modifier derivation,local WBGT; observed truth; risk; hazard_score by itself,"N24-supported, not final AOI-wide canonical until N150/full-domain validation"
delta_tmrt_p90_c,surrogate regression label candidate; M_rad derivation,Celsius ratio; local WBGT; hazard_score by itself; risk,reference-domain dependent
m_rad_pct01,future WBGT-conditioned radiative priority input,standalone hazard_score; standalone risk; observed truth; official warning,not final AOI-wide map until reference domain is full AOI / N150-derived prediction
tmrt_p75_c,validation companion; robustness evidence,standalone canonical target unless spec is revised,"companion to p90, not replacement in B5"
tmrt_p95_c,validation companion; tail sensitivity,standalone canonical target unless spec is revised,more tail-sensitive than p90
tmrt_mean_c,background diagnostics; validation companion,sole upper-tail target,may hide mixed-cell exposed pockets
tmrt_max_c,outlier and edge-case sensitivity,primary target; observed truth; risk,too sensitive for canonical target use
pct_pixels_tmrt_ge_40,threshold-area diagnostics; validation companion,policy threshold; official warning; risk by itself,"thresholds are analytical companions, not policy thresholds yet"
pct_pixels_tmrt_ge_45,threshold-area diagnostics; validation companion,policy threshold; official warning; risk by itself,"thresholds are analytical companions, not policy thresholds yet"
pct_pixels_tmrt_ge_50,threshold-area diagnostics; validation companion,policy threshold; official warning; risk by itself,"thresholds are analytical companions, not policy thresholds yet"
pct_pixels_tmrt_ge_55,threshold-area diagnostics; validation companion,policy threshold; official warning; risk by itself,"thresholds are analytical companions, not policy thresholds yet"
m_rad_pct_provisional_legacy,legacy comparison and B4 traceability,canonical B5 modifier; final AOI-wide modifier,use m_rad_pct01 for B5-forward method checks
local_wbgt_c,none in System B target contract,must not appear in System B target freeze outputs,"belongs to future WBGT/hazard/risk/official-warning contracts, not B5"
wbgt_cell_c,none in System B target contract,must not appear in System B target freeze outputs,"belongs to future WBGT/hazard/risk/official-warning contracts, not B5"
delta_wbgt_cell,none in System B target contract,must not appear in System B target freeze outputs,"belongs to future WBGT/hazard/risk/official-warning contracts, not B5"
hazard_score,none in System B target contract,must not appear in System B target freeze outputs,"belongs to future WBGT/hazard/risk/official-warning contracts, not B5"
risk_score,none in System B target contract,must not appear in System B target freeze outputs,"belongs to future WBGT/hazard/risk/official-warning contracts, not B5"
exposure_score,none in System B target contract,must not appear in System B target freeze outputs,"belongs to future WBGT/hazard/risk/official-warning contracts, not B5"
vulnerability_score,none in System B target contract,must not appear in System B target freeze outputs,"belongs to future WBGT/hazard/risk/official-warning contracts, not B5"
official_warning_probability,none in System B target contract,must not appear in System B target freeze outputs,"belongs to future WBGT/hazard/risk/official-warning contracts, not B5"
