source_table,source_path,column_name,dataset_column,dtype,non_null_count,missing_fraction,unique_count,classification,predictor_allowed,feature_group_hint,rejection_reason,leakage_guard,claim_boundary
n150_sampling_feature_matrix,outputs/v12_systemb_n150_sample_design/n150_sampling_feature_matrix.csv,cell_id,cell_id,string,981,0.0,981,metadata,False,id_or_split_metadata,"Identifier, split, or lane metadata; not a predictor.",EXCLUDED,"Feature audit only; no observed truth, causal feature importance, WBGT, risk, B9, or AOI-wide prediction."
n150_sampling_feature_matrix,outputs/v12_systemb_n150_sample_design/n150_sampling_feature_matrix.csv,in_n24_completed,in_n24_completed,bool,981,0.0,2,metadata,False,id_or_split_metadata,"Identifier, split, or lane metadata; not a predictor.",EXCLUDED,"Feature audit only; no observed truth, causal feature importance, WBGT, risk, B9, or AOI-wide prediction."
n150_sampling_feature_matrix,outputs/v12_systemb_n150_sample_design/n150_sampling_feature_matrix.csv,typology_label,typology_label,object,981,0.0,19,metadata,False,id_or_split_metadata,"Identifier, split, or lane metadata; not a predictor.",EXCLUDED,"Feature audit only; no observed truth, causal feature importance, WBGT, risk, B9, or AOI-wide prediction."
n150_sampling_feature_matrix,outputs/v12_systemb_n150_sample_design/n150_sampling_feature_matrix.csv,primary_role,primary_role,object,24,0.9755351681957186,7,metadata,False,id_or_split_metadata,"Identifier, split, or lane metadata; not a predictor.",EXCLUDED,"Feature audit only; no observed truth, causal feature importance, WBGT, risk, B9, or AOI-wide prediction."
n150_sampling_feature_matrix,outputs/v12_systemb_n150_sample_design/n150_sampling_feature_matrix.csv,secondary_roles,secondary_roles,object,21,0.9785932721712538,19,metadata,False,id_or_split_metadata,"Identifier, split, or lane metadata; not a predictor.",EXCLUDED,"Feature audit only; no observed truth, causal feature importance, WBGT, risk, B9, or AOI-wide prediction."
n150_sampling_feature_matrix,outputs/v12_systemb_n150_sample_design/n150_sampling_feature_matrix.csv,source_feature_completeness,source_feature_completeness,float64,981,0.0,1,metadata,False,id_or_split_metadata,"Identifier, split, or lane metadata; not a predictor.",EXCLUDED,"Feature audit only; no observed truth, causal feature importance, WBGT, risk, B9, or AOI-wide prediction."
n150_sampling_feature_matrix,outputs/v12_systemb_n150_sample_design/n150_sampling_feature_matrix.csv,sampling_feature_completeness,sampling_feature_completeness,float64,981,0.0,1,metadata,False,id_or_split_metadata,"Identifier, split, or lane metadata; not a predictor.",EXCLUDED,"Feature audit only; no observed truth, causal feature importance, WBGT, risk, B9, or AOI-wide prediction."
n150_sampling_feature_matrix,outputs/v12_systemb_n150_sample_design/n150_sampling_feature_matrix.csv,centroid_x,centroid_x,float64,981,0.0,29,metadata,False,id_or_split_metadata,"Identifier, split, or lane metadata; not a predictor.",EXCLUDED,"Feature audit only; no observed truth, causal feature importance, WBGT, risk, B9, or AOI-wide prediction."
n150_sampling_feature_matrix,outputs/v12_systemb_n150_sample_design/n150_sampling_feature_matrix.csv,centroid_y,centroid_y,float64,981,0.0,34,metadata,False,id_or_split_metadata,"Identifier, split, or lane metadata; not a predictor.",EXCLUDED,"Feature audit only; no observed truth, causal feature importance, WBGT, risk, B9, or AOI-wide prediction."
n150_sampling_feature_matrix,outputs/v12_systemb_n150_sample_design/n150_sampling_feature_matrix.csv,centroid_x_normalized,centroid_x_normalized,float64,981,0.0,27,metadata,False,id_or_split_metadata,"Identifier, split, or lane metadata; not a predictor.",EXCLUDED,"Feature audit only; no observed truth, causal feature importance, WBGT, risk, B9, or AOI-wide prediction."
n150_sampling_feature_matrix,outputs/v12_systemb_n150_sample_design/n150_sampling_feature_matrix.csv,centroid_y_normalized,centroid_y_normalized,float64,981,0.0,32,metadata,False,id_or_split_metadata,"Identifier, split, or lane metadata; not a predictor.",EXCLUDED,"Feature audit only; no observed truth, causal feature importance, WBGT, risk, B9, or AOI-wide prediction."
n150_sampling_feature_matrix,outputs/v12_systemb_n150_sample_design/n150_sampling_feature_matrix.csv,svf_or_open_sky_missing,svf_or_open_sky_missing,bool,981,0.0,1,metadata,False,sampling_diagnostic_metadata,Sampling imputation/bin diagnostic column; not primary evidence predictor.,EXCLUDED,"Feature audit only; no observed truth, causal feature importance, WBGT, risk, B9, or AOI-wide prediction."
n150_sampling_feature_matrix,outputs/v12_systemb_n150_sample_design/n150_sampling_feature_matrix.csv,shade_fraction_missing,shade_fraction_missing,bool,981,0.0,1,metadata,False,sampling_diagnostic_metadata,Sampling imputation/bin diagnostic column; not primary evidence predictor.,EXCLUDED,"Feature audit only; no observed truth, causal feature importance, WBGT, risk, B9, or AOI-wide prediction."
