row,decision,evidence,blocker,next_action,claim_boundary
F3c execution validity,PASS,480/480 postrun validation PASS.,none,Use F3c compact summaries only.,"Execution validity is not B9, not WBGT, and not risk."
Raster QA validity,PASS,Alignment/sanity compact QA PASS; all_480_rasters_opened=480/480 in F3c QA.,none,Do not read or commit rasters in F4.,F4 consumes QA summaries only; no raster artifact is committed.
Core-hour stability,CORE_STABLE,h12 rho=0.920276 sign=1.000000 top10pct=1.000000; h13 rho=0.967903 sign=1.000000 top10pct=1.000000; h15 rho=0.946160 sign=1.000000 top10pct=1.000000; h16 rho=0.992752 sign=1.000000 top10pct=1.000000,none,Use h12/h13/h15/h16 as primary stability evidence.,"Radiative modifier stability only, not local WBGT."
h10 caveat,STABLE_WITH_CAVEAT,h10 rho=0.657072; sign=0.875000; top5=0.400000.,h10 should not anchor priority decisions.,Carry h10 as caveated low-sun-angle evidence only.,Do not treat h10 sign flips as strong warming without neutral-boundary review.
Target definition readiness,PASS,Primary target is delta_tmrt_p90_c = overhead_as_canopy - base.,none,Use target card with explicit not-WBGT/not-risk boundaries.,"SOLWEIG-derived radiative modifier, not observed truth."
Surrogate protocol readiness,ALLOW_TARGET_CARD_PROTOCOL_SUITE,5 robust anchors; 9 neutral-boundary/stable-neutral cells; 7 unstable-review rows.,No surrogate training in F4.,Proceed to protocol/target-card documentation and validation split design.,Surrogate may emulate SOLWEIG-derived labels only.
N150 readiness,ALLOW_N150_CONTROLLED_EXECUTION_AFTER_PRECHECK,Core hours passed; h10 is caveated; precheck remains required.,No N150 manifest or runner is created in F4.,Run only a future N150 precheck/readiness gate before any controlled execution.,N150 expansion is not B9 and not AOI-wide prediction.
B9 readiness,BLOCKED,F4 is an N24 evidence decision lane only.,No B9 authorization.,Keep B9 blocked until separately scoped.,Do not call this B9.
Risk readiness,BLOCKED,No exposure/vulnerability layer and no risk model were created.,Risk requires explicit exposure and vulnerability.,Defer risk overlay to a future scoped lane.,Hazard prioritisation is not risk.
System A coupling readiness,BLOCKED,F4 does not create local WBGT or System A/B coupling output.,No coupling protocol in this lane.,Keep System A/B coupling blocked until separately scoped.,No Tmrt-to-WBGT conversion.
