readiness_item,status,evidence,blocker,next_action,allowed_future_lane,claim_boundary
spatial_holdout,BLOCKED,"west_north Spearman=0.074, top10=0.250",spatial-bin-out-of-domain and weak ranking support,B8.6g feature acquisition plus B8.7-N300-PRE review.,B8.6g|B8.7-N300-PRE,"SOLWEIG-derived compact Tmrt-delta surrogate closure diagnostic only; not WBGT, risk, hazard_score, observed truth, causal feature importance, B9, AOI-wide prediction, Tmrt-to-WBGT conversion, or System A/B coupling."
typology_holdout,DIAGNOSTIC_ONLY,"Typology Spearman improved, but top-k support worsened; not production-ready.",Spearman-only improvement is insufficient when top-k worsens.,Keep typology gains as feature-acquisition clues.,B8.6g,"SOLWEIG-derived compact Tmrt-delta surrogate closure diagnostic only; not WBGT, risk, hazard_score, observed truth, causal feature importance, B9, AOI-wide prediction, Tmrt-to-WBGT conversion, or System A/B coupling."
cell_group_holdout,BLOCKED,cell_group_holdout did not receive validated closure from safe physical engineered features.,safe feature probe did not improve cell-group evidence.,Retest only after new compact/vector features or N300 labels.,B8.6f2_model_retest_after_inputs,"SOLWEIG-derived compact Tmrt-delta surrogate closure diagnostic only; not WBGT, risk, hazard_score, observed truth, causal feature importance, B9, AOI-wide prediction, Tmrt-to-WBGT conversion, or System A/B coupling."
neutral false-promotion,BLOCKED,11 neutral/near-zero rows remain in the B8.6f matrix.,known neutral and near-zero cells can still be promoted as cooling.,Use neutral-boundary N300 quota and abstention gate.,B8.7-N300-PRE|B8.6h_conditional,"SOLWEIG-derived compact Tmrt-delta surrogate closure diagnostic only; not WBGT, risk, hazard_score, observed truth, causal feature importance, B9, AOI-wide prediction, Tmrt-to-WBGT conversion, or System A/B coupling."
anchor underprediction,BLOCKED,5 anchor rows remain medium/high severity.,TP_0857/TP_0542/TP_0433/TP_0037/TP_0141 anchor contexts remain required gates.,Use anchor-like replication quota and geometry/shade acquisition.,B8.6g|B8.7-N300-PRE,"SOLWEIG-derived compact Tmrt-delta surrogate closure diagnostic only; not WBGT, risk, hazard_score, observed truth, causal feature importance, B9, AOI-wide prediction, Tmrt-to-WBGT conversion, or System A/B coupling."
feature gap closure,NOT_CLOSED,6 high-priority feature families remain.,current safe engineered features did not close spatial holdout.,Run vector/compact feature acquisition before model promotion.,B8.6g,"SOLWEIG-derived compact Tmrt-delta surrogate closure diagnostic only; not WBGT, risk, hazard_score, observed truth, causal feature importance, B9, AOI-wide prediction, Tmrt-to-WBGT conversion, or System A/B coupling."
N300 design,READY_FOR_REVIEW_NOT_EXECUTION,150 role-balanced additional candidate-design cells selected.,candidate design is not a SOLWEIG manifest or run package.,Freeze design only in B8.7-N300-PRE if reviewed.,B8.7-N300-PRE,"SOLWEIG-derived compact Tmrt-delta surrogate closure diagnostic only; not WBGT, risk, hazard_score, observed truth, causal feature importance, B9, AOI-wide prediction, Tmrt-to-WBGT conversion, or System A/B coupling."
feature acquisition,RECOMMENDED,Feature acquisition register and spec are actionable.,feature representation is the dominant blocker.,Acquire vector/compact features without raster/QGIS/SOLWEIG.,B8.6g,"SOLWEIG-derived compact Tmrt-delta surrogate closure diagnostic only; not WBGT, risk, hazard_score, observed truth, causal feature importance, B9, AOI-wide prediction, Tmrt-to-WBGT conversion, or System A/B coupling."
uncertainty/abstention gate,DIAGNOSTIC_ONLY,"Best spatial gated Spearman=0.353, coverage=0.553",gate is not a production or AOI-wide prediction path.,Use only as future dry-run preflight diagnostic if metrics become strong.,B8.6h_conditional,"SOLWEIG-derived compact Tmrt-delta surrogate closure diagnostic only; not WBGT, risk, hazard_score, observed truth, causal feature importance, B9, AOI-wide prediction, Tmrt-to-WBGT conversion, or System A/B coupling."
claim boundary,PASS,B8.6f creates compact diagnostic/design outputs only.,none if boundaries are preserved.,Keep AOI-wide prediction and B9 blocked.,B8.6g|B8.7-N300-PRE,"SOLWEIG-derived compact Tmrt-delta surrogate closure diagnostic only; not WBGT, risk, hazard_score, observed truth, causal feature importance, B9, AOI-wide prediction, Tmrt-to-WBGT conversion, or System A/B coupling."
overall_aoi_preflight,AOI_PREFLIGHT_BLOCKED,"Spatial, neutral, anchor, and feature-gap blockers remain.",insufficient spatial closure and safety diagnostics.,Do not create AOI-wide prediction; proceed to B8.6g/B8.7 review lanes.,B8.6g|B8.7-N300-PRE,"SOLWEIG-derived compact Tmrt-delta surrogate closure diagnostic only; not WBGT, risk, hazard_score, observed truth, causal feature importance, B9, AOI-wide prediction, Tmrt-to-WBGT conversion, or System A/B coupling."
