cell_id,selected_priority_rank,primary_role,secondary_roles,rationale,spatial_bin,typology,nearest_anchor_cell,nearest_neutral_cell,nearest_n150_distance,nearest_n150_distance_percentile,coverage_gap,expected_learning_value,sampling_boundary,claim_boundary
TP_0972,1,typology_gap_fill,spatial_gap_fill|sparse_feature_space,typology_gap_fill; weak_spatial_bin; weak_typology_spatial_bin; problem_typology; sparse_feature_space; transport in west_north; candidate design only.,west_north,transport,TP_0037,TP_0676,72.50773268804005,0.9915764139590855,weak_spatial_bin|weak_typology_spatial_bin|problem_typology|sparse_feature_space,high_diagnostic_learning_value,candidate_design_only_not_N300_run_ready,"SOLWEIG-derived compact Tmrt-delta surrogate closure diagnostic only; not WBGT, risk, hazard_score, observed truth, causal feature importance, B9, AOI-wide prediction, Tmrt-to-WBGT conversion, or System A/B coupling."
TP_0830,2,typology_gap_fill,spatial_gap_fill|sparse_feature_space,typology_gap_fill; weak_spatial_bin; weak_typology_spatial_bin; problem_typology; sparse_feature_space; water in east_north; candidate design only.,east_north,water,TP_0542,TP_0115,54.792158562714484,0.9891696750902527,weak_spatial_bin|weak_typology_spatial_bin|problem_typology|sparse_feature_space,high_diagnostic_learning_value,candidate_design_only_not_N300_run_ready,"SOLWEIG-derived compact Tmrt-delta surrogate closure diagnostic only; not WBGT, risk, hazard_score, observed truth, causal feature importance, B9, AOI-wide prediction, Tmrt-to-WBGT conversion, or System A/B coupling."
TP_0431,3,typology_gap_fill,spatial_gap_fill|sparse_feature_space,typology_gap_fill; weak_spatial_bin; weak_typology_spatial_bin; problem_typology; sparse_feature_space; transport in east_south; candidate design only.,east_south,transport,TP_0542,TP_0115,40.00469067968904,0.9843561973525873,weak_spatial_bin|weak_typology_spatial_bin|problem_typology|sparse_feature_space,high_diagnostic_learning_value,candidate_design_only_not_N300_run_ready,"SOLWEIG-derived compact Tmrt-delta surrogate closure diagnostic only; not WBGT, risk, hazard_score, observed truth, causal feature importance, B9, AOI-wide prediction, Tmrt-to-WBGT conversion, or System A/B coupling."
TP_0858,4,typology_gap_fill,spatial_gap_fill|sparse_feature_space,typology_gap_fill; weak_spatial_bin; weak_typology_spatial_bin; problem_typology; sparse_feature_space; water in east_north; candidate design only.,east_north,water,TP_0542,TP_0115,39.448302882216915,0.9831528279181708,weak_spatial_bin|weak_typology_spatial_bin|problem_typology|sparse_feature_space,high_diagnostic_learning_value,candidate_design_only_not_N300_run_ready,"SOLWEIG-derived compact Tmrt-delta surrogate closure diagnostic only; not WBGT, risk, hazard_score, observed truth, causal feature importance, B9, AOI-wide prediction, Tmrt-to-WBGT conversion, or System A/B coupling."
TP_0564,5,typology_gap_fill,spatial_gap_fill|sparse_feature_space,typology_gap_fill; weak_spatial_bin; weak_typology_spatial_bin; problem_typology; sparse_feature_space; commercial in west_north; candidate design only.,west_north,commercial,TP_0141,TP_0960,35.670883324039295,0.9783393501805054,weak_spatial_bin|weak_typology_spatial_bin|problem_typology|sparse_feature_space,high_diagnostic_learning_value,candidate_design_only_not_N300_run_ready,"SOLWEIG-derived compact Tmrt-delta surrogate closure diagnostic only; not WBGT, risk, hazard_score, observed truth, causal feature importance, B9, AOI-wide prediction, Tmrt-to-WBGT conversion, or System A/B coupling."
TP_0650,6,typology_gap_fill,spatial_gap_fill|sparse_feature_space,typology_gap_fill; weak_spatial_bin; weak_typology_spatial_bin; problem_typology; sparse_feature_space; civic_institutional in west_north; candidate design only.,west_north,civic_institutional,TP_0141,TP_0565,35.58875280840119,0.9771359807460891,weak_spatial_bin|weak_typology_spatial_bin|problem_typology|sparse_feature_space,high_diagnostic_learning_value,candidate_design_only_not_N300_run_ready,"SOLWEIG-derived compact Tmrt-delta surrogate closure diagnostic only; not WBGT, risk, hazard_score, observed truth, causal feature importance, B9, AOI-wide prediction, Tmrt-to-WBGT conversion, or System A/B coupling."
TP_0410,7,typology_gap_fill,spatial_gap_fill|sparse_feature_space,typology_gap_fill; weak_spatial_bin; weak_typology_spatial_bin; problem_typology; sparse_feature_space; residential in west_south; candidate design only.,west_south,residential,TP_0141,TP_0676,34.728845298124426,0.9759326113116726,weak_spatial_bin|weak_typology_spatial_bin|problem_typology|sparse_feature_space,high_diagnostic_learning_value,candidate_design_only_not_N300_run_ready,"SOLWEIG-derived compact Tmrt-delta surrogate closure diagnostic only; not WBGT, risk, hazard_score, observed truth, causal feature importance, B9, AOI-wide prediction, Tmrt-to-WBGT conversion, or System A/B coupling."
TP_0674,8,typology_gap_fill,spatial_gap_fill|sparse_feature_space,typology_gap_fill; weak_spatial_bin; weak_typology_spatial_bin; problem_typology; sparse_feature_space; civic_institutional in west_north; candidate design only.,west_north,civic_institutional,TP_0141,TP_0366,33.3771078921697,0.9747292418772563,weak_spatial_bin|weak_typology_spatial_bin|problem_typology|sparse_feature_space,high_diagnostic_learning_value,candidate_design_only_not_N300_run_ready,"SOLWEIG-derived compact Tmrt-delta surrogate closure diagnostic only; not WBGT, risk, hazard_score, observed truth, causal feature importance, B9, AOI-wide prediction, Tmrt-to-WBGT conversion, or System A/B coupling."
TP_0851,9,typology_gap_fill,spatial_gap_fill|sparse_feature_space,typology_gap_fill; weak_spatial_bin; weak_typology_spatial_bin; problem_typology; sparse_feature_space; transport in west_north; candidate design only.,west_north,transport,TP_0542,TP_0676,32.7214045644924,0.9711191335740073,weak_spatial_bin|weak_typology_spatial_bin|problem_typology|sparse_feature_space,high_diagnostic_learning_value,candidate_design_only_not_N300_run_ready,"SOLWEIG-derived compact Tmrt-delta surrogate closure diagnostic only; not WBGT, risk, hazard_score, observed truth, causal feature importance, B9, AOI-wide prediction, Tmrt-to-WBGT conversion, or System A/B coupling."
TP_0168,10,typology_gap_fill,spatial_gap_fill|sparse_feature_space,typology_gap_fill; weak_spatial_bin; weak_typology_spatial_bin; problem_typology; sparse_feature_space; transport in east_south; candidate design only.,east_south,transport,TP_0542,TP_0676,31.87709214127511,0.9699157641395909,weak_spatial_bin|weak_typology_spatial_bin|problem_typology|sparse_feature_space,high_diagnostic_learning_value,candidate_design_only_not_N300_run_ready,"SOLWEIG-derived compact Tmrt-delta surrogate closure diagnostic only; not WBGT, risk, hazard_score, observed truth, causal feature importance, B9, AOI-wide prediction, Tmrt-to-WBGT conversion, or System A/B coupling."
