candidate_id,candidate_family,raw_or_calibrated,implementation_status,implementation_source_file,formula_summary,required_columns,available_columns,missing_columns,can_compute,notes,scientific_caveat
existing_v09_proxy,baseline_existing,raw,available,scripts/v11_formula_audit_compare.py,Use existing `wbgt_proxy_v09_c` column.,official_wbgt_c;timestamp_sgt;station_id;wbgt_proxy_v09_c,official_wbgt_c;timestamp_sgt;station_id;wbgt_proxy_v09_c,,True,Computed at station-time and aggregated to station-hour.,Screening proxy formula; not a validated local WBGT prediction.
reconstructed_v09_proxy,v09_reconstructed,raw,available,scripts/v11_formula_audit_compare.py,Reuse audited reconstruction: 0.7 wetbulb + 0.2 v09 globe proxy + 0.1 air temperature.,official_wbgt_c;timestamp_sgt;station_id;temperature_2m;wetbulb_stull_c_v09;globe_temp_proxy_v09_c,official_wbgt_c;timestamp_sgt;station_id;temperature_2m;wetbulb_stull_c_v09;globe_temp_proxy_v09_c,,True,Computed at station-time and aggregated to station-hour.,Screening proxy formula; not a validated local WBGT prediction.
k0.0035,v09_k_sweep,raw,available,scripts/v11_formula_audit_compare.py,Reuse audited simplified globe family with varied k coefficient.,official_wbgt_c;timestamp_sgt;station_id;temperature_2m;relative_humidity_2m;wind_speed_10m;shortwave_radiation,official_wbgt_c;timestamp_sgt;station_id;temperature_2m;relative_humidity_2m;wind_speed_10m;shortwave_radiation,,True,Computed at station-time and aggregated to station-hour.,Screening proxy formula; not a validated local WBGT prediction.
k0.0045,v09_k_sweep,raw,available,scripts/v11_formula_audit_compare.py,Reuse audited simplified globe family with varied k coefficient.,official_wbgt_c;timestamp_sgt;station_id;temperature_2m;relative_humidity_2m;wind_speed_10m;shortwave_radiation,official_wbgt_c;timestamp_sgt;station_id;temperature_2m;relative_humidity_2m;wind_speed_10m;shortwave_radiation,,True,Computed at station-time and aggregated to station-hour.,Screening proxy formula; not a validated local WBGT prediction.
k0.0055,v09_k_sweep,raw,available,scripts/v11_formula_audit_compare.py,Reuse audited simplified globe family with varied k coefficient.,official_wbgt_c;timestamp_sgt;station_id;temperature_2m;relative_humidity_2m;wind_speed_10m;shortwave_radiation,official_wbgt_c;timestamp_sgt;station_id;temperature_2m;relative_humidity_2m;wind_speed_10m;shortwave_radiation,,True,Computed at station-time and aggregated to station-hour.,Screening proxy formula; not a validated local WBGT prediction.
k0.0065,v09_k_sweep,raw,available,scripts/v11_formula_audit_compare.py,Reuse audited simplified globe family with varied k coefficient.,official_wbgt_c;timestamp_sgt;station_id;temperature_2m;relative_humidity_2m;wind_speed_10m;shortwave_radiation,official_wbgt_c;timestamp_sgt;station_id;temperature_2m;relative_humidity_2m;wind_speed_10m;shortwave_radiation,,True,Computed at station-time and aggregated to station-hour.,Screening proxy formula; not a validated local WBGT prediction.
k0.0080,v09_k_sweep,raw,available,scripts/v11_formula_audit_compare.py,Reuse audited simplified globe family with varied k coefficient.,official_wbgt_c;timestamp_sgt;station_id;temperature_2m;relative_humidity_2m;wind_speed_10m;shortwave_radiation,official_wbgt_c;timestamp_sgt;station_id;temperature_2m;relative_humidity_2m;wind_speed_10m;shortwave_radiation,,True,Computed at station-time and aggregated to station-hour.,Screening proxy formula; not a validated local WBGT prediction.
existing_v09_train_bias_corrected,simple_bias_corrected,calibrated_diagnostic,available,scripts/v11_l1_sprint3a_formula_v2_proxy_benchmark.py,Train-only one-score calibration layer; LOSO and future-block diagnostics only.,wbgt_proxy_v09_c;official_wbgt_c;timestamp_sgt;station_id,wbgt_proxy_v09_c;official_wbgt_c;timestamp_sgt;station_id,,True,Not a final formula-v2 replacement.,Diagnostic calibration layer; do not treat as deployed formula.
existing_v09_loso_affine,simple_affine_proxy_calibrated,calibrated_diagnostic,available,scripts/v11_l1_sprint3a_formula_v2_proxy_benchmark.py,Train-only one-score calibration layer; LOSO and future-block diagnostics only.,wbgt_proxy_v09_c;official_wbgt_c;timestamp_sgt;station_id,wbgt_proxy_v09_c;official_wbgt_c;timestamp_sgt;station_id,,True,Not a final formula-v2 replacement.,Diagnostic calibration layer; do not treat as deployed formula.
liljegren_style,advanced_physics_feasibility,feasibility_only,blocked_no_validated_implementation,,Feasibility audit only; full physics formula not implemented in Sprint 3A.,temperature_2m;relative_humidity_2m;wind_speed_10m;shortwave_radiation;surface_pressure;timestamp_sgt;latitude;longitude;validated in-repo implementation,temperature_2m;relative_humidity_2m;wind_speed_10m;shortwave_radiation;surface_pressure;timestamp_sgt;latitude;longitude,validated in-repo implementation,False,No validated in-repo implementation found in v1.1 formula audit lane.,Do not implement complex WBGT physics from memory.
kong_huber_style,advanced_physics_feasibility,feasibility_only,blocked_no_validated_implementation,,Feasibility audit only; full physics formula not implemented in Sprint 3A.,temperature_2m;relative_humidity_2m;wind_speed_10m;shortwave_radiation;cloud_cover;validated in-repo implementation;documented project-approved formula reference,temperature_2m;relative_humidity_2m;wind_speed_10m;shortwave_radiation;cloud_cover,validated in-repo implementation;documented project-approved formula reference,False,No validated in-repo implementation found in v1.1 formula audit lane.,Do not implement complex WBGT physics from memory.
brimicombe_style,advanced_physics_feasibility,feasibility_only,blocked_no_validated_implementation,,Feasibility audit only; full physics formula not implemented in Sprint 3A.,temperature_2m;relative_humidity_2m;wind_speed_10m;shortwave_radiation;cloud_cover;validated in-repo implementation;documented project-approved formula reference,temperature_2m;relative_humidity_2m;wind_speed_10m;shortwave_radiation;cloud_cover,validated in-repo implementation;documented project-approved formula reference,False,No validated in-repo implementation found in v1.1 formula audit lane.,Do not implement complex WBGT physics from memory.
