feature_name,formula,source_columns,predictor_allowed,coordinate_context_dependent,diagnostic_only,feature_role,rejection_reason,claim_boundary
b86e__overhead_x_svf,overhead_fraction * svf_or_open_sky,overhead_fraction|svf_or_open_sky,True,False,False,safe_physical,,"SOLWEIG-derived compact Tmrt-delta surrogate diagnostic only; not WBGT, risk, observed truth, causal feature importance, B9, AOI-wide prediction, or System A/B coupling."
b86e__overhead_x_shade,overhead_fraction * shade_fraction,overhead_fraction|shade_fraction,True,False,False,safe_physical,,"SOLWEIG-derived compact Tmrt-delta surrogate diagnostic only; not WBGT, risk, observed truth, causal feature importance, B9, AOI-wide prediction, or System A/B coupling."
b86e__shade_x_hour,shade_fraction * hour_sgt,shade_fraction|hour_sgt,True,False,False,safe_physical,,"SOLWEIG-derived compact Tmrt-delta surrogate diagnostic only; not WBGT, risk, observed truth, causal feature importance, B9, AOI-wide prediction, or System A/B coupling."
b86e__svf_x_hour,svf_or_open_sky * hour_sgt,svf_or_open_sky|hour_sgt,True,False,False,safe_physical,,"SOLWEIG-derived compact Tmrt-delta surrogate diagnostic only; not WBGT, risk, observed truth, causal feature importance, B9, AOI-wide prediction, or System A/B coupling."
b86e__building_density_x_svf,building_density * svf_or_open_sky,building_density|svf_or_open_sky,True,False,False,safe_physical,,"SOLWEIG-derived compact Tmrt-delta surrogate diagnostic only; not WBGT, risk, observed truth, causal feature importance, B9, AOI-wide prediction, or System A/B coupling."
b86e__tree_x_shade,tree_or_gvi_fraction * shade_fraction,tree_or_gvi_fraction|shade_fraction,True,False,False,safe_physical,,"SOLWEIG-derived compact Tmrt-delta surrogate diagnostic only; not WBGT, risk, observed truth, causal feature importance, B9, AOI-wide prediction, or System A/B coupling."
b86e__hardscape_x_low_shade,road_or_hardscape_fraction * (1 - shade_fraction),road_or_hardscape_fraction|shade_fraction,True,False,False,safe_physical,,"SOLWEIG-derived compact Tmrt-delta surrogate diagnostic only; not WBGT, risk, observed truth, causal feature importance, B9, AOI-wide prediction, or System A/B coupling."
b86e__overhead_to_open_sky_ratio,overhead_fraction / (abs(svf_or_open_sky) + epsilon),overhead_fraction|svf_or_open_sky,True,False,False,safe_physical,,"SOLWEIG-derived compact Tmrt-delta surrogate diagnostic only; not WBGT, risk, observed truth, causal feature importance, B9, AOI-wide prediction, or System A/B coupling."
b86e__low_shade_fraction,1 - shade_fraction,shade_fraction,True,False,False,safe_physical,,"SOLWEIG-derived compact Tmrt-delta surrogate diagnostic only; not WBGT, risk, observed truth, causal feature importance, B9, AOI-wide prediction, or System A/B coupling."
b86e__tree_to_shade_balance,tree_or_gvi_fraction / (abs(shade_fraction) + epsilon),tree_or_gvi_fraction|shade_fraction,True,False,False,safe_physical,,"SOLWEIG-derived compact Tmrt-delta surrogate diagnostic only; not WBGT, risk, observed truth, causal feature importance, B9, AOI-wide prediction, or System A/B coupling."
b86e__svf_open_p90_p10_range_v10,cu__svf_umep_p90_open_v10 - cu__svf_umep_p10_open_v10,cu__svf_umep_p90_open_v10|cu__svf_umep_p10_open_v10,True,False,False,safe_physical,,"SOLWEIG-derived compact Tmrt-delta surrogate diagnostic only; not WBGT, risk, observed truth, causal feature importance, B9, AOI-wide prediction, or System A/B coupling."
b86e__shade_open_hourly_range_v10,max(hourly open shade fractions) - min(hourly open shade fractions),cu__shade_fraction_umep_0800_open_v10|cu__shade_fraction_umep_0900_open_v10|cu__shade_fraction_umep_1000_open_v10|cu__shade_fraction_umep_1100_open_v10|cu__shade_fraction_umep_1200_open_v10|cu__shade_fraction_umep_1300_open_v10|cu__shade_fraction_umep_1400_open_v10|cu__shade_fraction_umep_1500_open_v10|cu__shade_fraction_umep_1600_open_v10|cu__shade_fraction_umep_1700_open_v10|cu__shade_fraction_umep_1800_open_v10|cu__shade_fraction_umep_1900_open_v10,True,False,False,safe_physical,,"SOLWEIG-derived compact Tmrt-delta surrogate diagnostic only; not WBGT, risk, observed truth, causal feature importance, B9, AOI-wide prediction, or System A/B coupling."
b86e__building_height_p90_minus_mean_v10,cu__dsm_building_height_p90_m_v10 - cu__dsm_building_height_mean_m_v10,cu__dsm_building_height_p90_m_v10|cu__dsm_building_height_mean_m_v10,True,False,False,safe_physical,,"SOLWEIG-derived compact Tmrt-delta surrogate diagnostic only; not WBGT, risk, observed truth, causal feature importance, B9, AOI-wide prediction, or System A/B coupling."
b86e__centroid_x_qbin,centroid_x quantile bin,centroid_x,False,True,True,coordinate_diagnostic,Diagnostic-only feature; not causal or production evidence.,"SOLWEIG-derived compact Tmrt-delta surrogate diagnostic only; not WBGT, risk, observed truth, causal feature importance, B9, AOI-wide prediction, or System A/B coupling."
b86e__centroid_y_qbin,centroid_y quantile bin,centroid_y,False,True,True,coordinate_diagnostic,Diagnostic-only feature; not causal or production evidence.,"SOLWEIG-derived compact Tmrt-delta surrogate diagnostic only; not WBGT, risk, observed truth, causal feature importance, B9, AOI-wide prediction, or System A/B coupling."
b86e__feature_space_nn_distance,nearest labelled-cell distance under robust-scaled safe compact features,building_density|building_density_x_svf_or_open_sky|building_height_or_canyon_proxy|cu__building_height_p90|cu__built_up_fraction|cu__distance_to_park|cu__distance_to_water|cu__dsm_building_height_mean_m_v10|cu__dsm_building_height_p90_m_v10|cu__dynamic_world_built_up_fraction|cu__dynamic_world_grass_fraction|cu__dynamic_world_tree_fraction|cu__dynamic_world_water_fraction|cu__grass_fraction|cu__greenery_fraction_beta|cu__gvi_percent|cu__impervious_fraction|cu__mean_building_height|cu__ndvi_mean|cu__open_pixel_fraction|cu__overhead_area_total_m2|cu__overhead_fraction_covered_walkway|cu__overhead_fraction_pedestrian_bridge|cu__overhead_fraction_total|cu__overhead_fraction_viaduct|cu__overhead_weighted_shade_area_m2|cu__road_fraction|cu__shade_fraction_base_v10|cu__shade_fraction_overhead_sens|cu__shade_fraction_umep_10_16_open_v10|cu__shade_fraction_umep_13_15_open_v10|cu__svf|cu__svf_umep_mean_open_v10|cu__svf_umep_p10_open_v10|cu__svf_umep_p90_open_v10|cu__tree_canopy_fraction|cu__water_fraction|grass_fraction|hour_sgt|impervious_or_built_fraction|overhead_fraction|overhead_fraction_x_shade_fraction|overhead_fraction_x_svf_or_open_sky|road_or_hardscape_fraction|shade_fraction|shade_fraction_x_hour_sgt|svf_or_open_sky|svf_or_open_sky_x_hour_sgt|tree_or_gvi_fraction|tree_or_gvi_fraction_x_shade_fraction|water_edge_or_water_fraction,False,False,True,distance_diagnostic,Diagnostic-only feature; not causal or production evidence.,"SOLWEIG-derived compact Tmrt-delta surrogate diagnostic only; not WBGT, risk, observed truth, causal feature importance, B9, AOI-wide prediction, or System A/B coupling."
b86e__feature_space_nn_distance_percentile,percentile of nearest labelled-cell distance,b86e__feature_space_nn_distance,False,False,True,distance_diagnostic,Diagnostic-only feature; not causal or production evidence.,"SOLWEIG-derived compact Tmrt-delta surrogate diagnostic only; not WBGT, risk, observed truth, causal feature importance, B9, AOI-wide prediction, or System A/B coupling."
