cell_id,pilot_group,typology_label,typology_label_cn,status_after_manual_QA,base_result_interpretation,qa_notes,base_run_note,overhead_smoke_use,next_action
TP_0565,core,school_gate_asphalt_road_edge_hot_anchor,幼儿园门口 / 柏油道路边界热锚点,confirmed_core,高 p90 稳定；可能与 cell 内较大柏油路面/道路边界有关。,Maple Kindergarten 门口 mixed cell，行人相关性高，但建筑/道路占比高，不代表单一门口点位。可能存在未标注局部遮阴/门廊 uncertainty。,Core 8 base 中稳定高位，m_rad_pct=0.875 across hours。,yes_h13_smoke,进入 overhead smoke，用于检查 asphalt road-edge hot anchor 对 mapped-overhead scenario 是否异常敏感。
TP_0986,core,low_rise_residential_high_exposure_null_control,低层分散住宅 / 高暴露 null-control,confirmed_core,低矮分散住宅区、低植被、硬质面/道路暴露较强；base p90 稳定最高。,两三层独栋住宅，间距约 3–4m，植被较少，约 20% 通行道路。不是高人流节点，但几何稳定、无 mapped overhead，适合作 null-control。,Core 8 base 中 m_rad_pct=1.0 across hours。,yes_h13_smoke,进入 overhead smoke；预期 overhead_as_canopy 变化应接近 0。
TP_0366,core,school_gate_bus_stop_mixed_waiting_node,学校门口 + 公交候车混合等待节点,confirmed_core,中高暴露、行人相关性强；代表 school-gate / waiting-node mixed cell。,公立培群学校门口，含公交候车点。约 40% 校门口路面/候车相关空间、约 60% 校区。不是纯公交站点，不称 risk。,Core 8 base 中 m_rad_pct=0.5 across hours。,later_optional,先不进入 3-run overhead smoke；Core 8 overhead full matrix 前再跑。
TP_0542,core,river_edge_shaded_pedestrian_walkway,河边树荫步道,confirmed_core,mean 很低但 p90 在中午仍捕捉暴晒 pocket；强力支持 p90 作为 mixed-cell 上尾目标。,约 15% 河面，其余主要为河边步道/绿化空间。替代 TP0433 成为 pedestrian shaded reference。,Core 8 base 中 m_rad_pct=0.25 across hours；mean-p90 gap 明显。,not_first_smoke,保留 Core；overhead smoke 第一轮不优先，因为 vegetation/shade already dominant。
TP_0627,core,street_canyon_wall_adjacent_low_svf_corridor,街道峡谷 / 贴墙 / 低SVF走廊,confirmed_core,中高暴露，代表街谷/墙面/低SVF走廊。,一侧约 6 层，一侧约 3 层，建筑间隔约 5m。替代 TP0828 的 wall-adjacent / canyon 角色。,Core 8 base 中 m_rad_pct=0.625 across hours。,later_optional,Core 8 overhead full matrix 前再跑。
TP_0326,core,stable_high_rise_residential_estate,稳定高层住宅小区,confirmed_core,mean 较低但 p90 较高，说明高层小区是明显 mixed-cell；暴晒 pocket 被 p90 捕捉。,典型高层小区，三个单元楼及少量绿化。比 TP0857 更少时相风险。,Core 8 base 中 m_rad_pct=0.375 across hours；mean-p90 gap 明显。,later_optional,保留 Core；可用于后续 mixed-cell interpretation。
TP_0059,core,open_paved_hardscape_parking_lot,开阔硬质铺装 / 露天停车场诊断样本,confirmed_core_with_caveat,高暴露 hardscape context，但不必然比 TP0986/TP0565 更热。,露天停车场，物理上符合 hardscape/open paved，但行人相关性弱于学校/公交节点。不解释为 pedestrian hotspot 或 risk hotspot。,Core 8 base 中 m_rad_pct=0.75 across hours。,yes_h13_smoke,进入 overhead smoke；预期若 focus cell mapped overhead 少，则变化应有限。
TP_0835,core,wooded_green_space_low_radiative_diagnostic,植被覆盖树林 / 低辐射绿地诊断样本,confirmed_core_relabelled,极低且几乎无空间变化，说明模型输入中为强、均质植被遮阴。,QGIS 与 2026 Google 卫星确认已从开放草地转为植被覆盖树林。不得再标为 open grass。,Core 8 base 中 m_rad_pct=0.125 across hours；mean≈p90≈max。,not_first_smoke,保留为 low-radiative green-space diagnostic；更新 runbook 标签。
TP_0208,optional,unmapped_micro_shelter_school_gate_diagnostic,学校门口未标注小遮阴 / micro-shelter 诊断,optional_diagnostic,未跑 base；不作为 mapped overhead Core。,街景可见 overhead 遮阴走廊，但 DSM/overhead layer 未表达且占比约 5%。记录为 unmapped micro-shelter uncertainty。,not_run,no,不进入 canonical overhead_as_canopy；如需要，未来单独做 manual_micro_shelter_sensitivity。
TP_0802,optional,river_edge_station_rail_mixed_optional,河边步道 + 车站/铁轨 mixed,optional_diagnostic,未跑 base。,约 25% 有绿化河边步道、30% 河面、45% 车站/铁轨。不是纯 near-water pedestrian cell。,not_run,no,保留 optional diagnostic，不进入第一轮 Core。
TP_0088,legacy_diagnostic,legacy_vehicle_overhead_stress_test,车行高架 legacy stress-test,downgraded_from_core,未纳入 v12 Core base。,约 75% 高架桥交汇/车行道。适合作 legacy mapped-overhead stress-test，不适合作 pedestrian Core。,not_run_in_v12_core8,no_first_wave,仅后续 optional legacy diagnostic 使用。
TP_0916,legacy_diagnostic,rail_depot_overhead_diagnostic,Bishan Depot 铁轨/棚状结构诊断,downgraded_from_core,未纳入 v12 Core base。,约 25% 棚状建筑、75% 铁轨。不是 pedestrian overhead Core。,not_run_in_v12_core8,no_first_wave,仅后续 rail/depot diagnostic 使用。
TP_0433,optional_diagnostic,forest_canopy_lower_bound,河边纯树林 canopy lower-bound,replaced_by_TP0542,未纳入 v12 Core base。,河边纯树林，内部未见明显道路/步道。物理 canopy reference 成立，但 pedestrian relevance 弱。,not_run_in_v12_core8,no,由 TP0542 替代为 pedestrian shaded reference。
TP_0857,conditional_optional,newly_completed_hdb_canyon_conditional,Bishan Ridges 新建 HDB canyon 条件候选,conditional_optional,未纳入 v12 Core base。,近期建成/入住，但 2024 街景仍施工。仅当 DSM/HDB3D 包含当前建成体量时使用。,not_run_in_v12_core8,no,由 TP0326 替代为更稳定 high-rise residential estate。
TP_0492,drop_replace,utility_green_mixed_drop,PUB设施/草地/树林 mixed，剔除/替换,drop_replace,未纳入 v12 Core base。,PUB Woodleigh Waterworks，约 30% 场地、40% 草地、30% 树林；行人相关弱。,not_run,no,不进入第一轮 pilot。
TP_0828,drop_replace,construction_transition_drop,施工/时相冲突地块，剔除/替换,drop_replace,未纳入 v12 Core base。,2020 草地、2024 工地、2026 棚状建筑/Bishan Ridges；时相冲突严重。,not_run,no,由 TP0627 替代 wall-adjacent/street canyon 角色。
