item,decision,evidence,caveat,allowed_column_name,prohibited_interpretation,next_action
wbgt_a_c deterministic baseline,PRIMARY,WBGT_A M4 LOSO MAE=0.639 C; fixed_31 threshold=31.000; recall=0.588; precision=0.682; miss_rate=0.412; false_alarm_ratio=0.318.,"Calibrated hourly WBGT_A temporal baseline, not local 100 m WBGT.",wbgt_a_c,validated local WBGT prediction or public warning.,Freeze as primary System A Level 1 output for contract v1.0.
s_wbgt_ge31 deterministic severity / band,PRIMARY,Derived from wbgt_a_c against 31 C / 33 C reference bands.,"Severity band is deterministic WBGT_A context, not a probability or risk score.",s_wbgt_ge31; s_wbgt_band_31_33,official alert threshold or completed risk classification.,Keep as required interpretability columns tied to wbgt_a_c.
p_ge31_optional,OPTIONAL_COMPANION,n=1674.000; events=204.000; Brier=0.052; ECE_fixed=0.018; PR-AUC=0.610; ROC-AUC=0.947; best_F1 threshold=0.446; recall=0.765; precision=0.678; miss_rate=0.235; false_alarm_ratio=0.322.,Station-held-out retrospective diagnostic only.,p_ge31_optional; p_ge31_model_id_optional; p_ge31_threshold_policy_optional,official warning probability or public alert probability.,Evaluate prospectively before any stronger companion status.
p_ge33_optional,EXPLORATORY_ONLY,P_ge33 support gate status=LOW_SUPPORT; event_count=15.000.,ge33 event support is below promotion threshold.,p_ge33_optional,validated ge33 probability or official severe-warning probability.,Require at least 30 held-out/prospective events before promotion review.
expected_exceedance_ge31_optional,OPTIONAL_COMPANION,exceedance_MAE=0.100 C; positive_exceedance_MAE=0.779 C; bias=-0.058 C,Magnitude diagnostic above 31 C; not a corrected WBGT forecast.,expected_exceedance_ge31_optional,station-adjusted WBGT or local-cell WBGT delta.,Keep optional until prospective calibration and error behavior are reviewed.
prediction_interval_low/high_optional,OPTIONAL_COMPANION,nominal=0.900; coverage=0.898; mean_width=2.869 C,Retrospective conformal interval diagnostic; near-ge33 coverage remains weak.,prediction_interval_low_optional; prediction_interval_high_optional,guaranteed operational forecast interval or public safety margin.,Retain as optional uncertainty diagnostic with explicit coverage metadata.
station_context_residual_explanation,EXPLANATORY_ONLY,A-L2.1c found weak high-tail residual explanatory signal and score residual not identifiable.,Station context is station-level residual explanation only.,not_in_hourly_output,station correction model or causal urban-form correction.,Use only in caveat notes unless a future A-L2 protocol promotes it.
station_adjusted_wbgt,FORBIDDEN,A-L2.1c did not identify a correction model.,Would silently upgrade claims beyond evidence.,none,station-adjusted WBGT_C or corrected official WBGT.,Do not create in System A Level 1 output.
local_100m_wbgt,FORBIDDEN,No local cell-level WBGT validation exists in this lane.,"System A Level 1 is temporal/station-hour evidence, not cell-level WBGT.",none,validated 100 m local WBGT prediction.,Keep out of Level 1 hourly contract.
system_b_coupling,FUTURE_SCOPED,Current contract is System A only; System B/SOLWEIG coupling is outside A-L1H.5.,No System A/B coupling output is created here.,none,completed coupled hazard/risk product.,Open a separate scoped coupling lane only after current v1.1 evidence gates.
risk_score/hazard_score,FORBIDDEN,Exposure/vulnerability and risk overlay are not explicit in this contract.,Hazard/risk score would exceed current System A evidence.,none,hazard map equals risk map or completed risk score.,Do not create until a separate risk-overlay design is approved.
