evidence_id,evidence_role,exists,path,decision,key_metrics,used_for_contract
active_dev_board,lane scope and claim boundaries,1,docs/handoff/OpenHeat_ACTIVE_DEV_BOARD_2026-05-26.md,planned,source reviewed for scope and claim boundaries,yes
a_l1h4_status,A-L1H.4 status and headline,1,outputs/v11_systema_l1_high_tail/prob_exceedance_suite/A_L1H4_STATUS.md,A_L1H4_COMPANION_PROMISING,n=1674.000; events=204.000; Brier=0.052; ECE_fixed=0.018; PR-AUC=0.610; ROC-AUC=0.947; best_F1 threshold=0.446; recall=0.765; precision=0.678; miss_rate=0.235; false_alarm_ratio=0.322; P_ge33=LOW_SUPPORT,yes
a_l1h4_model_card,A-L1H.4 model card,1,outputs/v11_systema_l1_high_tail/prob_exceedance_suite/l1h4_model_card.md,A_L1H4_COMPANION_PROMISING,n=1674.000; events=204.000; Brier=0.052; ECE_fixed=0.018; PR-AUC=0.610; ROC-AUC=0.947; best_F1 threshold=0.446; recall=0.765; precision=0.678; miss_rate=0.235; false_alarm_ratio=0.322; P_ge33=LOW_SUPPORT,yes
a_l1h4_report,A-L1H.4 report,1,outputs/v11_systema_l1_high_tail/prob_exceedance_suite/l1h4_report.md,A_L1H4_COMPANION_PROMISING,n=1674.000; events=204.000; Brier=0.052; ECE_fixed=0.018; PR-AUC=0.610; ROC-AUC=0.947; best_F1 threshold=0.446; recall=0.765; precision=0.678; miss_rate=0.235; false_alarm_ratio=0.322; P_ge33=LOW_SUPPORT,yes
a_l1h4_output_contract_draft,A-L1H.4 draft output contract,1,outputs/v11_systema_l1_high_tail/prob_exceedance_suite/l1h4_output_contract_draft.md,not_declared,source reviewed for scope and claim boundaries,yes
a_l1h4_decision_matrix,A-L1H.4 decision matrix,1,outputs/v11_systema_l1_high_tail/prob_exceedance_suite/l1h4_decision_matrix.csv,matrix_available,primary_threshold_recall_miss=PASS; probability_calibration=PASS; ge33_support=LOW_SUPPORT; claim_boundary=PASS,yes
a_l1h4_station_caveats,A-L1H.4 station caveats,1,outputs/v11_systema_l1_high_tail/prob_exceedance_suite/l1h4_station_threshold_diagnostics.csv,station_caveats_available,S142: n_ge31=15.000; recall=0.533; miss_rate=0.467; false_alarm_ratio=0.000; S139: n_ge31=1.000; recall=1.000; miss_rate=0.000; false_alarm_ratio=0.889,yes
a_l2_1c_status,A-L2.1c status,1,outputs/v11_systema_l2_residual/scoped_residual_preflight/A_L2_1C_STATUS.md,A_L2_SCOPED_SIGNAL_PROMISING,weak high-tail explanatory signal; score residual not identifiable; no station correction,yes
a_l2_1c_report,A-L2.1c report,1,outputs/v11_systema_l2_residual/scoped_residual_preflight/l2_scoped_residual_preflight_report.md,A_L2_SCOPED_SIGNAL_PROMISING,weak high-tail explanatory signal; score residual not identifiable; no station correction,yes
a_l2_1c_cn_doc,A-L2.1c Chinese note,1,docs/v11/OpenHeat_SystemA_L2_scoped_residual_preflight_CN.md,not_declared,source reviewed for scope and claim boundaries,yes
prior_l1_high_tail_01,prior A-L1H report/status,1,outputs/v11_systema_l1_high_tail/A_L1H_LANE_STATUS.md,PASS,A-L1H.0 found global high-tail compression plus station-specific residual bias.,yes_context
prior_l1_high_tail_02,prior A-L1H report/status,1,outputs/v11_systema_l1_high_tail/residual_decomposition/high_tail_bias_report.md,not_declared,A-L1H.0 found global high-tail compression plus station-specific residual bias.,yes_context
prior_l1_high_tail_03,prior A-L1H report/status,1,outputs/v11_systema_l1_high_tail/weather_regime_merge/A_L1H_0B_STATUS.md,PASS,A-L1H.0b partial weather merge showed plausible but incomplete regime structure.,yes_context
prior_l1_high_tail_04,prior A-L1H report/status,1,outputs/v11_systema_l1_high_tail/weather_regime_merge/weather_regime_bias_report.md,PASS,A-L1H.0b partial weather merge showed plausible but incomplete regime structure.,yes_context
prior_l1_high_tail_05,prior A-L1H report/status,1,outputs/v11_systema_l1_high_tail/weather_regime_merge_full_period/A_L1H_0C_STATUS.md,PASS_FULL_PERIOD,"A-L1H.0c recovered full-period weather-regime coverage; regime evidence is diagnostic, not causal proof.",yes_context
prior_l1_high_tail_06,prior A-L1H report/status,1,outputs/v11_systema_l1_high_tail/weather_regime_merge_full_period/weather_regime_full_period_decision_report.md,PASS_FULL_PERIOD,"A-L1H.0c recovered full-period weather-regime coverage; regime evidence is diagnostic, not causal proof.",yes_context
prior_l1_high_tail_07,prior A-L1H report/status,1,outputs/v11_systema_l1_high_tail/formula_proxy_audit/A_L1H_1_STATUS.md,WEAK_OR_NEGATIVE,A-L1H.1 formula/proxy audit was weak or negative; no canonical formula replacement.,yes_context
prior_l1_high_tail_08,prior A-L1H report/status,1,outputs/v11_systema_l1_high_tail/formula_proxy_audit/formula_physics_audit_report.md,WEAK_OR_NEGATIVE,A-L1H.1 formula/proxy audit was weak or negative; no canonical formula replacement.,yes_context
prior_l1_high_tail_09,prior A-L1H report/status,1,outputs/v11_systema_l1_high_tail/probability_threshold_calibration/A_L1H_2_STATUS.md,PASS_CANDIDATE_PROBABILITY_COMPANION,A-L1H.2 accepted P_ge31 as retrospective diagnostic companion only.,yes_context
