target,model,split_family,split_name,fold_id,metric,value,split_role
delta_tmrt_p90_c,dummy_mean,cell_group_holdout,cell_group_5fold,1,top5_overlap,0.0,main
delta_tmrt_p90_c,dummy_mean,cell_group_holdout,cell_group_5fold,1,top10pct_overlap,0.0,main
delta_tmrt_p90_c,dummy_mean,cell_group_holdout,cell_group_5fold,1,top20pct_overlap,0.16666666666666666,main
delta_tmrt_p90_c,linear_regression,cell_group_holdout,cell_group_5fold,1,top5_overlap,0.4,main
delta_tmrt_p90_c,linear_regression,cell_group_holdout,cell_group_5fold,1,top10pct_overlap,0.0,main
delta_tmrt_p90_c,linear_regression,cell_group_holdout,cell_group_5fold,1,top20pct_overlap,0.5,main
delta_tmrt_p90_c,ridge,cell_group_holdout,cell_group_5fold,1,top5_overlap,0.4,main
delta_tmrt_p90_c,ridge,cell_group_holdout,cell_group_5fold,1,top10pct_overlap,0.0,main
delta_tmrt_p90_c,ridge,cell_group_holdout,cell_group_5fold,1,top20pct_overlap,0.5,main
delta_tmrt_p90_c,elasticnet,cell_group_holdout,cell_group_5fold,1,top5_overlap,0.4,main
delta_tmrt_p90_c,elasticnet,cell_group_holdout,cell_group_5fold,1,top10pct_overlap,0.0,main
delta_tmrt_p90_c,elasticnet,cell_group_holdout,cell_group_5fold,1,top20pct_overlap,0.5,main
delta_tmrt_p90_c,random_forest_regressor,cell_group_holdout,cell_group_5fold,1,top5_overlap,0.2,main
delta_tmrt_p90_c,random_forest_regressor,cell_group_holdout,cell_group_5fold,1,top10pct_overlap,0.0,main
delta_tmrt_p90_c,random_forest_regressor,cell_group_holdout,cell_group_5fold,1,top20pct_overlap,0.5,main
delta_tmrt_p90_c,hist_gradient_boosting_regressor,cell_group_holdout,cell_group_5fold,1,top5_overlap,0.4,main
delta_tmrt_p90_c,hist_gradient_boosting_regressor,cell_group_holdout,cell_group_5fold,1,top10pct_overlap,0.3333333333333333,main
delta_tmrt_p90_c,hist_gradient_boosting_regressor,cell_group_holdout,cell_group_5fold,1,top20pct_overlap,0.3333333333333333,main
delta_tmrt_p90_c,dummy_mean,cell_group_holdout,cell_group_5fold,2,top5_overlap,0.0,main
delta_tmrt_p90_c,dummy_mean,cell_group_holdout,cell_group_5fold,2,top10pct_overlap,0.0,main
delta_tmrt_p90_c,dummy_mean,cell_group_holdout,cell_group_5fold,2,top20pct_overlap,0.0,main
delta_tmrt_p90_c,linear_regression,cell_group_holdout,cell_group_5fold,2,top5_overlap,0.6,main
delta_tmrt_p90_c,linear_regression,cell_group_holdout,cell_group_5fold,2,top10pct_overlap,0.0,main
delta_tmrt_p90_c,linear_regression,cell_group_holdout,cell_group_5fold,2,top20pct_overlap,0.6666666666666666,main
delta_tmrt_p90_c,ridge,cell_group_holdout,cell_group_5fold,2,top5_overlap,0.6,main
delta_tmrt_p90_c,ridge,cell_group_holdout,cell_group_5fold,2,top10pct_overlap,0.0,main
delta_tmrt_p90_c,ridge,cell_group_holdout,cell_group_5fold,2,top20pct_overlap,0.6666666666666666,main
delta_tmrt_p90_c,elasticnet,cell_group_holdout,cell_group_5fold,2,top5_overlap,0.6,main
delta_tmrt_p90_c,elasticnet,cell_group_holdout,cell_group_5fold,2,top10pct_overlap,0.0,main
delta_tmrt_p90_c,elasticnet,cell_group_holdout,cell_group_5fold,2,top20pct_overlap,0.6666666666666666,main
delta_tmrt_p90_c,random_forest_regressor,cell_group_holdout,cell_group_5fold,2,top5_overlap,0.6,main
delta_tmrt_p90_c,random_forest_regressor,cell_group_holdout,cell_group_5fold,2,top10pct_overlap,0.3333333333333333,main
delta_tmrt_p90_c,random_forest_regressor,cell_group_holdout,cell_group_5fold,2,top20pct_overlap,0.6666666666666666,main
delta_tmrt_p90_c,hist_gradient_boosting_regressor,cell_group_holdout,cell_group_5fold,2,top5_overlap,0.8,main
delta_tmrt_p90_c,hist_gradient_boosting_regressor,cell_group_holdout,cell_group_5fold,2,top10pct_overlap,0.6666666666666666,main
delta_tmrt_p90_c,hist_gradient_boosting_regressor,cell_group_holdout,cell_group_5fold,2,top20pct_overlap,0.6666666666666666,main
delta_tmrt_p90_c,dummy_mean,cell_group_holdout,cell_group_5fold,3,top5_overlap,0.2,main
delta_tmrt_p90_c,dummy_mean,cell_group_holdout,cell_group_5fold,3,top10pct_overlap,0.0,main
delta_tmrt_p90_c,dummy_mean,cell_group_holdout,cell_group_5fold,3,top20pct_overlap,0.3333333333333333,main
delta_tmrt_p90_c,linear_regression,cell_group_holdout,cell_group_5fold,3,top5_overlap,0.0,main
delta_tmrt_p90_c,linear_regression,cell_group_holdout,cell_group_5fold,3,top10pct_overlap,0.0,main
delta_tmrt_p90_c,linear_regression,cell_group_holdout,cell_group_5fold,3,top20pct_overlap,0.16666666666666666,main
delta_tmrt_p90_c,ridge,cell_group_holdout,cell_group_5fold,3,top5_overlap,0.0,main
delta_tmrt_p90_c,ridge,cell_group_holdout,cell_group_5fold,3,top10pct_overlap,0.0,main
delta_tmrt_p90_c,ridge,cell_group_holdout,cell_group_5fold,3,top20pct_overlap,0.16666666666666666,main
delta_tmrt_p90_c,elasticnet,cell_group_holdout,cell_group_5fold,3,top5_overlap,0.0,main
delta_tmrt_p90_c,elasticnet,cell_group_holdout,cell_group_5fold,3,top10pct_overlap,0.0,main
delta_tmrt_p90_c,elasticnet,cell_group_holdout,cell_group_5fold,3,top20pct_overlap,0.16666666666666666,main
delta_tmrt_p90_c,random_forest_regressor,cell_group_holdout,cell_group_5fold,3,top5_overlap,0.4,main
delta_tmrt_p90_c,random_forest_regressor,cell_group_holdout,cell_group_5fold,3,top10pct_overlap,0.3333333333333333,main
delta_tmrt_p90_c,random_forest_regressor,cell_group_holdout,cell_group_5fold,3,top20pct_overlap,0.3333333333333333,main
delta_tmrt_p90_c,hist_gradient_boosting_regressor,cell_group_holdout,cell_group_5fold,3,top5_overlap,0.2,main
delta_tmrt_p90_c,hist_gradient_boosting_regressor,cell_group_holdout,cell_group_5fold,3,top10pct_overlap,0.0,main
delta_tmrt_p90_c,hist_gradient_boosting_regressor,cell_group_holdout,cell_group_5fold,3,top20pct_overlap,0.16666666666666666,main
delta_tmrt_p90_c,dummy_mean,cell_group_holdout,cell_group_5fold,4,top5_overlap,0.2,main
delta_tmrt_p90_c,dummy_mean,cell_group_holdout,cell_group_5fold,4,top10pct_overlap,0.0,main
delta_tmrt_p90_c,dummy_mean,cell_group_holdout,cell_group_5fold,4,top20pct_overlap,0.16666666666666666,main
delta_tmrt_p90_c,linear_regression,cell_group_holdout,cell_group_5fold,4,top5_overlap,0.6,main
delta_tmrt_p90_c,linear_regression,cell_group_holdout,cell_group_5fold,4,top10pct_overlap,0.6666666666666666,main
delta_tmrt_p90_c,linear_regression,cell_group_holdout,cell_group_5fold,4,top20pct_overlap,0.6666666666666666,main
delta_tmrt_p90_c,ridge,cell_group_holdout,cell_group_5fold,4,top5_overlap,0.6,main
delta_tmrt_p90_c,ridge,cell_group_holdout,cell_group_5fold,4,top10pct_overlap,0.6666666666666666,main
delta_tmrt_p90_c,ridge,cell_group_holdout,cell_group_5fold,4,top20pct_overlap,0.6666666666666666,main
delta_tmrt_p90_c,elasticnet,cell_group_holdout,cell_group_5fold,4,top5_overlap,0.6,main
delta_tmrt_p90_c,elasticnet,cell_group_holdout,cell_group_5fold,4,top10pct_overlap,0.6666666666666666,main
delta_tmrt_p90_c,elasticnet,cell_group_holdout,cell_group_5fold,4,top20pct_overlap,0.6666666666666666,main
delta_tmrt_p90_c,random_forest_regressor,cell_group_holdout,cell_group_5fold,4,top5_overlap,0.6,main
delta_tmrt_p90_c,random_forest_regressor,cell_group_holdout,cell_group_5fold,4,top10pct_overlap,1.0,main
delta_tmrt_p90_c,random_forest_regressor,cell_group_holdout,cell_group_5fold,4,top20pct_overlap,0.5,main
delta_tmrt_p90_c,hist_gradient_boosting_regressor,cell_group_holdout,cell_group_5fold,4,top5_overlap,0.2,main
delta_tmrt_p90_c,hist_gradient_boosting_regressor,cell_group_holdout,cell_group_5fold,4,top10pct_overlap,0.3333333333333333,main
delta_tmrt_p90_c,hist_gradient_boosting_regressor,cell_group_holdout,cell_group_5fold,4,top20pct_overlap,0.16666666666666666,main
delta_tmrt_p90_c,dummy_mean,cell_group_holdout,cell_group_5fold,5,top5_overlap,0.4,main
delta_tmrt_p90_c,dummy_mean,cell_group_holdout,cell_group_5fold,5,top10pct_overlap,0.0,main
delta_tmrt_p90_c,dummy_mean,cell_group_holdout,cell_group_5fold,5,top20pct_overlap,0.5,main
delta_tmrt_p90_c,linear_regression,cell_group_holdout,cell_group_5fold,5,top5_overlap,0.2,main
delta_tmrt_p90_c,linear_regression,cell_group_holdout,cell_group_5fold,5,top10pct_overlap,0.3333333333333333,main
delta_tmrt_p90_c,linear_regression,cell_group_holdout,cell_group_5fold,5,top20pct_overlap,0.3333333333333333,main
delta_tmrt_p90_c,ridge,cell_group_holdout,cell_group_5fold,5,top5_overlap,0.2,main
delta_tmrt_p90_c,ridge,cell_group_holdout,cell_group_5fold,5,top10pct_overlap,0.3333333333333333,main
delta_tmrt_p90_c,ridge,cell_group_holdout,cell_group_5fold,5,top20pct_overlap,0.3333333333333333,main
delta_tmrt_p90_c,elasticnet,cell_group_holdout,cell_group_5fold,5,top5_overlap,0.4,main
delta_tmrt_p90_c,elasticnet,cell_group_holdout,cell_group_5fold,5,top10pct_overlap,0.3333333333333333,main
delta_tmrt_p90_c,elasticnet,cell_group_holdout,cell_group_5fold,5,top20pct_overlap,0.3333333333333333,main
delta_tmrt_p90_c,random_forest_regressor,cell_group_holdout,cell_group_5fold,5,top5_overlap,0.2,main
delta_tmrt_p90_c,random_forest_regressor,cell_group_holdout,cell_group_5fold,5,top10pct_overlap,0.3333333333333333,main
delta_tmrt_p90_c,random_forest_regressor,cell_group_holdout,cell_group_5fold,5,top20pct_overlap,0.16666666666666666,main
delta_tmrt_p90_c,hist_gradient_boosting_regressor,cell_group_holdout,cell_group_5fold,5,top5_overlap,0.4,main
delta_tmrt_p90_c,hist_gradient_boosting_regressor,cell_group_holdout,cell_group_5fold,5,top10pct_overlap,0.3333333333333333,main
delta_tmrt_p90_c,hist_gradient_boosting_regressor,cell_group_holdout,cell_group_5fold,5,top20pct_overlap,0.3333333333333333,main
delta_tmrt_p90_c,dummy_mean,forcing_day_holdout,holdout_FD01_high_shortwave_hot_20260507,1,top5_overlap,0.0,main
delta_tmrt_p90_c,dummy_mean,forcing_day_holdout,holdout_FD01_high_shortwave_hot_20260507,1,top10pct_overlap,0.0,main
delta_tmrt_p90_c,dummy_mean,forcing_day_holdout,holdout_FD01_high_shortwave_hot_20260507,1,top20pct_overlap,0.23333333333333334,main
delta_tmrt_p90_c,linear_regression,forcing_day_holdout,holdout_FD01_high_shortwave_hot_20260507,1,top5_overlap,0.4,main
delta_tmrt_p90_c,linear_regression,forcing_day_holdout,holdout_FD01_high_shortwave_hot_20260507,1,top10pct_overlap,0.26666666666666666,main
delta_tmrt_p90_c,linear_regression,forcing_day_holdout,holdout_FD01_high_shortwave_hot_20260507,1,top20pct_overlap,0.5333333333333333,main
delta_tmrt_p90_c,ridge,forcing_day_holdout,holdout_FD01_high_shortwave_hot_20260507,1,top5_overlap,0.4,main
delta_tmrt_p90_c,ridge,forcing_day_holdout,holdout_FD01_high_shortwave_hot_20260507,1,top10pct_overlap,0.26666666666666666,main
delta_tmrt_p90_c,ridge,forcing_day_holdout,holdout_FD01_high_shortwave_hot_20260507,1,top20pct_overlap,0.5333333333333333,main
delta_tmrt_p90_c,elasticnet,forcing_day_holdout,holdout_FD01_high_shortwave_hot_20260507,1,top5_overlap,0.4,main
delta_tmrt_p90_c,elasticnet,forcing_day_holdout,holdout_FD01_high_shortwave_hot_20260507,1,top10pct_overlap,0.26666666666666666,main
delta_tmrt_p90_c,elasticnet,forcing_day_holdout,holdout_FD01_high_shortwave_hot_20260507,1,top20pct_overlap,0.5333333333333333,main
delta_tmrt_p90_c,random_forest_regressor,forcing_day_holdout,holdout_FD01_high_shortwave_hot_20260507,1,top5_overlap,0.8,main
delta_tmrt_p90_c,random_forest_regressor,forcing_day_holdout,holdout_FD01_high_shortwave_hot_20260507,1,top10pct_overlap,0.9333333333333333,main
delta_tmrt_p90_c,random_forest_regressor,forcing_day_holdout,holdout_FD01_high_shortwave_hot_20260507,1,top20pct_overlap,0.8666666666666667,main
delta_tmrt_p90_c,hist_gradient_boosting_regressor,forcing_day_holdout,holdout_FD01_high_shortwave_hot_20260507,1,top5_overlap,0.8,main
delta_tmrt_p90_c,hist_gradient_boosting_regressor,forcing_day_holdout,holdout_FD01_high_shortwave_hot_20260507,1,top10pct_overlap,1.0,main
delta_tmrt_p90_c,hist_gradient_boosting_regressor,forcing_day_holdout,holdout_FD01_high_shortwave_hot_20260507,1,top20pct_overlap,0.9,main
delta_tmrt_p90_c,dummy_mean,forcing_day_holdout,holdout_FD02_humid_hot_cloudy_or_diffuse_20260508,2,top5_overlap,0.0,main
delta_tmrt_p90_c,dummy_mean,forcing_day_holdout,holdout_FD02_humid_hot_cloudy_or_diffuse_20260508,2,top10pct_overlap,0.0,main
delta_tmrt_p90_c,dummy_mean,forcing_day_holdout,holdout_FD02_humid_hot_cloudy_or_diffuse_20260508,2,top20pct_overlap,0.23333333333333334,main
delta_tmrt_p90_c,linear_regression,forcing_day_holdout,holdout_FD02_humid_hot_cloudy_or_diffuse_20260508,2,top5_overlap,0.4,main
delta_tmrt_p90_c,linear_regression,forcing_day_holdout,holdout_FD02_humid_hot_cloudy_or_diffuse_20260508,2,top10pct_overlap,0.3333333333333333,main
delta_tmrt_p90_c,linear_regression,forcing_day_holdout,holdout_FD02_humid_hot_cloudy_or_diffuse_20260508,2,top20pct_overlap,0.5666666666666667,main
delta_tmrt_p90_c,ridge,forcing_day_holdout,holdout_FD02_humid_hot_cloudy_or_diffuse_20260508,2,top5_overlap,0.4,main
delta_tmrt_p90_c,ridge,forcing_day_holdout,holdout_FD02_humid_hot_cloudy_or_diffuse_20260508,2,top10pct_overlap,0.3333333333333333,main
delta_tmrt_p90_c,ridge,forcing_day_holdout,holdout_FD02_humid_hot_cloudy_or_diffuse_20260508,2,top20pct_overlap,0.5666666666666667,main
delta_tmrt_p90_c,elasticnet,forcing_day_holdout,holdout_FD02_humid_hot_cloudy_or_diffuse_20260508,2,top5_overlap,0.4,main
delta_tmrt_p90_c,elasticnet,forcing_day_holdout,holdout_FD02_humid_hot_cloudy_or_diffuse_20260508,2,top10pct_overlap,0.3333333333333333,main
delta_tmrt_p90_c,elasticnet,forcing_day_holdout,holdout_FD02_humid_hot_cloudy_or_diffuse_20260508,2,top20pct_overlap,0.5666666666666667,main
delta_tmrt_p90_c,random_forest_regressor,forcing_day_holdout,holdout_FD02_humid_hot_cloudy_or_diffuse_20260508,2,top5_overlap,0.8,main
delta_tmrt_p90_c,random_forest_regressor,forcing_day_holdout,holdout_FD02_humid_hot_cloudy_or_diffuse_20260508,2,top10pct_overlap,0.9333333333333333,main
delta_tmrt_p90_c,random_forest_regressor,forcing_day_holdout,holdout_FD02_humid_hot_cloudy_or_diffuse_20260508,2,top20pct_overlap,0.9,main
delta_tmrt_p90_c,hist_gradient_boosting_regressor,forcing_day_holdout,holdout_FD02_humid_hot_cloudy_or_diffuse_20260508,2,top5_overlap,0.8,main
