gate,status,evidence,next_action,claim_boundary
label_input,PASS,F5 pairwise labels are used as the only training target source; expected 1500 rows.,Keep old single-forcing labels as metadata only.,"SOLWEIG Tmrt labels only; not WBGT, risk, observed truth, or B9."
feature_input,PASS,Compact N150 sample-design physical features plus hour_sgt; cell_id and forcing_day_id excluded from predictors.,Upgrade compact features only if generalisation remains weak.,Feature importance is diagnostic only and not causal.
forcing_day_holdout,PASS,"hist_gradient_boosting_regressor: Spearman=0.864, top10pct=1.000, MAE=0.0666, R2=0.850, improvement=70.0%",Use this as primary promotion evidence; random split remains diagnostic only.,Forcing generalisation is over two F5 weather forcing days only.
cell_spatial_typology_hour_holdouts,WARN,"cell_group_holdout: Spearman=0.462, top10pct=0.333, improvement=10.6% | hour_holdout: Spearman=0.902, top10pct=0.960, improvement=77.6% | spatial_holdout: Spearman=0.386, top10pct=0.312, improvement=7.3% | typology_holdout: Spearman=0.391, top10pct=0.124, improvement=1.1%",Treat any collapsing split as a feature/target hardening signal.,No AOI-wide prediction is generated in this lane.
target_sensitivity,PASS,Most predictable target: base_tmrt_p90_c (Spearman=0.867); primary p90 Spearman=0.864.,Keep p90 primary by role; report mean/p50 as companion targets when they are more predictable or larger in magnitude.,Do not automatically replace p90 without role-specific review.
anchor_neutral_unstable_audit,WARN,"anchor MAE=0.3778, anchor rank error=2.60, neutral accuracy=0.621, unstable MAE=0.1119.",Keep h10 caveat separated and do not promote neutral-boundary cells from model artefacts.,"F4 cells are diagnostics, not observed truth."
h10_caveat,PASS,h10 metrics are reported separately in model metric outputs.,Do not use h10 alone as anchor evidence.,h10 caveat retained from F4/F5.
aoi_preflight,B86B_WEAK_NEEDS_FEATURE_UPGRADE,AOI-wide preflight is not recommended; upgrade compact features and re-test forcing-day/spatial/typology generalisation.,AOI-wide preflight is not recommended; upgrade compact features and re-test forcing-day/spatial/typology generalisation.,B8.6b may recommend a future preflight but does not generate AOI-wide prediction.
b9_status,BLOCKED,This lane is surrogate-promotion review only.,B9 remains separately scoped and blocked.,"Not B9, not local WBGT, not risk, no System A/B coupling."
final_status,B86B_WEAK_NEEDS_FEATURE_UPGRADE,"Best primary model: hist_gradient_boosting_regressor. Forcing-day holdout MAE=0.0666, R2=0.850, Spearman=0.864, top10pct=1.000, improvement=70.0%.",AOI-wide preflight is not recommended; upgrade compact features and re-test forcing-day/spatial/typology generalisation.,"No raster committed, no Tmrt-to-WBGT conversion, no observed-truth claim."
