run_id,cell_id,typology_label,hour_sgt,scenario_id,tile_dir,forcing_file,output_dir,qa_role,expected_direction,notes
v12_formal_hotday_smoke_TP_0986_h13_base,TP_0986,low_rise_residential_null_control,13,base,data/solweig/v12_typology_tiles/V12C02_TP_0986_low_rise_residential_null_control,data/solweig/v12_formal_hotday_forcing/v12_formal_hotday_S128_h13.txt,outputs/v12_solweig_typology_pilot/formal_hotday_smoke/base/TP_0986/h13,hot_null_control,base ranking remains physically interpretable under formal-hot-day forcing,hot null-control; overhead p90 delta should remain near zero
v12_formal_hotday_smoke_TP_0986_h13_overhead,TP_0986,low_rise_residential_null_control,13,overhead_as_canopy,data/solweig/v12_typology_tiles/V12C02_TP_0986_low_rise_residential_null_control,data/solweig/v12_formal_hotday_forcing/v12_formal_hotday_S128_h13.txt,outputs/v12_solweig_typology_pilot/formal_hotday_smoke/overhead/TP_0986/h13,hot_null_control,overhead p90 delta near zero; no mapped-overhead response expected,hot null-control; overhead p90 delta should remain near zero
v12_formal_hotday_smoke_TP_0986_h15_base,TP_0986,low_rise_residential_null_control,15,base,data/solweig/v12_typology_tiles/V12C02_TP_0986_low_rise_residential_null_control,data/solweig/v12_formal_hotday_forcing/v12_formal_hotday_S128_h15.txt,outputs/v12_solweig_typology_pilot/formal_hotday_smoke/base/TP_0986/h15,hot_null_control,base ranking remains physically interpretable under formal-hot-day forcing,hot null-control; overhead p90 delta should remain near zero
v12_formal_hotday_smoke_TP_0986_h15_overhead,TP_0986,low_rise_residential_null_control,15,overhead_as_canopy,data/solweig/v12_typology_tiles/V12C02_TP_0986_low_rise_residential_null_control,data/solweig/v12_formal_hotday_forcing/v12_formal_hotday_S128_h15.txt,outputs/v12_solweig_typology_pilot/formal_hotday_smoke/overhead/TP_0986/h15,hot_null_control,overhead p90 delta near zero; no mapped-overhead response expected,hot null-control; overhead p90 delta should remain near zero
v12_formal_hotday_smoke_TP_0565_h13_base,TP_0565,school_gate_road_edge_hot_anchor,13,base,data/solweig/v12_typology_tiles/V12C01_TP_0565_school_gate_road_edge_hot_anchor,data/solweig/v12_formal_hotday_forcing/v12_formal_hotday_S128_h13.txt,outputs/v12_solweig_typology_pilot/formal_hotday_smoke/base/TP_0565/h13,hot_anchor_null_control,base ranking remains physically interpretable under formal-hot-day forcing,road-edge hot anchor; overhead p90 delta should remain near zero
v12_formal_hotday_smoke_TP_0565_h13_overhead,TP_0565,school_gate_road_edge_hot_anchor,13,overhead_as_canopy,data/solweig/v12_typology_tiles/V12C01_TP_0565_school_gate_road_edge_hot_anchor,data/solweig/v12_formal_hotday_forcing/v12_formal_hotday_S128_h13.txt,outputs/v12_solweig_typology_pilot/formal_hotday_smoke/overhead/TP_0565/h13,hot_anchor_null_control,overhead p90 delta near zero; no mapped-overhead response expected,road-edge hot anchor; overhead p90 delta should remain near zero
v12_formal_hotday_smoke_TP_0565_h15_base,TP_0565,school_gate_road_edge_hot_anchor,15,base,data/solweig/v12_typology_tiles/V12C01_TP_0565_school_gate_road_edge_hot_anchor,data/solweig/v12_formal_hotday_forcing/v12_formal_hotday_S128_h15.txt,outputs/v12_solweig_typology_pilot/formal_hotday_smoke/base/TP_0565/h15,hot_anchor_null_control,base ranking remains physically interpretable under formal-hot-day forcing,road-edge hot anchor; overhead p90 delta should remain near zero
v12_formal_hotday_smoke_TP_0565_h15_overhead,TP_0565,school_gate_road_edge_hot_anchor,15,overhead_as_canopy,data/solweig/v12_typology_tiles/V12C01_TP_0565_school_gate_road_edge_hot_anchor,data/solweig/v12_formal_hotday_forcing/v12_formal_hotday_S128_h15.txt,outputs/v12_solweig_typology_pilot/formal_hotday_smoke/overhead/TP_0565/h15,hot_anchor_null_control,overhead p90 delta near zero; no mapped-overhead response expected,road-edge hot anchor; overhead p90 delta should remain near zero
v12_formal_hotday_smoke_TP_0542_h13_base,TP_0542,river_edge_shaded_walkway,13,base,data/solweig/v12_typology_tiles/V12C04_TP_0542_river_edge_shaded_walkway,data/solweig/v12_formal_hotday_forcing/v12_formal_hotday_S128_h13.txt,outputs/v12_solweig_typology_pilot/formal_hotday_smoke/base/TP_0542/h13,mapped_overhead_response_case,base ranking remains physically interpretable under formal-hot-day forcing,mapped pedestrian-overhead shade case; p90/distribution response should remain interpretable
v12_formal_hotday_smoke_TP_0542_h13_overhead,TP_0542,river_edge_shaded_walkway,13,overhead_as_canopy,data/solweig/v12_typology_tiles/V12C04_TP_0542_river_edge_shaded_walkway,data/solweig/v12_formal_hotday_forcing/v12_formal_hotday_S128_h13.txt,outputs/v12_solweig_typology_pilot/formal_hotday_smoke/overhead/TP_0542/h13,mapped_overhead_response_case,overhead modifies p90 or distribution in interpretable shade direction,mapped pedestrian-overhead shade case; p90/distribution response should remain interpretable
v12_formal_hotday_smoke_TP_0542_h15_base,TP_0542,river_edge_shaded_walkway,15,base,data/solweig/v12_typology_tiles/V12C04_TP_0542_river_edge_shaded_walkway,data/solweig/v12_formal_hotday_forcing/v12_formal_hotday_S128_h15.txt,outputs/v12_solweig_typology_pilot/formal_hotday_smoke/base/TP_0542/h15,mapped_overhead_response_case,base ranking remains physically interpretable under formal-hot-day forcing,mapped pedestrian-overhead shade case; p90/distribution response should remain interpretable
v12_formal_hotday_smoke_TP_0542_h15_overhead,TP_0542,river_edge_shaded_walkway,15,overhead_as_canopy,data/solweig/v12_typology_tiles/V12C04_TP_0542_river_edge_shaded_walkway,data/solweig/v12_formal_hotday_forcing/v12_formal_hotday_S128_h15.txt,outputs/v12_solweig_typology_pilot/formal_hotday_smoke/overhead/TP_0542/h15,mapped_overhead_response_case,overhead modifies p90 or distribution in interpretable shade direction,mapped pedestrian-overhead shade case; p90/distribution response should remain interpretable
v12_formal_hotday_smoke_TP_0059_h13_base,TP_0059,open_paved_hardscape_parking_lot,13,base,data/solweig/v12_typology_tiles/V12C07_TP_0059_open_paved_hardscape_parking_lot,data/solweig/v12_formal_hotday_forcing/v12_formal_hotday_S128_h13.txt,outputs/v12_solweig_typology_pilot/formal_hotday_smoke/base/TP_0059/h13,hardscape_mean_vs_p90_diagnostic,base ranking remains physically interpretable under formal-hot-day forcing,hardscape mean-vs-p90 diagnostic; mean may shift more than p90
