run_id,cell_id,typology_label,typology_label_cn,pilot_tier,hour_sgt,scenario_id,forcing_id,run_status,qa_expected,notes
v12beta_core8_001,TP_0565,school_gate_road_edge_hot_anchor,幼儿园门口/道路边界混合热锚点,Core,10,base,TBD_v10_epsilon_or_formal_hot_day,planned,base_physical_plausibility,mixed hot anchor; v10 continuity; microshade uncertainty possible
v12beta_core8_002,TP_0565,school_gate_road_edge_hot_anchor,幼儿园门口/道路边界混合热锚点,Core,10,overhead_as_canopy,TBD_v10_epsilon_or_formal_hot_day,planned,null_or_sensitivity_check,mixed hot anchor; v10 continuity; microshade uncertainty possible
v12beta_core8_003,TP_0565,school_gate_road_edge_hot_anchor,幼儿园门口/道路边界混合热锚点,Core,12,base,TBD_v10_epsilon_or_formal_hot_day,planned,base_physical_plausibility,mixed hot anchor; v10 continuity; microshade uncertainty possible
v12beta_core8_004,TP_0565,school_gate_road_edge_hot_anchor,幼儿园门口/道路边界混合热锚点,Core,12,overhead_as_canopy,TBD_v10_epsilon_or_formal_hot_day,planned,null_or_sensitivity_check,mixed hot anchor; v10 continuity; microshade uncertainty possible
v12beta_core8_005,TP_0565,school_gate_road_edge_hot_anchor,幼儿园门口/道路边界混合热锚点,Core,13,base,TBD_v10_epsilon_or_formal_hot_day,planned,base_physical_plausibility,mixed hot anchor; v10 continuity; microshade uncertainty possible
v12beta_core8_006,TP_0565,school_gate_road_edge_hot_anchor,幼儿园门口/道路边界混合热锚点,Core,13,overhead_as_canopy,TBD_v10_epsilon_or_formal_hot_day,planned,null_or_sensitivity_check,mixed hot anchor; v10 continuity; microshade uncertainty possible
v12beta_core8_007,TP_0565,school_gate_road_edge_hot_anchor,幼儿园门口/道路边界混合热锚点,Core,15,base,TBD_v10_epsilon_or_formal_hot_day,planned,base_physical_plausibility,mixed hot anchor; v10 continuity; microshade uncertainty possible
v12beta_core8_008,TP_0565,school_gate_road_edge_hot_anchor,幼儿园门口/道路边界混合热锚点,Core,15,overhead_as_canopy,TBD_v10_epsilon_or_formal_hot_day,planned,null_or_sensitivity_check,mixed hot anchor; v10 continuity; microshade uncertainty possible
v12beta_core8_009,TP_0565,school_gate_road_edge_hot_anchor,幼儿园门口/道路边界混合热锚点,Core,16,base,TBD_v10_epsilon_or_formal_hot_day,planned,base_physical_plausibility,mixed hot anchor; v10 continuity; microshade uncertainty possible
v12beta_core8_010,TP_0565,school_gate_road_edge_hot_anchor,幼儿园门口/道路边界混合热锚点,Core,16,overhead_as_canopy,TBD_v10_epsilon_or_formal_hot_day,planned,null_or_sensitivity_check,mixed hot anchor; v10 continuity; microshade uncertainty possible
v12beta_core8_011,TP_0986,low_rise_residential_null_control,低层住宅 clean null-control,Core,10,base,TBD_v10_epsilon_or_formal_hot_day,planned,base_physical_plausibility,low vegetation low-rise residential; overhead null-control
v12beta_core8_012,TP_0986,low_rise_residential_null_control,低层住宅 clean null-control,Core,10,overhead_as_canopy,TBD_v10_epsilon_or_formal_hot_day,planned,null_or_sensitivity_check,low vegetation low-rise residential; overhead null-control
v12beta_core8_013,TP_0986,low_rise_residential_null_control,低层住宅 clean null-control,Core,12,base,TBD_v10_epsilon_or_formal_hot_day,planned,base_physical_plausibility,low vegetation low-rise residential; overhead null-control
v12beta_core8_014,TP_0986,low_rise_residential_null_control,低层住宅 clean null-control,Core,12,overhead_as_canopy,TBD_v10_epsilon_or_formal_hot_day,planned,null_or_sensitivity_check,low vegetation low-rise residential; overhead null-control
v12beta_core8_015,TP_0986,low_rise_residential_null_control,低层住宅 clean null-control,Core,13,base,TBD_v10_epsilon_or_formal_hot_day,planned,base_physical_plausibility,low vegetation low-rise residential; overhead null-control
v12beta_core8_016,TP_0986,low_rise_residential_null_control,低层住宅 clean null-control,Core,13,overhead_as_canopy,TBD_v10_epsilon_or_formal_hot_day,planned,null_or_sensitivity_check,low vegetation low-rise residential; overhead null-control
v12beta_core8_017,TP_0986,low_rise_residential_null_control,低层住宅 clean null-control,Core,15,base,TBD_v10_epsilon_or_formal_hot_day,planned,base_physical_plausibility,low vegetation low-rise residential; overhead null-control
v12beta_core8_018,TP_0986,low_rise_residential_null_control,低层住宅 clean null-control,Core,15,overhead_as_canopy,TBD_v10_epsilon_or_formal_hot_day,planned,null_or_sensitivity_check,low vegetation low-rise residential; overhead null-control
v12beta_core8_019,TP_0986,low_rise_residential_null_control,低层住宅 clean null-control,Core,16,base,TBD_v10_epsilon_or_formal_hot_day,planned,base_physical_plausibility,low vegetation low-rise residential; overhead null-control
v12beta_core8_020,TP_0986,low_rise_residential_null_control,低层住宅 clean null-control,Core,16,overhead_as_canopy,TBD_v10_epsilon_or_formal_hot_day,planned,null_or_sensitivity_check,low vegetation low-rise residential; overhead null-control
