asset_key,repo_reference_path,local_expected_path,exists_by_metadata_check,path_kind,safe_to_commit_path_metadata,action_required,source,metadata_scope,claim_boundary
prior_root_b8_worktree_project,<b8_worktree_project>,C:/Users/CloudStar/Documents/GitHub/Urban-Analytics-Portfolio/06-openheat_grid_b8/06-openheat_grid,yes,project_worktree,yes,reuse as local_audit_only reference; do not copy assets,b85_f2d_root_inventory,local_audit_only,"B8.7b N300 execution precheck only; not B9, not AOI-wide prediction, not local WBGT, not hazard_score or risk_score, not exposure/vulnerability score, not observed truth, not causal feature importance, no raster read/write/copy, no QGIS/SOLWEIG execution, no run-ready N300 manifest, no QGIS/local runner, no Tmrt-to-WBGT conversion, and no System A/B coupling."
prior_root_original_project,<original_project>,C:/Users/CloudStar/Documents/GitHub/Urban-Analytics-Portfolio/06-openheat_grid,yes,project_worktree_alias,no,reuse as local_audit_only reference; do not copy assets,b85_f2d_root_inventory,local_audit_only,"B8.7b N300 execution precheck only; not B9, not AOI-wide prediction, not local WBGT, not hazard_score or risk_score, not exposure/vulnerability score, not observed truth, not causal feature importance, no raster read/write/copy, no QGIS/SOLWEIG execution, no run-ready N300 manifest, no QGIS/local runner, no Tmrt-to-WBGT conversion, and no System A/B coupling."
prior_root_b85_f2c_local_met_forcing,<b85_f2c_local_met_forcing>,C:/OpenHeat-local/solweig/met_forcing/b85_f2c,yes,local_generated_met_forcing_root,yes,reuse as local_audit_only reference; do not copy assets,b85_f2d_root_inventory,local_audit_only,"B8.7b N300 execution precheck only; not B9, not AOI-wide prediction, not local WBGT, not hazard_score or risk_score, not exposure/vulnerability score, not observed truth, not causal feature importance, no raster read/write/copy, no QGIS/SOLWEIG execution, no run-ready N300 manifest, no QGIS/local runner, no Tmrt-to-WBGT conversion, and no System A/B coupling."
prior_root_local_output_root,<local_output_root>,C:/OpenHeat-local/solweig/b85_f1_tiles,yes,local_solweig_output_root,yes,reuse as local_audit_only reference; do not copy assets,b85_f2d_root_inventory,local_audit_only,"B8.7b N300 execution precheck only; not B9, not AOI-wide prediction, not local WBGT, not hazard_score or risk_score, not exposure/vulnerability score, not observed truth, not causal feature importance, no raster read/write/copy, no QGIS/SOLWEIG execution, no run-ready N300 manifest, no QGIS/local runner, no Tmrt-to-WBGT conversion, and no System A/B coupling."
prior_root_qgis_manual_check_file,<qgis_manual_check_file>,C:/OpenHeat-local/solweig/qgis_checks/b85_solweig_algorithm_check.txt,yes,local_manual_check_file,yes,reuse as local_audit_only reference; do not copy assets,b85_f2d_root_inventory,local_audit_only,"B8.7b N300 execution precheck only; not B9, not AOI-wide prediction, not local WBGT, not hazard_score or risk_score, not exposure/vulnerability score, not observed truth, not causal feature importance, no raster read/write/copy, no QGIS/SOLWEIG execution, no run-ready N300 manifest, no QGIS/local runner, no Tmrt-to-WBGT conversion, and no System A/B coupling."
prior_f5_local_run_log,outputs/v12_surrogate/b8_5_f5_n150_multiforcing/B8_5_F5_STATUS.md,C:/OpenHeat-local/solweig/b85_f5_n150/run_logs/b85_f5_n150_qgis_run_log.csv,yes,local_run_log_csv,yes,use for runtime summary only; do not commit raw local log,config.local_run_log_candidates,local_audit_only,"B8.7b N300 execution precheck only; not B9, not AOI-wide prediction, not local WBGT, not hazard_score or risk_score, not exposure/vulnerability score, not observed truth, not causal feature importance, no raster read/write/copy, no QGIS/SOLWEIG execution, no run-ready N300 manifest, no QGIS/local runner, no Tmrt-to-WBGT conversion, and no System A/B coupling."
future_b87c_local_output_root_placeholder,not_created_in_B87B,C:/OpenHeat-local/solweig/b87c_n300,no,future_local_output_root,yes,future B8.7c may create/check this local-only root only after explicit authorization,B87B_precheck_recommendation,local_audit_only,"B8.7b N300 execution precheck only; not B9, not AOI-wide prediction, not local WBGT, not hazard_score or risk_score, not exposure/vulnerability score, not observed truth, not causal feature importance, no raster read/write/copy, no QGIS/SOLWEIG execution, no run-ready N300 manifest, no QGIS/local runner, no Tmrt-to-WBGT conversion, and no System A/B coupling."
future_b87c_asset_root_placeholder,data/solweig paths are not commit-safe and not created in B87B,LOCAL_ONLY_TO_BE_SELECTED_BY_B87C,unknown,future_local_asset_root,yes,resolve local root and path aliases in B8.7c; no asset copy in B8.7b,B87B_precheck_recommendation,local_audit_only,"B8.7b N300 execution precheck only; not B9, not AOI-wide prediction, not local WBGT, not hazard_score or risk_score, not exposure/vulnerability score, not observed truth, not causal feature importance, no raster read/write/copy, no QGIS/SOLWEIG execution, no run-ready N300 manifest, no QGIS/local runner, no Tmrt-to-WBGT conversion, and no System A/B coupling."
future_new_cell_tile_pattern,data/solweig/v12_n300_tiles/<cell_id>,C:/OpenHeat-local/solweig/b87c_n300/assets/<cell_id>,unknown,future_cell_asset_pattern,yes,schema/pattern only; not a resolved run-ready path and not checked as a file,B87B_precheck_recommendation,local_audit_only,"B8.7b N300 execution precheck only; not B9, not AOI-wide prediction, not local WBGT, not hazard_score or risk_score, not exposure/vulnerability score, not observed truth, not causal feature importance, no raster read/write/copy, no QGIS/SOLWEIG execution, no run-ready N300 manifest, no QGIS/local runner, no Tmrt-to-WBGT conversion, and no System A/B coupling."
future_pre_manifest_schema_only,outputs/v12_surrogate/b8_7b_n300_execution_precheck/b87b_pre_manifest_schema_preview.csv,not_applicable,unknown,schema_preview_not_manifest,yes,keep schema preview non-executable; no B87B manifest,B87B_precheck_output,local_audit_only,"B8.7b N300 execution precheck only; not B9, not AOI-wide prediction, not local WBGT, not hazard_score or risk_score, not exposure/vulnerability score, not observed truth, not causal feature importance, no raster read/write/copy, no QGIS/SOLWEIG execution, no run-ready N300 manifest, no QGIS/local runner, no Tmrt-to-WBGT conversion, and no System A/B coupling."
