dimension_id,dimension_name,audit_question,criticality,fail_condition,claim_boundary
D01,building_dsm_path,Which building DSM source generated the SOLWEIG geometry?,core_source,Final ML labels or planned N300 use mixed building DSM sources.,B8.7b.3p protocol/source parity audit only; no QGIS/SOLWEIG; no raster pixel read; no raster write/copy/move; no svfs.zip open; no run-ready manifest/runner; no AOI/B9/WBGT/risk/hazard/exposure/vulnerability/System A-B coupling.
D02,building_dsm_version_status,Is the building DSM the qa-corrected final reviewed-height version?,core_source,Final/planned protocols use non-final or mixed DSM versions.,B8.7b.3p protocol/source parity audit only; no QGIS/SOLWEIG; no raster pixel read; no raster write/copy/move; no svfs.zip open; no run-ready manifest/runner; no AOI/B9/WBGT/risk/hazard/exposure/vulnerability/System A-B coupling.
D03,vegetation_cdsm_path,Which base vegetation CDSM source was used?,core_source,Final/planned protocols use mixed base vegetation CDSM sources.,B8.7b.3p protocol/source parity audit only; no QGIS/SOLWEIG; no raster pixel read; no raster write/copy/move; no svfs.zip open; no run-ready manifest/runner; no AOI/B9/WBGT/risk/hazard/exposure/vulnerability/System A-B coupling.
D04,vegetation_cdsm_version_status,Is the vegetation CDSM version consistent?,core_source,Final/planned protocols use inconsistent vegetation CDSM status.,B8.7b.3p protocol/source parity audit only; no QGIS/SOLWEIG; no raster pixel read; no raster write/copy/move; no svfs.zip open; no run-ready manifest/runner; no AOI/B9/WBGT/risk/hazard/exposure/vulnerability/System A-B coupling.
D05,grid_geometry_path,Which cell geometry/grid source determines the focus cells?,geometry_source,Final/planned cells come from incompatible cell geometries.,B8.7b.3p protocol/source parity audit only; no QGIS/SOLWEIG; no raster pixel read; no raster write/copy/move; no svfs.zip open; no run-ready manifest/runner; no AOI/B9/WBGT/risk/hazard/exposure/vulnerability/System A-B coupling.
D06,base_svf_source_or_generation_method,How is base scenario SVF sourced or generated?,scenario_svf,Final/planned base SVF lineage is mixed or unknown.,B8.7b.3p protocol/source parity audit only; no QGIS/SOLWEIG; no raster pixel read; no raster write/copy/move; no svfs.zip open; no run-ready manifest/runner; no AOI/B9/WBGT/risk/hazard/exposure/vulnerability/System A-B coupling.
D07,overhead_svf_source_or_generation_method,How is overhead_as_canopy SVF sourced or generated?,scenario_svf,Overhead scenario reuses base SVF or has unknown scenario-specific SVF in final/planned labels.,B8.7b.3p protocol/source parity audit only; no QGIS/SOLWEIG; no raster pixel read; no raster write/copy/move; no svfs.zip open; no run-ready manifest/runner; no AOI/B9/WBGT/risk/hazard/exposure/vulnerability/System A-B coupling.
D08,overhead_layer_path,Which overhead source layer drives overhead_as_canopy?,core_source,Final/planned protocols use incompatible overhead layers.,B8.7b.3p protocol/source parity audit only; no QGIS/SOLWEIG; no raster pixel read; no raster write/copy/move; no svfs.zip open; no run-ready manifest/runner; no AOI/B9/WBGT/risk/hazard/exposure/vulnerability/System A-B coupling.
D09,overhead_as_canopy_rule,What rule turns overhead into CDSM?,scenario_protocol,"Final/planned protocols do not use max(existing vegetation DSM, overhead canopy) or equivalent.",B8.7b.3p protocol/source parity audit only; no QGIS/SOLWEIG; no raster pixel read; no raster write/copy/move; no svfs.zip open; no run-ready manifest/runner; no AOI/B9/WBGT/risk/hazard/exposure/vulnerability/System A-B coupling.
D10,DEM mode,Is DEM flat/generated or a real DEM?,core_protocol,Final/planned protocols mix flat DEM with real DEM.,B8.7b.3p protocol/source parity audit only; no QGIS/SOLWEIG; no raster pixel read; no raster write/copy/move; no svfs.zip open; no run-ready manifest/runner; no AOI/B9/WBGT/risk/hazard/exposure/vulnerability/System A-B coupling.
