candidate_order,cell_id,focus_cell_size_m,tile_buffer_m,tile_width_m,raster_resolution_m,expected_tile_pixels_x,expected_tile_pixels_y,tile_spec_status,tile_bounds_status,focus_cell_geojson,asset_folder,convention_source,claim_boundary
1,TP_0972,100.0,100.0,300.0,2.0,150,150,RECOVERED_FROM_V12_N24_N150_CONVENTION,PENDING_QGIS_OR_RASTERIO_DERIVATION_FROM_LOCKED_GRID,C:/OpenHeat-local/solweig/b87c_n300/assets/TP_0972/focus_cell.geojson,C:/OpenHeat-local/solweig/b87c_n300/assets/TP_0972,configs/v12/v12_solweig_n24_execution_config.example.json and configs/v12/v12_solweig_n150_execution_config.example.json,B8.7b.4/B87C local-only materialization package; no repo raster writes; no AOI/B9; no WBGT/risk/hazard/exposure/vulnerability outputs; no observed truth; no causal feature-importance claims.
2,TP_0015,100.0,100.0,300.0,2.0,150,150,RECOVERED_FROM_V12_N24_N150_CONVENTION,PENDING_QGIS_OR_RASTERIO_DERIVATION_FROM_LOCKED_GRID,C:/OpenHeat-local/solweig/b87c_n300/assets/TP_0015/focus_cell.geojson,C:/OpenHeat-local/solweig/b87c_n300/assets/TP_0015,configs/v12/v12_solweig_n24_execution_config.example.json and configs/v12/v12_solweig_n150_execution_config.example.json,B8.7b.4/B87C local-only materialization package; no repo raster writes; no AOI/B9; no WBGT/risk/hazard/exposure/vulnerability outputs; no observed truth; no causal feature-importance claims.
3,TP_0431,100.0,100.0,300.0,2.0,150,150,RECOVERED_FROM_V12_N24_N150_CONVENTION,PENDING_QGIS_OR_RASTERIO_DERIVATION_FROM_LOCKED_GRID,C:/OpenHeat-local/solweig/b87c_n300/assets/TP_0431/focus_cell.geojson,C:/OpenHeat-local/solweig/b87c_n300/assets/TP_0431,configs/v12/v12_solweig_n24_execution_config.example.json and configs/v12/v12_solweig_n150_execution_config.example.json,B8.7b.4/B87C local-only materialization package; no repo raster writes; no AOI/B9; no WBGT/risk/hazard/exposure/vulnerability outputs; no observed truth; no causal feature-importance claims.
4,TP_0016,100.0,100.0,300.0,2.0,150,150,RECOVERED_FROM_V12_N24_N150_CONVENTION,PENDING_QGIS_OR_RASTERIO_DERIVATION_FROM_LOCKED_GRID,C:/OpenHeat-local/solweig/b87c_n300/assets/TP_0016/focus_cell.geojson,C:/OpenHeat-local/solweig/b87c_n300/assets/TP_0016,configs/v12/v12_solweig_n24_execution_config.example.json and configs/v12/v12_solweig_n150_execution_config.example.json,B8.7b.4/B87C local-only materialization package; no repo raster writes; no AOI/B9; no WBGT/risk/hazard/exposure/vulnerability outputs; no observed truth; no causal feature-importance claims.
5,TP_0564,100.0,100.0,300.0,2.0,150,150,RECOVERED_FROM_V12_N24_N150_CONVENTION,PENDING_QGIS_OR_RASTERIO_DERIVATION_FROM_LOCKED_GRID,C:/OpenHeat-local/solweig/b87c_n300/assets/TP_0564/focus_cell.geojson,C:/OpenHeat-local/solweig/b87c_n300/assets/TP_0564,configs/v12/v12_solweig_n24_execution_config.example.json and configs/v12/v12_solweig_n150_execution_config.example.json,B8.7b.4/B87C local-only materialization package; no repo raster writes; no AOI/B9; no WBGT/risk/hazard/exposure/vulnerability outputs; no observed truth; no causal feature-importance claims.
6,TP_0650,100.0,100.0,300.0,2.0,150,150,RECOVERED_FROM_V12_N24_N150_CONVENTION,PENDING_QGIS_OR_RASTERIO_DERIVATION_FROM_LOCKED_GRID,C:/OpenHeat-local/solweig/b87c_n300/assets/TP_0650/focus_cell.geojson,C:/OpenHeat-local/solweig/b87c_n300/assets/TP_0650,configs/v12/v12_solweig_n24_execution_config.example.json and configs/v12/v12_solweig_n150_execution_config.example.json,B8.7b.4/B87C local-only materialization package; no repo raster writes; no AOI/B9; no WBGT/risk/hazard/exposure/vulnerability outputs; no observed truth; no causal feature-importance claims.
7,TP_0410,100.0,100.0,300.0,2.0,150,150,RECOVERED_FROM_V12_N24_N150_CONVENTION,PENDING_QGIS_OR_RASTERIO_DERIVATION_FROM_LOCKED_GRID,C:/OpenHeat-local/solweig/b87c_n300/assets/TP_0410/focus_cell.geojson,C:/OpenHeat-local/solweig/b87c_n300/assets/TP_0410,configs/v12/v12_solweig_n24_execution_config.example.json and configs/v12/v12_solweig_n150_execution_config.example.json,B8.7b.4/B87C local-only materialization package; no repo raster writes; no AOI/B9; no WBGT/risk/hazard/exposure/vulnerability outputs; no observed truth; no causal feature-importance claims.
8,TP_0674,100.0,100.0,300.0,2.0,150,150,RECOVERED_FROM_V12_N24_N150_CONVENTION,PENDING_QGIS_OR_RASTERIO_DERIVATION_FROM_LOCKED_GRID,C:/OpenHeat-local/solweig/b87c_n300/assets/TP_0674/focus_cell.geojson,C:/OpenHeat-local/solweig/b87c_n300/assets/TP_0674,configs/v12/v12_solweig_n24_execution_config.example.json and configs/v12/v12_solweig_n150_execution_config.example.json,B8.7b.4/B87C local-only materialization package; no repo raster writes; no AOI/B9; no WBGT/risk/hazard/exposure/vulnerability outputs; no observed truth; no causal feature-importance claims.
9,TP_0851,100.0,100.0,300.0,2.0,150,150,RECOVERED_FROM_V12_N24_N150_CONVENTION,PENDING_QGIS_OR_RASTERIO_DERIVATION_FROM_LOCKED_GRID,C:/OpenHeat-local/solweig/b87c_n300/assets/TP_0851/focus_cell.geojson,C:/OpenHeat-local/solweig/b87c_n300/assets/TP_0851,configs/v12/v12_solweig_n24_execution_config.example.json and configs/v12/v12_solweig_n150_execution_config.example.json,B8.7b.4/B87C local-only materialization package; no repo raster writes; no AOI/B9; no WBGT/risk/hazard/exposure/vulnerability outputs; no observed truth; no causal feature-importance claims.
10,TP_0168,100.0,100.0,300.0,2.0,150,150,RECOVERED_FROM_V12_N24_N150_CONVENTION,PENDING_QGIS_OR_RASTERIO_DERIVATION_FROM_LOCKED_GRID,C:/OpenHeat-local/solweig/b87c_n300/assets/TP_0168/focus_cell.geojson,C:/OpenHeat-local/solweig/b87c_n300/assets/TP_0168,configs/v12/v12_solweig_n24_execution_config.example.json and configs/v12/v12_solweig_n150_execution_config.example.json,B8.7b.4/B87C local-only materialization package; no repo raster writes; no AOI/B9; no WBGT/risk/hazard/exposure/vulnerability outputs; no observed truth; no causal feature-importance claims.
11,TP_0212,100.0,100.0,300.0,2.0,150,150,RECOVERED_FROM_V12_N24_N150_CONVENTION,PENDING_QGIS_OR_RASTERIO_DERIVATION_FROM_LOCKED_GRID,C:/OpenHeat-local/solweig/b87c_n300/assets/TP_0212/focus_cell.geojson,C:/OpenHeat-local/solweig/b87c_n300/assets/TP_0212,configs/v12/v12_solweig_n24_execution_config.example.json and configs/v12/v12_solweig_n150_execution_config.example.json,B8.7b.4/B87C local-only materialization package; no repo raster writes; no AOI/B9; no WBGT/risk/hazard/exposure/vulnerability outputs; no observed truth; no causal feature-importance claims.
12,TP_0460,100.0,100.0,300.0,2.0,150,150,RECOVERED_FROM_V12_N24_N150_CONVENTION,PENDING_QGIS_OR_RASTERIO_DERIVATION_FROM_LOCKED_GRID,C:/OpenHeat-local/solweig/b87c_n300/assets/TP_0460/focus_cell.geojson,C:/OpenHeat-local/solweig/b87c_n300/assets/TP_0460,configs/v12/v12_solweig_n24_execution_config.example.json and configs/v12/v12_solweig_n150_execution_config.example.json,B8.7b.4/B87C local-only materialization package; no repo raster writes; no AOI/B9; no WBGT/risk/hazard/exposure/vulnerability outputs; no observed truth; no causal feature-importance claims.
13,TP_0623,100.0,100.0,300.0,2.0,150,150,RECOVERED_FROM_V12_N24_N150_CONVENTION,PENDING_QGIS_OR_RASTERIO_DERIVATION_FROM_LOCKED_GRID,C:/OpenHeat-local/solweig/b87c_n300/assets/TP_0623/focus_cell.geojson,C:/OpenHeat-local/solweig/b87c_n300/assets/TP_0623,configs/v12/v12_solweig_n24_execution_config.example.json and configs/v12/v12_solweig_n150_execution_config.example.json,B8.7b.4/B87C local-only materialization package; no repo raster writes; no AOI/B9; no WBGT/risk/hazard/exposure/vulnerability outputs; no observed truth; no causal feature-importance claims.
14,TP_0969,100.0,100.0,300.0,2.0,150,150,RECOVERED_FROM_V12_N24_N150_CONVENTION,PENDING_QGIS_OR_RASTERIO_DERIVATION_FROM_LOCKED_GRID,C:/OpenHeat-local/solweig/b87c_n300/assets/TP_0969/focus_cell.geojson,C:/OpenHeat-local/solweig/b87c_n300/assets/TP_0969,configs/v12/v12_solweig_n24_execution_config.example.json and configs/v12/v12_solweig_n150_execution_config.example.json,B8.7b.4/B87C local-only materialization package; no repo raster writes; no AOI/B9; no WBGT/risk/hazard/exposure/vulnerability outputs; no observed truth; no causal feature-importance claims.
15,TP_0651,100.0,100.0,300.0,2.0,150,150,RECOVERED_FROM_V12_N24_N150_CONVENTION,PENDING_QGIS_OR_RASTERIO_DERIVATION_FROM_LOCKED_GRID,C:/OpenHeat-local/solweig/b87c_n300/assets/TP_0651/focus_cell.geojson,C:/OpenHeat-local/solweig/b87c_n300/assets/TP_0651,configs/v12/v12_solweig_n24_execution_config.example.json and configs/v12/v12_solweig_n150_execution_config.example.json,B8.7b.4/B87C local-only materialization package; no repo raster writes; no AOI/B9; no WBGT/risk/hazard/exposure/vulnerability outputs; no observed truth; no causal feature-importance claims.
16,TP_0127,100.0,100.0,300.0,2.0,150,150,RECOVERED_FROM_V12_N24_N150_CONVENTION,PENDING_QGIS_OR_RASTERIO_DERIVATION_FROM_LOCKED_GRID,C:/OpenHeat-local/solweig/b87c_n300/assets/TP_0127/focus_cell.geojson,C:/OpenHeat-local/solweig/b87c_n300/assets/TP_0127,configs/v12/v12_solweig_n24_execution_config.example.json and configs/v12/v12_solweig_n150_execution_config.example.json,B8.7b.4/B87C local-only materialization package; no repo raster writes; no AOI/B9; no WBGT/risk/hazard/exposure/vulnerability outputs; no observed truth; no causal feature-importance claims.
17,TP_0622,100.0,100.0,300.0,2.0,150,150,RECOVERED_FROM_V12_N24_N150_CONVENTION,PENDING_QGIS_OR_RASTERIO_DERIVATION_FROM_LOCKED_GRID,C:/OpenHeat-local/solweig/b87c_n300/assets/TP_0622/focus_cell.geojson,C:/OpenHeat-local/solweig/b87c_n300/assets/TP_0622,configs/v12/v12_solweig_n24_execution_config.example.json and configs/v12/v12_solweig_n150_execution_config.example.json,B8.7b.4/B87C local-only materialization package; no repo raster writes; no AOI/B9; no WBGT/risk/hazard/exposure/vulnerability outputs; no observed truth; no causal feature-importance claims.
18,TP_0677,100.0,100.0,300.0,2.0,150,150,RECOVERED_FROM_V12_N24_N150_CONVENTION,PENDING_QGIS_OR_RASTERIO_DERIVATION_FROM_LOCKED_GRID,C:/OpenHeat-local/solweig/b87c_n300/assets/TP_0677/focus_cell.geojson,C:/OpenHeat-local/solweig/b87c_n300/assets/TP_0677,configs/v12/v12_solweig_n24_execution_config.example.json and configs/v12/v12_solweig_n150_execution_config.example.json,B8.7b.4/B87C local-only materialization package; no repo raster writes; no AOI/B9; no WBGT/risk/hazard/exposure/vulnerability outputs; no observed truth; no causal feature-importance claims.
19,TP_0673,100.0,100.0,300.0,2.0,150,150,RECOVERED_FROM_V12_N24_N150_CONVENTION,PENDING_QGIS_OR_RASTERIO_DERIVATION_FROM_LOCKED_GRID,C:/OpenHeat-local/solweig/b87c_n300/assets/TP_0673/focus_cell.geojson,C:/OpenHeat-local/solweig/b87c_n300/assets/TP_0673,configs/v12/v12_solweig_n24_execution_config.example.json and configs/v12/v12_solweig_n150_execution_config.example.json,B8.7b.4/B87C local-only materialization package; no repo raster writes; no AOI/B9; no WBGT/risk/hazard/exposure/vulnerability outputs; no observed truth; no causal feature-importance claims.
20,TP_0680,100.0,100.0,300.0,2.0,150,150,RECOVERED_FROM_V12_N24_N150_CONVENTION,PENDING_QGIS_OR_RASTERIO_DERIVATION_FROM_LOCKED_GRID,C:/OpenHeat-local/solweig/b87c_n300/assets/TP_0680/focus_cell.geojson,C:/OpenHeat-local/solweig/b87c_n300/assets/TP_0680,configs/v12/v12_solweig_n24_execution_config.example.json and configs/v12/v12_solweig_n150_execution_config.example.json,B8.7b.4/B87C local-only materialization package; no repo raster writes; no AOI/B9; no WBGT/risk/hazard/exposure/vulnerability outputs; no observed truth; no causal feature-importance claims.
21,TP_0968,100.0,100.0,300.0,2.0,150,150,RECOVERED_FROM_V12_N24_N150_CONVENTION,PENDING_QGIS_OR_RASTERIO_DERIVATION_FROM_LOCKED_GRID,C:/OpenHeat-local/solweig/b87c_n300/assets/TP_0968/focus_cell.geojson,C:/OpenHeat-local/solweig/b87c_n300/assets/TP_0968,configs/v12/v12_solweig_n24_execution_config.example.json and configs/v12/v12_solweig_n150_execution_config.example.json,B8.7b.4/B87C local-only materialization package; no repo raster writes; no AOI/B9; no WBGT/risk/hazard/exposure/vulnerability outputs; no observed truth; no causal feature-importance claims.
